"","name","level","code","parent_id"
0,"Agricultura, Ganadería, Caza, Silvicultura Y Pesca","section","A",""
1,"Industrias Manufactureras","section","C",""
2,"Actividades De Servicios Administrativos Y De Apoyo","section","N",""
3,"Otras Actividades De Servicios","section","S",""
4,"Agricultura, Ganadería, Caza Y Actividades De Servicios Conexas","division","01",3.0
5,"Silvicultura Y Extracción De Madera","division","02",3.0
6,"Pesca Y Acuicultura","division","03",3.0
7,"Elaboración De Productos De Tabaco","division","12",3.0
8,"Actividades De Servicios A Edificios Y Paisajismo (Jardines, Zonas Verdes)","division","81",3.0
9,"Actividades De Asociaciones","division","94",3.0
10,"Cultivos Agrícolas Transitorios","group","011",9.0
11,"Cultivos Agrícolas Permanentes","group","012",9.0
12,"Propagación De Plantas (Actividades De Los Viveros, Excepto Viveros Forestales)","group","013",9.0
13,"Actividades De Apoyo A La Agricultura Y La Ganadería, Y Actividades Posteriores A La Cosecha","group","016",9.0
14,"Recolección De Productos Forestales Diferentes A La Madera","group","023",9.0
15,"Elaboración De Productos De Tabaco","group","120",9.0
16,"Cultivo De Café","class","0123",15.0
17,"Cultivo De Hortalizas, Raíces Y Tubérculos","class","0113",15.0
18,"Otros Cultivos Transitorios N.C.P.","class","0119",15.0
19,"Cultivo De Flor De Corte","class","0125",15.0
20,"Propagación De Plantas (Actividades De Los Viveros, Excepto Viveros Forestales)","class","0130",15.0
21,"Recolección De Productos Forestales Diferentes A La Madera","class","0230",15.0
22,"Cultivo De Plátano Y Banano","class","0122",15.0
23,"Cultivo De Caña De Azúcar","class","0124",15.0
24,"Cultivo De Cereales (Excepto Arroz), Legumbres Y Semillas Oleaginosas","class","0111",15.0
25,"Cultivo De Arroz","class","0112",15.0
26,"Cultivo De Palma Para Aceite (Palma Africana) Y Otros Frutos Oleaginosos","class","0126",15.0
27,"Cultivo De Especias Y De Plantas Aromáticas Y Medicinales","class","0128",15.0
28,"Cultivo De Frutas Tropicales Y Subtropicales","class","0121",15.0
29,"Cultivo De Plantas Con Las Que Se Preparan Bebidas","class","0127",15.0
30,"Cultivo De Tabaco","class","0114",15.0
31,"Cultivo De Plantas Textiles","class","0115",15.0
