code	level	name_sp_full	name_es	name_short_es	name_en	name_short_en
111	class	Producción especializada del café	Producción especializada del café	Café	Growing of coffee	Coffee
112	class	Producción especializada de flor de corte bajo cubierta y al aire libre	Producción especializada de flor de corte	Flores Cortadas	Growing of flowers, cut	Cut Flowers
113	class	Producción especializada de banano	Producción especializada de banano	Banano	Growing of bananas	Bananas
114	class	Producción especializada de caña de azúcar	Producción especializada de caña de azúcar	Caña de azúcar	Growing of sugarcane	Sugar cane
115	class	Producción especializada de cereales y oleaginosas	Producción especializada de cereales y oleaginosas	Cereales y oleaginosas	Growing of cereals	Grains and oilseeds
116	class	Producción especializada de hortalizas y legumbres	Producción especializada de hortalizas y legumbres	Hortalizas y legumbres	Growing of vegetables and legumes	Vegetables and legumes
117	class	Producción especializada de frutas, nueces, plantas bebestibles y especias	Producción especializada de frutas, nueces, plantas bebestibles y especias	Frutas, nueces, plantas bebestibles y especias	Growing of fruit, nuts, beverage and spice crops	Fruits, nuts, beverage and spice plants
118	class	Producción agrícola ncp en unidades especializadas	Producción agrícola ncp en unidades especializadas	Agricultura ncp en unidades especializadas	Growing of crops n.e.c.	Growing of crops n.e.c.
119	class	Producción agrícola en unidades no especializadas	Producción agrícola en unidades no especializadas	Agricultura en unidades no especializadas	Growing of crops (non-specialized)	Growing of crops (non-specialized)
121	class	Cría especializada de ganado vacuno	Cría especializada de ganado vacuno	Ganado vacuno	Farming of cattle	Cattle
122	class	Cría especializada de ganado porcino	Cría especializada de ganado porcino	Ganado porcino	Farming of swine	Swine
123	class	Cría especializada de aves de corral	Cría especializada de aves de corral	Aves de corral	Farming of poultry	Poultry
124	class	Cría especializada de ovejas, cabras, caballos, asnos, mulas y burdéganos	Cría especializada de ovejas, cabras, caballos, asnos, mulas y burdéganos	Ovejas, cabras y equinos	Farming of sheep, goats, horses, asses, mules and hinnies	Sheep, goats, horses, asses, mules and hinnies
125	class	Cría especializada de otros animales ncp y la obtención de sus productos	Cría especializada de otros animales ncp y la obtención de sus productos	Otros animales	Other animal farming and production of animal products n.e.c.	Other animal farming
129	class	Actividad pecuaria no especializada	Actividad pecuaria no especializada	Actividad pecuaria no especializada	Non-specialized farming of animals	Non-specialized farming of animals
130	class	Actividad mixta (agrícola y pecuaria)	Actividad mixta (agrícola y pecuaria)	Agropecuaria mixta	Growing of crops combined with farming of animals (mixed farming)	Mixed farming
140	class	Actividades de servicios agrícolas y ganaderos, excepto las actividades veterinarias	Actividades de servicios agrícolas y ganaderos, excepto las actividades veterinarias	Servicios agropecuarios	Agricultural and animal husbandry service activities, except veterinary activities	Farming services
150	class	Caza ordinaria y mediante trampas y repoblación de animales de caza, incluso las actividades de servicios conexas	Caza ordinaria y mediante trampas y repoblación de animales de caza, incluso las actividades de servicios conexas	Cacería	Hunting, trapping and game propagation including related service activities	Hunting
201	class	Silvicultura y explotación de la madera	Silvicultura y explotación de la madera	Silvicultura	Forestry, logging and related service activities	Forestry and logging
202	class	Actividades de servicios relacionadas con la silvicultura y la extracción de la madera	Actividades de servicios relacionadas con la silvicultura y la extracción de la madera	Servicios de silvicultura	Service activities related to forestry and logging	Service activities related to forestry and logging
501	class	Pesca y cultivo de peces en criaderos y granjas piscícolas	Pesca y cultivo de peces en criaderos y granjas piscícolas	Cría de peces	Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing	Fish hatcheries and farms
502	class	Actividades de servicios relacionadas con la pesca _	Actividades de servicios relacionadas con la pesca	Servicios para la cría de peces	Service activities incidental to fishing	Service activities incidental to fishing
1010	class	Extracción y aglomeración de hulla (carbón de piedra)	Extracción y aglomeración de hulla (carbón de piedra)	Carbón de piedra	Mining and agglomeration of hard coal	Coal
1020	class	Extracción y aglomeración de carbón lignítico	Extracción y aglomeración de carbón lignítico	Carbón lignítico	Mining and agglomeration of lignite	Lignite
1030	class	Extracción y aglomeración de turba	Extracción y aglomeración de turba	Turba	Extraction and agglomeration of peat	Peat
