code_col_4dig	division_2dig	prosp_cat	col_ind_name_sp_full	col_ind_name_sp_long	col_ind_name_sp_short	col_ind_name_en_long	col_ind_name_en_short	col_div_name_sp_full	col_div_name_sp_long	col_div_name_sp_short	col_div_name_en_long	col_div_name_en_short	cat_en	cat_sp
111	1	2	Producción especializada del café	Producción especializada del café	Café	Growing of coffee	Coffee	Agricultura, ganadería, caza y actividades de servicios conexas	Agricultura, ganadería, caza y actividades de servicios conexas	Agricultura, ganadería y caza	Agriculture, hunting, animal breeding and related service activities	Agriculture, hunting and animal husbandry	Vegetables, Animals, Foodstuffs, Wood	Vegetales, Animales, Alimentos, y Madera
112	1	2	Producción especializada de flor de corte bajo cubierta y al aire libre	Producción especializada de flor de corte	Flores Cortadas	Growing of flowers, cut	Cut Flowers	Agricultura, ganadería, caza y actividades de servicios conexas	Agricultura, ganadería, caza y actividades de servicios conexas	Agricultura, ganadería y caza	Agriculture, hunting, animal breeding and related service activities	Agriculture, hunting and animal husbandry	Vegetables, Animals, Foodstuffs, Wood	Vegetales, Animales, Alimentos, y Madera
113	1	2	Producción especializada de banano	Producción especializada de banano	Banano	Growing of bananas	Bananas	Agricultura, ganadería, caza y actividades de servicios conexas	Agricultura, ganadería, caza y actividades de servicios conexas	Agricultura, ganadería y caza	Agriculture, hunting, animal breeding and related service activities	Agriculture, hunting and animal husbandry	Vegetables, Animals, Foodstuffs, Wood	Vegetales, Animales, Alimentos, y Madera
114	1	2	Producción especializada de caña de azúcar	Producción especializada de caña de azúcar	Caña de azúcar	Growing of sugarcane	Sugar cane	Agricultura, ganadería, caza y actividades de servicios conexas	Agricultura, ganadería, caza y actividades de servicios conexas	Agricultura, ganadería y caza	Agriculture, hunting, animal breeding and related service activities	Agriculture, hunting and animal husbandry	Vegetables, Animals, Foodstuffs, Wood	Vegetales, Animales, Alimentos, y Madera
115	1	2	Producción especializada de cereales y oleaginosas	Producción especializada de cereales y oleaginosas	Cereales y oleaginosas	Growing of cereals	Grains and oilseeds	Agricultura, ganadería, caza y actividades de servicios conexas	Agricultura, ganadería, caza y actividades de servicios conexas	Agricultura, ganadería y caza	Agriculture, hunting, animal breeding and related service activities	Agriculture, hunting and animal husbandry	Vegetables, Animals, Foodstuffs, Wood	Vegetales, Animales, Alimentos, y Madera
116	1	2	Producción especializada de hortalizas y legumbres	Producción especializada de hortalizas y legumbres	Hortalizas y legumbres	Growing of vegetables and legumes	Vegetables and legumes	Agricultura, ganadería, caza y actividades de servicios conexas	Agricultura, ganadería, caza y actividades de servicios conexas	Agricultura, ganadería y caza	Agriculture, hunting, animal breeding and related service activities	Agriculture, hunting and animal husbandry	Vegetables, Animals, Foodstuffs, Wood	Vegetales, Animales, Alimentos, y Madera
117	1	2	Producción especializada de frutas, nueces, plantas bebestibles y especias	Producción especializada de frutas, nueces, plantas bebestibles y especias	Frutas, nueces, plantas bebestibles y especias	Growing of fruit, nuts, beverage and spice crops	Fruits, nuts, beverage and spice plants	Agricultura, ganadería, caza y actividades de servicios conexas	Agricultura, ganadería, caza y actividades de servicios conexas	Agricultura, ganadería y caza	Agriculture, hunting, animal breeding and related service activities	Agriculture, hunting and animal husbandry	Vegetables, Animals, Foodstuffs, Wood	Vegetales, Animales, Alimentos, y Madera
118	1	2	Producción agrícola ncp en unidades especializadas	Producción agrícola ncp en unidades especializadas	Agricultura ncp en unidades especializadas	Growing of crops n.e.c.	Growing of crops n.e.c.	Agricultura, ganadería, caza y actividades de servicios conexas	Agricultura, ganadería, caza y actividades de servicios conexas	Agricultura, ganadería y caza	Agriculture, hunting, animal breeding and related service activities	Agriculture, hunting and animal husbandry	Vegetables, Animals, Foodstuffs, Wood	Vegetales, Animales, Alimentos, y Madera
119	1	2	Producción agrícola en unidades no especializadas	Producción agrícola en unidades no especializadas	Agricultura en unidades no especializadas	Growing of crops (non-specialized)	Growing of crops (non-specialized)	Agricultura, ganadería, caza y actividades de servicios conexas	Agricultura, ganadería, caza y actividades de servicios conexas	Agricultura, ganadería y caza	Agriculture, hunting, animal breeding and related service activities	Agriculture, hunting and animal husbandry	Vegetables, Animals, Foodstuffs, Wood	Vegetales, Animales, Alimentos, y Madera
121	1	2	Cría especializada de ganado vacuno	Cría especializada de ganado vacuno	Ganado vacuno	Farming of cattle	Cattle	Agricultura, ganadería, caza y actividades de servicios conexas	Agricultura, ganadería, caza y actividades de servicios conexas	Agricultura, ganadería y caza	Agriculture, hunting, animal breeding and related service activities	Agriculture, hunting and animal husbandry	Vegetables, Animals, Foodstuffs, Wood	Vegetales, Animales, Alimentos, y Madera
