"","code","level","parent_id","name_sp_full","name_es","name_short_es","name_en","name_short_en","name"
0,"0111","class",444.0,"Producción especializada del café","Producción especializada del café","Café","Growing of coffee","Coffee","Growing of coffee"
1,"0112","class",444.0,"Producción especializada de flor de corte bajo cubierta y al aire libre","Producción especializada de flor de corte","Flores Cortadas","Growing of flowers, cut","Cut Flowers","Growing of flowers, cut"
2,"0113","class",444.0,"Producción especializada de banano","Producción especializada de banano","Banano","Growing of bananas","Bananas","Growing of bananas"
3,"0114","class",444.0,"Producción especializada de caña de azúcar","Producción especializada de caña de azúcar","Caña de azúcar","Growing of sugarcane","Sugar cane","Growing of sugarcane"
4,"0115","class",444.0,"Producción especializada de cereales y oleaginosas","Producción especializada de cereales y oleaginosas","Cereales y oleaginosas","Growing of cereals","Grains and oilseeds","Growing of cereals"
5,"0116","class",444.0,"Producción especializada de hortalizas y legumbres","Producción especializada de hortalizas y legumbres","Hortalizas y legumbres","Growing of vegetables and legumes","Vegetables and legumes","Growing of vegetables and legumes"
6,"0117","class",444.0,"Producción especializada de frutas, nueces, plantas bebestibles y especias","Producción especializada de frutas, nueces, plantas bebestibles y especias","Frutas, nueces, plantas bebestibles y especias","Growing of fruit, nuts, beverage and spice crops","Fruits, nuts, beverage and spice plants","Growing of fruit, nuts, beverage and spice crops"
7,"0118","class",444.0,"Producción agrícola ncp en unidades especializadas","Producción agrícola ncp en unidades especializadas","Agricultura ncp en unidades especializadas","Growing of crops n.e.c.","Growing of crops n.e.c.","Growing of crops n.e.c."
8,"0119","class",444.0,"Producción agrícola en unidades no especializadas","Producción agrícola en unidades no especializadas","Agricultura en unidades no especializadas","Growing of crops (non-specialized)","Growing of crops (non-specialized)","Growing of crops (non-specialized)"
9,"0121","class",444.0,"Cría especializada de ganado vacuno","Cría especializada de ganado vacuno","Ganado vacuno","Farming of cattle","Cattle","Farming of cattle"
10,"0122","class",444.0,"Cría especializada de ganado porcino","Cría especializada de ganado porcino","Ganado porcino","Farming of swine","Swine","Farming of swine"
11,"0123","class",444.0,"Cría especializada de aves de corral","Cría especializada de aves de corral","Aves de corral","Farming of poultry","Poultry","Farming of poultry"
12,"0124","class",444.0,"Cría especializada de ovejas, cabras, caballos, asnos, mulas y burdéganos","Cría especializada de ovejas, cabras, caballos, asnos, mulas y burdéganos","Ovejas, cabras y equinos","Farming of sheep, goats, horses, asses, mules and hinnies","Sheep, goats, horses, asses, mules and hinnies","Farming of sheep, goats, horses, asses, mules and hinnies"
13,"0125","class",444.0,"Cría especializada de otros animales ncp y la obtención de sus productos","Cría especializada de otros animales ncp y la obtención de sus productos","Otros animales","Other animal farming and production of animal products n.e.c.","Other animal farming","Other animal farming and production of animal products n.e.c."
14,"0129","class",444.0,"Actividad pecuaria no especializada","Actividad pecuaria no especializada","Actividad pecuaria no especializada","Non-specialized farming of animals","Non-specialized farming of animals","Non-specialized farming of animals"
15,"0130","class",444.0,"Actividad mixta (agrícola y pecuaria)","Actividad mixta (agrícola y pecuaria)","Agropecuaria mixta","Growing of crops combined with farming of animals (mixed farming)","Mixed farming","Growing of crops combined with farming of animals (mixed farming)"
16,"0140","class",444.0,"Actividades de servicios agrícolas y ganaderos, excepto las actividades veterinarias","Actividades de servicios agrícolas y ganaderos, excepto las actividades veterinarias","Servicios agropecuarios","Agricultural and animal husbandry service activities, except veterinary activities","Farming services","Agricultural and animal husbandry service activities, except veterinary activities"
17,"0150","class",444.0,"Caza ordinaria y mediante trampas y repoblación de animales de caza, incluso las actividades de servicios conexas","Caza ordinaria y mediante trampas y repoblación de animales de caza, incluso las actividades de servicios conexas","Cacería","Hunting, trapping and game propagation including related service activities","Hunting","Hunting, trapping and game propagation including related service activities"
18,"0201","class",445.0,"Silvicultura y explotación de la madera","Silvicultura y explotación de la madera","Silvicultura","Forestry, logging and related service activities","Forestry and logging","Forestry, logging and related service activities"
19,"0202","class",445.0,"Actividades de servicios relacionadas con la silvicultura y la extracción de la madera","Actividades de servicios relacionadas con la silvicultura y la extracción de la madera","Servicios de silvicultura","Service activities related to forestry and logging","Service activities related to forestry and logging","Service activities related to forestry and logging"
20,"0501","class",446.0,"Pesca y cultivo de peces en criaderos y granjas piscícolas","Pesca y cultivo de peces en criaderos y granjas piscícolas","Cría de peces","Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing","Fish hatcheries and farms","Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
21,"0502","class",446.0,"Actividades de servicios relacionadas con la pesca _","Actividades de servicios relacionadas con la pesca","Servicios para la cría de peces","Service activities incidental to fishing","Service activities incidental to fishing","Service activities incidental to fishing"
22,"1010","class",447.0,"Extracción y aglomeración de hulla (carbón de piedra)","Extracción y aglomeración de hulla (carbón de piedra)","Carbón de piedra","Mining and agglomeration of hard coal","Coal","Mining and agglomeration of hard coal"
23,"1020","class",447.0,"Extracción y aglomeración de carbón lignítico","Extracción y aglomeración de carbón lignítico","Carbón lignítico","Mining and agglomeration of lignite","Lignite","Mining and agglomeration of lignite"
24,"1030","class",447.0,"Extracción y aglomeración de turba","Extracción y aglomeración de turba","Turba","Extraction and agglomeration of peat","Peat","Extraction and agglomeration of peat"
25,"1110","class",448.0,"Extracción de petróleo crudo y de gas natural","Extracción de petróleo crudo y de gas natural","Petróleo crudo y gas natural","Extraction of crude petroleum and natural gas","Crude petroleum and natural gas","Extraction of crude petroleum and natural gas"
26,"1120","class",448.0,"Actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección","Actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección","Servicios para extracción de petróleo y gas","Service activities incidental to oil and gas extraction, excluding surveying","Service for oil and gas extraction","Service activities incidental to oil and gas extraction, excluding surveying"
27,"1200","class",449.0,"Extracción de minerales de uranio y de torio","Extracción de minerales de uranio y de torio","Uranio","Mining of uranium and thorium ores","Uranium ores","Mining of uranium and thorium ores"
28,"1310","class",450.0,"Extracción del mineral de hierro","Extracción del mineral de hierro","Minería hierro","Mining of iron ores","Iron ores","Mining of iron ores"
29,"1320","class",450.0,"Extracción de metales preciosos","Extracción de metales preciosos","Metales preciosos","Mining of precious metals","Precious metals","Mining of precious metals"
30,"1331","class",450.0,"Extracción de minerales de níquel","Extracción de minerales de níquel","Minería de níquel","Mining of nickel ores","Nickel ores","Mining of nickel ores"
31,"1339","class",450.0,"Extracción de otros minerales metalíferos no ferrosos, excepto níquel","Extracción de otros minerales metalíferos no ferrosos, excepto níquel","Otra minería metal no ferrosos","Mining of other non-ferrous metal ores, except nickel","Other non-ferrous metal ores","Mining of other non-ferrous metal ores, except nickel"
32,"1411","class",451.0,"Extracción de piedra, arena y arcillas comunes","Extracción de piedra, arena y arcillas comunes","Piedra, arena, arcillas","Quarrying of stone, sand and clay","Stone, sand and clay","Quarrying of stone, sand and clay"
33,"1412","class",451.0,"Extracción de yeso y anhidrita","Extracción de yeso y anhidrita","Yeso y anhidrita","Quarrying of gypsum and anhydrite","Gypsum and anhydrite","Quarrying of gypsum and anhydrite"
34,"1413","class",451.0,"Extracción de caolín, arcillas de uso industrial y bentonitas","Extracción de caolín, arcillas de uso industrial y bentonitas","Caolín, arcillas de uso industrial y bentonitas","Quarrying of kaolin, industrial clays and bentonites","Kaolin, industrial clays and bentonites","Quarrying of kaolin, industrial clays and bentonites"
35,"1414","class",451.0,"Extracción de arenas y gravas silíceas","Extracción de arenas y gravas silíceas","Arenas y gravas silíceas","Quarrying of siliceous sands and gravels","Siliceous sands and gravels","Quarrying of siliceous sands and gravels"
36,"1415","class",451.0,"Extracción de caliza y dolomita","Extracción de caliza y dolomita","Caliza y dolomita","Quarrying of limestone and dolomite","Limestone and dolomite","Quarrying of limestone and dolomite"
37,"1421","class",451.0,"Extracción de minerales para la fabricación de abonos y productos químicos","Extracción de minerales para la fabricación de abonos y productos químicos","Minerales para abonos y químicos","Mining of chemical and fertilizer minerals","Mining of chemical and fertilizer minerals","Mining of chemical and fertilizer minerals"
38,"1422","class",451.0,"Extracción de halita (sal)","Extracción de halita (sal)","Sal","Extraction of salt","Salt","Extraction of salt"
39,"1431","class",451.0,"Extracción de esmeraldas","Extracción de esmeraldas","Esmeraldas","Mining of emeralds","Emeralds","Mining of emeralds"
40,"1432","class",451.0,"Extracción de otras piedras preciosas y semipreciosas","Extracción de otras piedras preciosas y semipreciosas","Otras piedras preciosas y semipreciosas","Mining of other precious and semi-precious stones","Other precious and semi-precious stones","Mining of other precious and semi-precious stones"
41,"1490","class",451.0,"Extracción de otros minerales no metálicos ncp","Extracción de otros minerales no metálicos ncp","Otros minerales no metálicos ncp","Mining and quarrying of other non-metal minerals n.e.c.","Other non-metallic minerals nec","Mining and quarrying of other non-metal minerals n.e.c."
42,"1511","class",452.0,"Producción, transformación y conservación de carne y de derivados cárnicos","Producción, transformación y conservación de carne y de derivados cárnicos","Carne y de derivados cárnicos","Production, processing and preserving of meat and meat products","Meat and meat products","Production, processing and preserving of meat and meat products"
43,"1512","class",452.0,"Transformación y conservación de pescado y de derivados del pescado","Transformación y conservación de pescado y de derivados del pescado","Pescado y de derivados del pescado","Processing and preserving of fish and fish products","Fish and fish derivatives","Processing and preserving of fish and fish products"
44,"1521","class",452.0,"Elaboración de alimentos compuestos principalmente de frutas, legumbres y hortalizas","Elaboración de alimentos compuestos principalmente de frutas, legumbres y hortalizas","Alimentos de frutas, legumbres y hortalizas","Processing and preserving of fruit and vegetables","Fruits and vegetables","Processing and preserving of fruit and vegetables"
45,"1522","class",452.0,"Elaboración de aceites y grasas de origen vegetal y animal","Elaboración de aceites y grasas de origen vegetal y animal","Aceites y grasas de origen vegetal y animal","Manufacture of vegetable and animal oils and fats","Vegetable and animal oils and fats","Manufacture of vegetable and animal oils and fats"
46,"1530","class",452.0,"Elaboración de productos lácteos","Elaboración de productos lácteos","Productos lácteos","Manufacture of dairy products","Dairy products","Manufacture of dairy products"
47,"1541","class",452.0,"Elaboración de productos de molinería","Elaboración de productos de molinería","Productos de molinería","Manufacture of grain mill products","Grain mill products","Manufacture of grain mill products"
48,"1542","class",452.0,"Elaboración de almidones y de productos derivados del almidón","Elaboración de almidones y de productos derivados del almidón","Almidones y de productos derivados del almidón","Manufacture of starches and starch products","Starches and starch products","Manufacture of starches and starch products"
49,"1543","class",452.0,"Elaboración de alimentos preparados para animales","Elaboración de alimentos preparados para animales","Alimentos preparados para animales","Manufacture of prepared animal feeds","Prepared animal feeds","Manufacture of prepared animal feeds"
50,"1551","class",452.0,"Elaboración de productos de panadería","Elaboración de productos de panadería","Productos de panadería","Manufacture of bakery products","Bakery products","Manufacture of bakery products"
