"","level","code","name","parent_id"
0,"section","A","AGRICULTURE AND FISHING",""
1,"section","B","MINING AND QUARRYING",""
2,"section","C","MANUFACTURING",""
3,"section","D","UTILITIES",""
4,"section","F","CONSTRUCTION",""
5,"section","G","WHOLESALE AND RETAIL TRADE AND REPAIR SERVICES",""
6,"section","H","TRANSPORTATION AND STORAGE",""
7,"section","I","TOURISM, HOTELS AND FOOD SERVICES",""
8,"section","J","COMMUNICATION SERVICES",""
9,"section","K","BUSINESS SERVICES",""
10,"section","L","REAL ESTATE ACTIVITIES",""
11,"section","M","ENGINEERING, SCIENCE AND TECHNICAL SERVICES",""
12,"section","O","PUBLIC ADMINISTRATION",""
13,"section","P","EDUCATION & HEALTH SERVICES",""
14,"section","R","ARTS, ENTERTAINMENT AND RECREATION",""
15,"section","T","OTHER",""
100,"division","1","Crop and animal production, hunting and related service activities",0.0
101,"division","10","Manufacture of food products",2.0
102,"division","11","Manufacture of beverages",2.0
103,"division","12","Manufacture of tobacco products",2.0
104,"division","13","Manufacture of textiles",2.0
105,"division","14","Manufacture of wearing apparel",2.0
106,"division","15","Manufacture of leather and related products",2.0
107,"division","16","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2.0
108,"division","17","Manufacture of paper and paper products",2.0
109,"division","18","Printing and reproduction of recorded media",2.0
110,"division","19","Manufacture of coke and refined petroleum products",2.0
111,"division","2","Forestry and logging",0.0
112,"division","20","Manufacture of chemicals and chemical products",2.0
113,"division","21","Manufacture of basic pharmaceutical products and pharmaceutical preparations",2.0
114,"division","22","Manufacture of rubber and plastic products",2.0
115,"division","23","Manufacture of other non-metallic mineral products",2.0
116,"division","24","Manufacture of basic metals",2.0
117,"division","25","Manufacture of fabricated metal products, except machinery and equipment",2.0
118,"division","26","Manufacture of computer, electronic and optical products",2.0
119,"division","27","Manufacture of electrical equipment",2.0
120,"division","28","Manufacture of machinery and equipment n.e.c.",2.0
121,"division","29","Manufacture of motor vehicles, trailers and semi-trailers",2.0
122,"division","3","Fishing and aquaculture",0.0
123,"division","30","Manufacture of other transport equipment",2.0
124,"division","31","Manufacture of furniture",2.0
125,"division","32","Other manufacturing",2.0
126,"division","33","Repair and installation of machinery and equipment",2.0
127,"division","35","Electricity, gas, steam and air conditioning supply",3.0
128,"division","36","Water collection, treatment and supply",3.0
129,"division","37","Sewerage",3.0
130,"division","38","Waste collection, treatment and disposal activities; materials recovery",3.0
131,"division","39","Remediation activities and other waste management services",3.0
132,"division","41","Construction of buildings",4.0
133,"division","42","Civil engineering",4.0
134,"division","43","Specialised construction activities",4.0
135,"division","45","Wholesale and retail trade and repair of motor vehicles and motorcycles",5.0
136,"division","46","Wholesale trade, except of motor vehicles and motorcycles",5.0
137,"division","47","Retail trade, except of motor vehicles and motorcycles",5.0
138,"division","49","Land transport and transport via pipelines",6.0
139,"division","5","Mining of coal and lignite",1.0
140,"division","50","Water transport",6.0
141,"division","51","Air transport",6.0
142,"division","52","Warehousing and support activities for transportation",6.0
143,"division","53","Postal and courier activities",6.0
