class_code	group_code	division_code	section_code
1111	111	11	1
1112	111	11	1
1113	111	11	1
1114	111	11	1
1119	111	11	1
1121	112	11	1
1122	112	11	1
1123	112	11	1
1124	112	11	1
1125	112	11	1
1129	112	11	1
1131	113	11	1
1132	113	11	1
1133	113	11	1
1141	114	11	1
1142	114	11	1
1151	115	11	1
1152	115	11	1
1153	115	11	1
2111	211	21	2
2121	212	21	2
2122	212	21	2
2123	212	21	2
2131	213	21	2
2211	221	22	5
2221	222	22	5
2222	222	22	5
2361	236	23	3
2362	236	23	3
2371	237	23	3
2372	237	23	3
2373	237	23	3
2379	237	23	3
2381	238	23	3
2382	238	23	3
2383	238	23	3
2389	238	23	3
3111	311	31	3
3112	311	31	3
3113	311	31	3
3114	311	31	3
3115	311	31	3
3116	311	31	3
3117	311	31	3
3118	311	31	3
3119	311	31	3
3121	312	31	3
3122	312	31	3
3131	313	31	3
3132	313	31	3
3133	313	31	3
3141	314	31	3
3149	314	31	3
3151	315	31	3
3152	315	31	3
3159	315	31	3
3161	316	31	3
3162	316	31	3
3169	316	31	3
3211	321	32	3
3212	321	32	3
3219	321	32	3
3221	322	32	3
3222	322	32	3
3231	323	32	3
3241	324	32	3
3251	325	32	3
3252	325	32	3
3253	325	32	3
3254	325	32	3
3255	325	32	3
3256	325	32	3
3259	325	32	3
3261	326	32	3
3262	326	32	3
3271	327	32	3
3272	327	32	3
3273	327	32	3
3274	327	32	3
3279	327	32	3
3311	327	32	3
3312	327	32	3
3313	327	32	3
3314	327	32	3
3315	327	32	3
3321	332	33	3
3322	332	33	3
3323	332	33	3
3324	332	33	3
3325	332	33	3
3326	332	33	3
3327	332	33	3
3328	332	33	3
3329	332	33	3
3331	333	33	3
3332	333	33	3
3333	333	33	3
3334	333	33	3
3335	333	33	3
3336	333	33	3
3339	333	33	3
3341	334	33	3
3342	334	33	3
3343	334	33	3
3344	334	33	3
3345	334	33	3
3346	334	33	3
3351	335	33	3
3352	335	33	3
3353	335	33	3
3359	335	33	3
3361	336	33	3
3362	336	33	3
3363	336	33	3
3364	336	33	3
3365	336	33	3
3366	336	33	3
3369	336	33	3
3371	337	33	3
3372	337	33	3
3379	337	33	3
3391	339	33	3
3399	339	33	3
4311	431	43	4
4312	431	43	4
4321	432	43	4
4331	433	43	4
4332	433	43	4
4333	433	43	4
4334	433	43	4
4335	433	43	4
4341	434	43	4
4342	434	43	4
4343	434	43	4
4351	435	43	4
4352	435	43	4
4353	435	43	4
4354	435	43	4
4361	436	43	4
4371	437	43	4
4372	437	43	4
4611	461	46	4
4612	461	46	4
4621	462	46	4
4622	462	46	4
4631	463	46	4
4632	463	46	4
4633	463	46	4
4641	464	46	4
4651	465	46	4
4652	465	46	4
4653	465	46	4
4659	465	46	4
4661	466	46	4
4662	466	46	4
4663	466	46	4
4664	466	46	4
4671	467	46	4
4681	468	46	4
4682	468	46	4
4683	468	46	4
4684	468	46	4
4691	469	46	4
4692	469	46	4
4811	481	48	5
4812	481	48	5
4821	482	48	5
4831	483	48	5
4832	483	48	5
4841	484	48	5
4842	484	48	5
4851	485	48	5
4852	485	48	5
4853	485	48	5
4854	485	48	5
4855	485	48	5
4859	485	48	5
4861	486	48	5
4862	486	48	5
4869	486	48	5
4871	487	48	5
4872	487	48	5
4879	487	48	5
4881	488	48	5
4882	488	48	5
4883	488	48	5
4884	488	48	5
4885	488	48	5
4889	488	48	5
4911	491	49	5
4921	492	49	5
4922	492	49	5
4931	493	49	5
5111	511	51	5
5112	511	51	5
5121	512	51	5
5122	512	51	5
5151	515	51	5
5152	515	51	5
5161	516	51	5
5173	517	51	5
5175	517	51	5
5181	518	51	5
5171	517	51	5
5172	517	51	5
5174	517	51	5
5179	517	51	5
5182	518	51	5
5191	519	51	5
5211	521	52	6
5221	522	52	6
5222	522	52	6
5223	522	52	6
5224	522	52	6
5225	522	52	6
5231	523	52	6
5232	523	52	6
5239	523	52	6
5241	524	52	6
5242	524	52	6
5311	531	53	6
5312	531	53	6
5313	531	53	6
5321	532	53	6
5322	532	53	6
5323	532	53	6
5324	532	53	6
5331	533	53	6
5411	541	54	6
5412	541	54	6
5413	541	54	6
5414	541	54	6
5415	541	54	6
5416	541	54	6
5417	541	54	6
5418	541	54	6
5419	541	54	6
5511	551	55	7
5611	561	56	7
5612	561	56	7
5613	561	56	7
5614	561	56	7
5615	561	56	7
5616	561	56	7
5617	561	56	7
5619	561	56	7
5621	562	56	7
6111	611	61	8
6112	611	61	8
6113	611	61	8
6114	611	61	8
6115	611	61	8
6116	611	61	8
6117	611	61	8
6211	621	62	8
6212	621	62	8
6213	621	62	8
6214	621	62	8
6215	621	62	8
6216	621	62	8
6219	621	62	8
6221	622	62	8
6222	622	62	8
6223	622	62	8
6231	623	62	8
6232	623	62	8
6233	623	62	8
6239	623	62	8
6241	624	62	8
6242	624	62	8
6243	624	62	8
6244	624	62	8
7111	711	71	8
7112	711	71	8
7113	711	71	8
7114	711	71	8
7115	711	71	8
7121	712	71	8
7131	713	71	8
7132	713	71	8
7139	713	71	8
7211	721	72	8
7212	721	72	8
7213	721	72	8
7221	722	72	8
7222	722	72	8
7223	722	72	8
7224	722	72	8
8111	811	81	7
8112	811	81	7
8113	811	81	7
8114	811	81	7
8121	812	81	7
8122	812	81	7
8123	812	81	7
8124	812	81	7
8129	812	81	7
8131	813	81	7
8132	813	81	7
8141	814	81	7
9311	931	93	9
9312	931	93	9
9313	931	93	9
9314	931	93	9
9315	931	93	9
9316	931	93	9
9317	931	93	9
9318	931	93	9
9321	932	93	9
