code	level	name_en	name_short_en	name_es	name_short_es
1111	class	Oilseed, legume and cereal growing	Oilseed, legume and cereal growing	Cultivo de semillas oleaginosas, leguminosas y cereales	Cultivo de semillas oleaginosas, leguminosas y cereales
1112	class	Vegetable growing	Vegetable growing	Cultivo de hortalizas	Cultivo de hortalizas
1113	class	Fruit and tree nut growing	Fruit and tree nut growing	Cultivo de frutales y nueces	Cultivo de frutales y nueces
1114	class	Greenhouse and nursery growing, and floriculture	Greenhouse and nursery growing, and floriculture	Cultivo en invernaderos y viveros, y floricultura	Cultivo en invernaderos y viveros, y floricultura
1119	class	Other crop growing	Other crop growing	Otros cultivos	Otros cultivos
1121	class	Cattle raising	Cattle raising	Explotacion de bovinos	Explotacion de bovinos
1122	class	Pig raising	Pig raising	Explotacion de porcinos	Explotacion de porcinos
1123	class	Poultry raising	Poultry raising	Explotacion avicola	Explotacion avicola
1124	class	Sheep and goat raising	Sheep and goat raising	Explotacion de ovinos y caprinos	Explotacion de ovinos y caprinos
1125	class	Aquaculture	Aquaculture	Acuicultura	Acuicultura
1129	class	Other animal production	Other animal production	Explotacion de otros animales	Explotacion de otros animales
1131	class	Silviculture	Silviculture	Silvicultura	Silvicultura
1132	class	Forest nurseries and gathering of forest products	Forest nurseries and gathering of forest products	Viveros forestales y recoleccion de productos forestales	Viveros forestales y recoleccion de productos forestales
1133	class	Logging	Logging	Tala de arboles	Tala de arboles
1141	class	Fishing	Fishing	Pesca	Pesca
1142	class	Hunting and trapping	Hunting and trapping	Caza y captura	Caza y captura
1151	class	Services related to agriculture	Services related to agriculture	Servicios relacionados con la agricultura	Servicios relacionados con la agricultura
1152	class	Services related to animal breeding and production	Services related to animal breeding and production	Servicios relacionados con la cria y explotacion de animales	Servicios relacionados con la cria y explotacion de animales
1153	class	Services related to forestry	Services related to forestry	Servicios relacionados con el aprovechamiento forestal	Servicios relacionados con el aprovechamiento forestal
2111	class	Oil and gas extraction	Oil and gas extraction	Extraccion de petroleo y gas	Extraccion de petroleo y gas
2121	class	Coal mining	Coal mining	Mineria de carbon mineral	Mineria de carbon mineral
2122	class	Metallic ore mining	Metallic ore mining	Mineria de minerales metalicos	Mineria de minerales metalicos
2123	class	Nonmetallic ore mining	Nonmetallic ore mining	Mineria de minerales no metalicos	Mineria de minerales no metalicos
2131	class	Services related to mining	Services related to mining	Servicios relacionados con la mineria	Servicios relacionados con la mineria
2211	class	Electric power generation, transmission and distribution	Electric power generation, transmission and distribution	Generacion, transmision y distribucion de energia electrica	Generacion, transmision y distribucion de energia electrica
2221	class	Water collection, treatment and supply	Water collection, treatment and supply	Captacion, tratamiento y suministro de agua	Captacion, tratamiento y suministro de agua
2222	class	Gas supply through mains to final consumers	Gas supply through mains to final consumers	Suministro de gas por ductos al consumidor final	Suministro de gas por ductos al consumidor final
2361	class	Residential building construction	Residential building construction	Edificacion residencial	Edificacion residencial
2362	class	Nonresidential building construction	Nonresidential building construction	Edificacion no residencial	Edificacion no residencial
