"","code","level","parent_id","name_en","name_short_en","name_es","name_short_es","name"
0,"1","section","","Agriculture","Agriculture","Agricultura","Agricultura","Agriculture"
1,"11","division",0.0,"Agriculture, animal breeding and production, forestry, fishing and hunting","Agriculture, animal breeding and production, forestry, fishing and hunting","Agricultura, cria y explotacion de animales, aprovechamiento forestal, pesca y caza","Agricultura, cria y explotacion de animales, aprovechamiento forestal, pesca y caza","Agriculture, animal breeding and production, forestry, fishing and hunting"
2,"111","group",1.0,"Agriculture","Agriculture","Agricultura","Agricultura","Agriculture"
3,"1111","class",2.0,"Oilseed, legume and cereal growing","Oilseed, legume and cereal growing","Cultivo de semillas oleaginosas, leguminosas y cereales","Cultivo de semillas oleaginosas, leguminosas y cereales","Oilseed, legume and cereal growing"
4,"1112","class",2.0,"Vegetable growing","Vegetable growing","Cultivo de hortalizas","Cultivo de hortalizas","Vegetable growing"
5,"1113","class",2.0,"Fruit and tree nut growing","Fruit and tree nut growing","Cultivo de frutales y nueces","Cultivo de frutales y nueces","Fruit and tree nut growing"
6,"1114","class",2.0,"Greenhouse and nursery growing, and floriculture","Greenhouse and nursery growing, and floriculture","Cultivo en invernaderos y viveros, y floricultura","Cultivo en invernaderos y viveros, y floricultura","Greenhouse and nursery growing, and floriculture"
7,"1119","class",2.0,"Other crop growing","Other crop growing","Otros cultivos","Otros cultivos","Other crop growing"
8,"112","group",1.0,"Animal breeding and production","Animal breeding and production","Cria y explotacion de animales","Cria y explotacion de animales","Animal breeding and production"
9,"1121","class",8.0,"Cattle raising","Cattle raising","Explotacion de bovinos","Explotacion de bovinos","Cattle raising"
10,"1122","class",8.0,"Pig raising","Pig raising","Explotacion de porcinos","Explotacion de porcinos","Pig raising"
11,"1123","class",8.0,"Poultry raising","Poultry raising","Explotacion avicola","Explotacion avicola","Poultry raising"
12,"1124","class",8.0,"Sheep and goat raising","Sheep and goat raising","Explotacion de ovinos y caprinos","Explotacion de ovinos y caprinos","Sheep and goat raising"
13,"1125","class",8.0,"Aquaculture","Aquaculture","Acuicultura","Acuicultura","Aquaculture"
14,"1129","class",8.0,"Other animal production","Other animal production","Explotacion de otros animales","Explotacion de otros animales","Other animal production"
15,"113","group",1.0,"Forestry","Forestry","Aprovechamiento forestal","Aprovechamiento forestal","Forestry"
16,"1131","class",15.0,"Silviculture","Silviculture","Silvicultura","Silvicultura","Silviculture"
17,"1132","class",15.0,"Forest nurseries and gathering of forest products","Forest nurseries and gathering of forest products","Viveros forestales y recoleccion de productos forestales","Viveros forestales y recoleccion de productos forestales","Forest nurseries and gathering of forest products"
18,"1133","class",15.0,"Logging","Logging","Tala de arboles","Tala de arboles","Logging"
19,"114","group",1.0,"Fishing, hunting and trapping","Fishing, hunting and trapping","Pesca, caza y captura","Pesca, caza y captura","Fishing, hunting and trapping"
20,"1141","class",19.0,"Fishing","Fishing","Pesca","Pesca","Fishing"
21,"1142","class",19.0,"Hunting and trapping","Hunting and trapping","Caza y captura","Caza y captura","Hunting and trapping"
22,"115","group",1.0,"Services related to agricultural and forestry activities","Services related to agricultural and forestry activities","Servicios relacionados con las actividades agropecuarias y forestales","Servicios relacionados con las actividades agropecuarias y forestales","Services related to agricultural and forestry activities"
23,"1151","class",22.0,"Services related to agriculture","Services related to agriculture","Servicios relacionados con la agricultura","Servicios relacionados con la agricultura","Services related to agriculture"
24,"1152","class",22.0,"Services related to animal breeding and production","Services related to animal breeding and production","Servicios relacionados con la cria y explotacion de animales","Servicios relacionados con la cria y explotacion de animales","Services related to animal breeding and production"
25,"1153","class",22.0,"Services related to forestry","Services related to forestry","Servicios relacionados con el aprovechamiento forestal","Servicios relacionados con el aprovechamiento forestal","Services related to forestry"
26,"2","section","","Mining & Oil","Mining & Oil","Minería y Petróleo","Minería y Petróleo","Mining & Oil"
27,"21","division",26.0,"Mining","Mining","Mineria","Mineria","Mining"
28,"211","group",27.0,"Oil and gas extraction","Oil and gas extraction","Extraccion de petroleo y gas","Extraccion de petroleo y gas","Oil and gas extraction"
29,"2111","class",28.0,"Oil and gas extraction","Oil and gas extraction","Extraccion de petroleo y gas","Extraccion de petroleo y gas","Oil and gas extraction"
30,"212","group",27.0,"Metallic and nonmetallic ore mining, except oil and gas","Metallic and nonmetallic ore mining, except oil and gas","Mineria de minerales metalicos y no metalicos, excepto petroleo y gas","Mineria de minerales metalicos y no metalicos, excepto petroleo y gas","Metallic and nonmetallic ore mining, except oil and gas"
31,"2121","class",30.0,"Coal mining","Coal mining","Mineria de carbon mineral","Mineria de carbon mineral","Coal mining"
32,"2122","class",30.0,"Metallic ore mining","Metallic ore mining","Mineria de minerales metalicos","Mineria de minerales metalicos","Metallic ore mining"
33,"2123","class",30.0,"Nonmetallic ore mining","Nonmetallic ore mining","Mineria de minerales no metalicos","Mineria de minerales no metalicos","Nonmetallic ore mining"
34,"213","group",27.0,"Services related to mining","Services related to mining","Servicios relacionados con la mineria","Servicios relacionados con la mineria","Services related to mining"
35,"2131","class",34.0,"Services related to mining","Services related to mining","Servicios relacionados con la mineria","Servicios relacionados con la mineria","Services related to mining"
36,"5","section","","Manufacturing Industries","Manufacturing Industries","Industrias Manufactureras","Industrias Manufactureras","Manufacturing Industries"
37,"22","division",36.0,"Electric power generation, transmission and distribution, water and gas supply through mains to final consumers","Electric power generation, transmission and distribution, water and gas supply through mains to final consumers","Generacion, transmision y distribucion de energia electrica, suministro de agua y de gas por ductos al consumidor final","Generacion, transmision y distribucion de energia electrica, suministro de agua y de gas por ductos al consumidor final","Electric power generation, transmission and distribution, water and gas supply through mains to final consumers"
38,"221","group",37.0,"Electric power generation, transmission and distribution","Electric power generation, transmission and distribution","Generacion, transmision y distribucion de energia electrica","Generacion, transmision y distribucion de energia electrica","Electric power generation, transmission and distribution"
39,"2211","class",38.0,"Electric power generation, transmission and distribution","Electric power generation, transmission and distribution","Generacion, transmision y distribucion de energia electrica","Generacion, transmision y distribucion de energia electrica","Electric power generation, transmission and distribution"
40,"222","group",37.0,"Water and gas supply through mains to final consumers","Water and gas supply through mains to final consumers","Suministro de agua y suministro de gas por ductos al consumidor final","Suministro de agua y suministro de gas por ductos al consumidor final","Water and gas supply through mains to final consumers"
41,"2221","class",40.0,"Water collection, treatment and supply","Water collection, treatment and supply","Captacion, tratamiento y suministro de agua","Captacion, tratamiento y suministro de agua","Water collection, treatment and supply"
42,"2222","class",40.0,"Gas supply through mains to final consumers","Gas supply through mains to final consumers","Suministro de gas por ductos al consumidor final","Suministro de gas por ductos al consumidor final","Gas supply through mains to final consumers"
43,"3","section","","Manufacturing & Construction","Manufacturing & Construction","Manufactura y Construcción","Manufactura y Construcción","Manufacturing & Construction"
44,"23","division",43.0,"Construction","Construction","Construccion","Construccion","Construction"
45,"236","group",44.0,"Construction","Construction","Edificacion","Edificacion","Construction"
46,"2361","class",45.0,"Residential building construction","Residential building construction","Edificacion residencial","Edificacion residencial","Residential building construction"
47,"2362","class",45.0,"Nonresidential building construction","Nonresidential building construction","Edificacion no residencial","Edificacion no residencial","Nonresidential building construction"
48,"237","group",44.0,"Civil engineering construction works","Civil engineering construction works","Construccion de obras de ingenieria civil","Construccion de obras de ingenieria civil","Civil engineering construction works"
49,"2371","class",48.0,"Construction works for water, oil, gas, electric power and telecommunications supply","Construction works for water, oil, gas, electric power and telecommunications supply","Construccion de obras para el suministro de agua, petroleo, gas, energia electrica y telecomunicaciones","Construccion de obras para el suministro de agua, petroleo, gas, energia electrica y telecomunicaciones","Construction works for water, oil, gas, electric power and telecommunications supply"
50,"2372","class",48.0,"Land division and urbanization works","Land division and urbanization works","Division de terrenos y construccion de obras de urbanizacion","Division de terrenos y construccion de obras de urbanizacion","Land division and urbanization works"
51,"2373","class",48.0,"Construction of roads, highways and similar works","Construction of roads, highways and similar works","Construccion de vias de comunicacion","Construccion de vias de comunicacion","Construction of roads, highways and similar works"
52,"2379","class",48.0,"Other civil engineering construction","Other civil engineering construction","Otras construcciones de ingenieria civil","Otras construcciones de ingenieria civil","Other civil engineering construction"
53,"238","group",44.0,"Specialized construction works","Specialized construction works","Trabajos especializados para la construccion","Trabajos especializados para la construccion","Specialized construction works"
