"","code","level","name","parent_id","name_es","name_short_en","name_short_es"
0,"COL","country","Colombia","","Colombia","Colombia","Colombia"
1,"05","department","Antioquia",0.0,"Antioquia","Antioquia","Antioquia"
2,"08","department","Atlántico",0.0,"Atlántico","Atlántico","Atlántico"
3,"11","department","Bogotá, D. C.",0.0,"Bogotá, D. C.","Bogotá, D. C.","Bogotá, D. C."
4,"13","department","Bolívar",0.0,"Bolívar","Bolívar","Bolívar"
5,"15","department","Boyacá",0.0,"Boyacá","Boyacá","Boyacá"
6,"17","department","Caldas",0.0,"Caldas","Caldas","Caldas"
7,"18","department","Caquetá",0.0,"Caquetá","Caquetá","Caquetá"
8,"19","department","Cauca",0.0,"Cauca","Cauca","Cauca"
9,"20","department","Cesar",0.0,"Cesar","Cesar","Cesar"
10,"23","department","Córdoba",0.0,"Córdoba","Córdoba","Córdoba"
11,"25","department","Cundinamarca",0.0,"Cundinamarca","Cundinamarca","Cundinamarca"
12,"27","department","Chocó",0.0,"Chocó","Chocó","Chocó"
13,"41","department","Huila",0.0,"Huila","Huila","Huila"
14,"44","department","La Guajira",0.0,"La Guajira","La Guajira","La Guajira"
15,"47","department","Magdalena",0.0,"Magdalena","Magdalena","Magdalena"
16,"50","department","Meta",0.0,"Meta","Meta","Meta"
17,"52","department","Nariño",0.0,"Nariño","Nariño","Nariño"
18,"54","department","Norte De Santander",0.0,"Norte De Santander","Norte De Santander","Norte De Santander"
19,"63","department","Quindío",0.0,"Quindío","Quindío","Quindío"
20,"66","department","Risaralda",0.0,"Risaralda","Risaralda","Risaralda"
21,"68","department","Santander",0.0,"Santander","Santander","Santander"
22,"70","department","Sucre",0.0,"Sucre","Sucre","Sucre"
23,"73","department","Tolima",0.0,"Tolima","Tolima","Tolima"
24,"76","department","Valle Del Cauca",0.0,"Valle Del Cauca","Valle Del Cauca","Valle Del Cauca"
25,"81","department","Arauca",0.0,"Arauca","Arauca","Arauca"
26,"85","department","Casanare",0.0,"Casanare","Casanare","Casanare"
27,"86","department","Putumayo",0.0,"Putumayo","Putumayo","Putumayo"
28,"88","department","Archipiélago De San Andrés, Providencia Y ",0.0,"Archipiélago De San Andrés, Providencia Y ","Archipiélago De San Andrés, Providencia Y ","Archipiélago De San Andrés, Providencia Y "
29,"91","department","Amazonas",0.0,"Amazonas","Amazonas","Amazonas"
30,"94","department","Guainía",0.0,"Guainía","Guainía","Guainía"
31,"95","department","Guaviare",0.0,"Guaviare","Guaviare","Guaviare"
