iso;in_rankings
"ABW";0
"AFG";0
"AGO";1
"AIA";0
"ALB";1
"AND";0
"ANT";0
"ANS";0
"ARB";0
"ARE";1
"ARG";1
"ARM";0
"ASM";0
"ATA";0
"ATF";0
"ATG";0
"AUS";1
"AUT";1
"AZE";1
"BDI";0
"BEL";1
"BEN";0
"BES";0
"BFA";0
"BGD";1
"BGR";1
"BHR";0
"BHS";0
"BIH";1
"BLM";0
"BLR";1
"BLZ";0
"BMU";0
"BOL";1
"BRA";1
"BRB";0
"BRN";0
"BTN";0
"BVT";0
"BWA";1
"CAF";0
"CAN";1
"CCK";0
"CEB";0
"CHE";1
"CHI";0
"CHL";1
"CHN";1
"CIV";1
"CMR";1
"COD";0
"COG";1
"COK";0
"COL";1
"COM";0
"CPV";0
"CRI";1
"CSK";0
"CSS";0
"CUB";1
"CUW";0
"CXR";0
"CYM";0
"CYP";0
"CZE";1
"DDR";0
"DEU";1
"DJI";0
"DMA";0
"DNK";1
"DOM";1
"DZA";1
"EAP";0
"EAR";0
"EAS";0
"ECA";0
"ECS";0
"ECU";1
"EGY";1
"EMU";0
"ERI";0
"ESH";0
"ESP";1
"EST";1
"ETH";1
"EUU";0
"FCS";0
"FIN";1
"FJI";0
"FLK";0
"FRA";1
"FRO";0
"FSM";0
"GAB";1
"GBR";1
"GEO";1
"GHA";1
"GIB";0
"GIN";1
"GLP";0
"GMB";0
"GNB";0
"GNQ";0
"GRC";1
"GRD";0
"GRL";0
"GTM";1
"GUF";0
"GUM";0
"GUY";0
"HIC";0
"HKG";0
"HMD";0
"HND";1
"HPC";0
"HRV";1
"HTI";0
"HUN";1
"IBD";0
"IBT";0
"IDA";0
"IDB";0
"IDN";1
"IDX";0
"IMN";0
"IND";1
"INX";0
"IOT";0
"IRL";1
"IRN";1
"IRQ";0
"ISL";0
"ISR";1
"ITA";1
"JAM";1
"JOR";1
"JPN";1
"KAZ";1
"KEN";1
"KGZ";1
"KHM";1
"KIR";0
"KNA";0
"KOR";1
"KWT";1
"KZA";0
"LAC";0
"LAO";1
"LBN";1
"LBR";0
"LBY";1
"LCA";0
"LCN";0
"LDC";0
"LIC";0
"LIE";0
"LKA";1
"LMC";0
"LMY";0
"LSO";0
"LTE";0
"LTU";1
"LUX";0
"LVA";1
"MAC";0
"MAF";0
"MAR";1
"MCO";0
"MDA";1
"MDG";1
"MDV";0
"MEA";0
"MEX";1
"MHL";0
"MIC";0
"MKD";1
"MLI";1
"MLT";0
"MMR";0
"MNA";0
"MNE";0
"MNG";1
"MNP";0
"MOZ";1
"MRT";1
"MSR";0
"MTQ";0
"MUS";1
"MWI";1
"MYS";1
"MYT";0
"NAC";0
"NAM";1
"NCL";0
"NER";0
"NFK";0
"NGA";1
"NIC";1
"NIU";0
"NLD";1
"NOR";1
"NPL";0
"NRU";0
"NZL";1
"OED";0
"OMN";1
"OSS";0
"PAK";1
"PAN";0
"PCI";0
"PCN";0
"PCZ";0
"PER";1
"PHL";1
"PLW";0
"PNG";1
"POL";1
"POR";0
"PRE";0
"PRI";0
"PRK";0
"PRT";1
"PRY";1
"PSE";0
"PSS";0
"PST";0
"PYF";0
"QAT";1
"REU";0
"ROU";1
"RUS";1
"RWA";0
"SAS";0
"SAU";1
"SCG";0
"SDN";0
"SEN";1
"SER";0
"SGP";0
"SGS";0
"SHN";0
"SLB";0
"SLE";0
"SLV";1
"SMR";0
"SOM";0
"SPM";0
"SRB";1
"SSA";0
"SSD";0
"SSF";0
"SST";0
"STP";0
"SUN";0
"SUR";0
"SVK";1
"SVN";1
"SWE";1
"SWZ";0
"SXM";0
"SYC";0
"SYR";0
"TCA";0
"TCD";0
"TEA";0
"TEC";0
"TGO";0
"THA";1
"TJK";1
"TKL";0
"TKM";1
"TLA";0
"TLS";0
"TMN";0
"TON";0
"TSA";0
"TSS";0
"TTO";1
"TUN";1
"TUR";1
"TUV";0
"TWN";0
"TZA";1
"UAE";0
"UGA";1
"UKR";1
"UMC";0
"UMI";0
"URY";1
"USA";1
"UZB";1
"VAT";0
"VCT";0
"VDR";0
"VEN";1
"VGB";0
"VIR";0
"VNM";1
"VUT";0
"WLD";0
"WLF";0
"WSM";0
"XKX";0
"XTI";0
"YEM";1
"YMD";0
"YUG";0
"ZAF";1
"ZMB";1
"ZWE";1
