code,reported_serv,reported_serv_recent
ABW,True,True
AFG,True,True
AGO,True,True
AIA,False,False
ALB,True,True
AND,False,False
ANT,False,False
ARE,False,False
ARG,True,True
ARM,True,True
ASM,False,False
ATA,False,False
ATF,False,False
ATG,True,True
AUS,True,True
AUT,True,True
AZE,True,True
BDI,True,True
BEL,True,True
BEN,True,True
BES,False,False
BFA,True,True
BGD,True,True
BGR,True,True
BHR,True,True
BHS,True,True
BIH,True,True
BLM,False,False
BLR,True,True
BLZ,True,True
BMU,True,True
BOL,True,True
BRA,True,True
BRB,True,False
BRN,True,True
BTN,True,True
BVT,False,False
BWA,True,True
CAF,True,False
CAN,True,True
CCK,False,False
CHE,True,True
CHL,True,True
CHN,True,True
CIV,True,True
CMR,True,True
COD,True,True
COG,True,False
COK,False,False
COL,True,True
COM,True,False
CPV,True,True
CRI,True,True
CSK,False,False
CUB,False,False
CUW,True,True
CXR,False,False
CYM,False,False
CYP,True,True
CZE,True,True
DDR,False,False
DEU,True,True
DJI,True,True
DMA,True,True
DNK,True,True
DOM,True,True
DZA,True,True
ECU,True,True
EGY,True,True
ERI,True,False
ESH,False,False
ESP,True,True
EST,True,True
ETH,True,True
FIN,True,True
FJI,True,True
FLK,False,False
FRA,True,True
FRO,True,False
FSM,True,False
GAB,True,False
GBR,True,True
GEO,True,True
GHA,True,True
GIB,False,False
GIN,True,True
GLP,False,False
GMB,True,True
GNB,True,True
GNQ,True,False
GRC,True,True
GRD,True,True
GRL,False,False
GTM,True,True
GUF,False,False
GUM,False,False
GUY,True,True
HKG,True,True
HMD,False,False
HND,True,True
HRV,True,True
HTI,True,True
HUN,True,True
IDN,True,True
IND,True,True
IOT,False,False
IRL,True,True
IRN,True,False
IRQ,True,True
ISL,True,True
ISR,True,True
ITA,True,True
JAM,True,True
JOR,True,True
JPN,True,True
KAZ,True,True
KEN,True,True
KGZ,True,True
KHM,True,True
KIR,True,True
KNA,True,True
KOR,True,True
KWT,True,True
LAO,True,True
LBN,True,True
LBR,True,False
LBY,True,True
LCA,True,True
LKA,True,True
LSO,True,True
LTU,True,True
LUX,True,True
LVA,True,True
MAC,True,True
MAR,True,True
MDA,True,True
MDG,True,True
MDV,True,True
MEX,True,True
MHL,True,True
MKD,True,True
MLI,True,False
MLT,True,True
MMR,True,True
MNE,True,True
MNG,True,True
MNP,False,False
MOZ,True,True
MRT,True,True
MSR,False,False
MTQ,False,False
MUS,True,True
MWI,True,True
MYS,True,True
MYT,False,False
NAM,True,True
NCL,True,True
NER,True,True
NFK,False,False
NGA,True,True
NIC,True,True
NIU,False,False
NLD,True,True
NOR,True,True
NPL,True,True
NRU,False,False
NZL,True,True
OMN,True,True
PAK,True,True
PAN,True,True
PCI,False,False
PCN,False,False
PCZ,False,False
PER,True,True
PHL,True,True
PLW,True,False
PNG,True,True
POL,True,True
PRK,False,False
PRT,True,True
PRY,True,True
PSE,True,True
PYF,True,True
QAT,True,True
REU,False,False
ROU,True,True
RUS,True,True
RWA,True,True
SAU,True,True
SCG,False,False
SDN,True,True
SEN,True,False
SGP,True,True
SGS,False,False
SHN,False,False
SLB,True,True
SLE,True,True
SLV,True,True
SMR,False,False
SOM,False,False
SPM,False,False
SRB,True,True
SSD,True,True
STP,True,True
SUN,False,False
SUR,True,True
SVK,True,True
SVN,True,True
SWE,True,True
SWZ,True,True
SXM,True,True
SYC,True,True
SYR,True,False
TCA,False,False
TCD,True,False
TGO,True,False
THA,True,True
TJK,True,True
TKL,False,False
TKM,False,False
TLS,True,True
TON,True,False
TTO,True,True
TUN,True,True
TUR,True,True
TUV,True,False
TZA,True,True
UGA,True,True
UKR,True,True
UMI,False,False
URY,True,True
USA,True,True
UZB,False,False
VAT,False,False
VCT,True,True
VDR,False,False
VEN,True,True
VGB,False,False
VIR,False,False
VNM,True,True
VUT,True,False
WLF,False,False
WSM,True,True
YEM,True,False
YMD,False,False
YUG,False,False
ZAF,True,True
ZMB,True,True
ZWE,True,True
TWN,False,False
ANS,False,False
WLD,False,False
