iso,is_trusted
ABW,0
AFG,0
AGO,1
AIA,0
ALB,0
AND,0
ANS,0
ARE,0
ARG,1
ARM,1
ASM,0
ATA,0
ATF,0
ATG,0
AUS,1
AUT,1
AZE,1
BDI,0
BEL,1
BEN,0
BES,0
BFA,0
BGD,1
BGR,1
BHR,0
BHS,0
BIH,1
BLM,0
BLR,1
BLZ,1
BMU,0
BOL,1
BRA,1
BRB,0
BRN,1
BTN,0
BVT,0
BWA,0
CAF,1
CAN,1
CCK,0
CHE,1
CHL,1
CHN,0
CIV,1
CMR,1
COD,0
COG,1
COK,0
COL,1
COM,0
CPV,0
CRI,0
CUB,0
CUW,0
CXR,0
CYM,0
CYP,0
CZE,1
DEU,1
DJI,0
DMA,0
DNK,1
DOM,0
DZA,1
ECU,1
EGY,1
ERI,0
ESH,0
ESP,1
EST,1
ETH,1
FIN,1
FJI,1
FLK,0
FRA,1
FRO,1
FSM,0
GAB,1
GBR,1
GEO,0
GHA,1
GIB,0
GIN,0
GMB,0
GNB,0
GNQ,1
GRC,1
GRD,1
GRL,0
GTM,1
GUM,0
GUY,1
HKG,1
HMD,0
HND,0
HRV,1
HTI,1
HUN,1
IDN,1
IND,1
IOT,0
IRL,1
IRN,0
IRQ,1
ISL,1
ISR,1
ITA,1
JAM,1
JOR,1
JPN,1
KAZ,1
KEN,1
KGZ,0
KHM,0
KIR,0
KNA,0
KOR,1
KWT,1
LAO,1
LBN,1
LBR,0
LBY,1
LCA,0
LKA,1
LSO,0
LTU,1
LUX,1
LVA,0
MAC,1
MAR,1
MDA,0
MDG,0
MDV,0
MEX,1
MHL,0
MKD,1
MLI,0
MLT,0
MMR,1
MNE,1
MNG,1
MNP,0
MOZ,1
MRT,0
MSR,0
MUS,1
MWI,1
MYS,1
NAM,1
NCL,1
NER,0
NFK,0
NGA,1
NIC,0
NIU,0
NLD,1
NOR,1
NPL,1
NRU,0
NZL,1
OMN,1
PAK,1
PAN,0
PCN,0
PER,1
PHL,0
PLW,0
PNG,1
POL,1
PRK,1
PRT,1
PRY,0
PSE,0
PYF,1
QAT,1
ROU,1
RUS,1
RWA,0
SAU,1
SDN,1
SEN,1
SGP,1
SGS,0
SHN,0
SLB,0
SLE,0
SLV,1
SMR,0
SOM,0
SPM,0
SRB,1
SSD,1
STP,0
SUR,1
SVK,1
SVN,1
SWE,1
SWZ,0
SXM,0
SYC,1
SYR,0
TCA,0
TCD,0
TGO,0
THA,1
TJK,0
TKL,0
TKM,0
TLS,0
TON,0
TTO,1
TUN,1
TUR,1
TUV,0
TWN,1
TZA,1
UGA,1
UKR,1
UMI,0
URY,1
USA,1
UZB,0
VAT,0
VCT,0
VEN,1
VGB,0
VNM,1
VUT,0
WLF,0
WSM,0
YEM,1
ZAF,1
ZMB,1
ZWE,0
ANT,0
CSK,0
DDR,0
GLP,0
GUF,0
MTQ,0
MYT,0
PCI,0
PCZ,0
REU,0
SCG,0
SUN,0
VDR,0
VIR,0
WLD,0
YMD,0
YUG,0
