"","code","level","name_en","name_es","name_short_en","name_short_es","parent_id","name","trusted","in_book"
0,"ABW","country","Aruba","Aruba (Territorio Holandes De Ultramar)","Aruba","Aruba",356.0,"Aruba",0.0,0.0
1,"AFG","country","Afghanistan","Afganistan (Emirato Islamico De)","Afghanistan","Afganistan",353.0,"Afghanistan",0.0,0.0
2,"AGO","country","Angola","Angola (Republica De)","Angola","Angola",352.0,"Angola",1.0,1.0
3,"AIA","country","Anguilla","Anguila","Anguilla","Anguila",356.0,"Anguilla",0.0,0.0
4,"ALB","country","Albania","Albania (Republica De)","Albania","Albania",355.0,"Albania",0.0,1.0
5,"AND","country","Andorra","Andorra (Principado De)","Andorra","Andorra",355.0,"Andorra",0.0,0.0
6,"ANT","country","Netherlands Antilles","Antillas Neerlandesas (Territorio Holandes De Ultramar)","Netherlands Antilles","Antillas Neerlandesas",356.0,"Netherlands Antilles",0.0,0.0
7,"ARE","country","United Arab Emirates","Emiratos Arabes Unidos","U.A.E.","E.A.U.",353.0,"United Arab Emirates",0.0,1.0
8,"ARG","country","Argentina","Argentina (Republica)","Argentina","Argentina",357.0,"Argentina",1.0,1.0
9,"ARM","country","Armenia","Armenia (Republica De)","Armenia","Armenia",353.0,"Armenia",1.0,0.0
10,"ASM","country","American Samoa","","American Samoa","",358.0,"American Samoa",0.0,0.0
11,"ATA","country","Antarctica","","Antarctica","",358.0,"Antarctica",0.0,0.0
12,"ATF","country","French Southern and Antarctic Lands","Territorios Franceses, Australes Y Antarticos","French Southern and Antarctic Lands","Territorios Franceses, Australes Y Antarticos",358.0,"French Southern and Antarctic Lands",0.0,0.0
13,"ATG","country","Antigua and Barbuda","Antigua Y Barbuda (Comunidad Britanica De Naciones)","Antigua and Barbuda","Antigua y Barbuda",356.0,"Antigua and Barbuda",0.0,0.0
14,"AUS","country","Australia","Australia (Comunidad De)","Australia","Australia",354.0,"Australia",1.0,1.0
15,"AUT","country","Austria","Austria (Republica De)","Austria","Austria",355.0,"Austria",1.0,1.0
16,"AZE","country","Azerbaijan","Azerbaijan (Republica Azerbaijani)","Azerbaijan","Azerbaijan",353.0,"Azerbaijan",1.0,1.0
17,"BDI","country","Burundi","Burundi (Republica De)","Burundi","Burundi",352.0,"Burundi",0.0,0.0
18,"BEL","country","Belgium","Belgica (Reino De)","Belgium","Belgica",355.0,"Belgium",1.0,1.0
