,alpha3,code,level,name,name_es,parent_id
0,ABW,27,country,Aruba,Aruba,258
1,AFG,13,country,Afghanistan,AfganistÃ¡n,252
2,AGO,40,country,Angola,Angola,251
3,AIA,41,country,Anguilla,Anguilla,258
4,ALB,17,country,Albania,Albania,254
5,AND,37,country,Andorra,Andorra,254
6,ANT,47,country,Netherlands Antilles,Antillas Neerlandesas,258
7,ARE,244,country,United Arab Emirates,Emiratos Arabes Unidos,252
8,ARG,63,country,Argentina,Argentina,256
9,ARM,26,country,Armenia,Armenia,252
10,ATG,43,country,Antigua and Barbuda,Antigua y Barbuda,258
11,AUS,69,country,Australia,Australia,253
12,AUT,72,country,Austria,Austria,254
13,AZE,74,country,Azerbaijan,AzerbaiyÃ¡n,252
14,BDI,115,country,Burundi,Burundi,251
15,BEL,87,country,Belgium,BÃ©lgica,254
16,BEN,229,country,Benin,Benin,251
17,BFA,31,country,Burkina Faso,Burkina Faso,251
18,BGD,81,country,Bangladesh,Bangladesh,252
19,BGR,111,country,Bulgaria,Bulgaria,254
20,BHR,80,country,Bahrain,Bahrein,252
21,BHS,77,country,Bahamas,Bahamas,258
22,BIH,29,country,Bosnia and Herzegovina,Bosnia y Herzegovina,254
23,BLR,91,country,Belarus,BelarÃºs,254
24,BLZ,88,country,Belize,Belice,257
25,BMU,90,country,Bermuda,Bermudas,255
26,BOL,97,country,Bolivia (Plurinational State of),Bolivia,256
27,BRA,105,country,Brazil,Brasil,256
28,BRB,83,country,Barbados,Barbados,258
29,BRN,108,country,Brunei Darussalam,Brunei Darussalam,252
30,BTN,119,country,Bhutan,ButÃ¡n,252
31,BWA,101,country,Botswana,Botswana,251
32,CAF,640,country,Central African Republic,RepÃºblica Centroafricana,251
33,CAN,149,country,Canada,CanadÃ¡,255
34,CCK,165,country,Cocos (Keeling) Islands,"Cocos (Keeling),Islas",253
35,CHE,767,country,Switzerland,Suiza,254
36,CHL,211,country,Chile,Chile,256
37,CHN,215,country,China,China,252
38,CIV,193,country,CÃ´te d'Ivoire,Costa de Marfil,251
39,CMR,145,country,Cameroon,"CamerÃºn, RepÃºblica Unida del",251
40,COD,888,country,Congo (Democratic Republic of the),Rep. DemocrÃ¡tica del Congo,251
41,COG,177,country,Congo,"Congo, RepÃºblica del",251
42,COK,183,country,Cook Islands,"Cook, Islas",253
43,COL,169,country,Colombia,Colombia,256
44,COM,173,country,Comoros,Comoras,251
45,CPV,127,country,Cabo Verde,Cabo Verde,251
46,CRI,196,country,Costa Rica,Costa Rica,257
47,CUB,199,country,Cuba,Cuba,258
48,CYM,137,country,Cayman Islands,"CaimÃ¡n, Islas",258
49,CYP,221,country,Cyprus,Chipre,252
50,CZE,644,country,Czech Republic,Republica Checa,254
51,DEU,23,country,Germany,Alemania,254
52,DJI,783,country,Djibouti,Djibouti,251
53,DMA,235,country,Dominica,Dominica,258
54,DNK,232,country,Denmark,Dinamarca,254
55,DOM,647,country,Dominican Republic,RepÃºblica Dominicana,258
56,DZA,59,country,Algeria,Argelia,251
57,ECU,239,country,Ecuador,Ecuador,256
58,EGY,240,country,Egypt,Egipto,251
59,ERI,243,country,Eritrea,Eritrea,251
60,ESH,685,country,Western Sahara,Sahara Occidental,251
61,ESP,245,country,Spain,EspaÃ±a,254
62,EST,251,country,Estonia,Estonia,254
63,ETH,253,country,Ethiopia,EtiopÃ_a,251
64,FIN,271,country,Finland,Finlandia,254
65,FJI,870,country,Fiji,Fiji,253
66,FRA,275,country,France,Francia,254
67,GAB,281,country,Gabon,GabÃ_n,251
68,GBR,628,country,United Kingdom of Great Britain and Northern Ireland,Reino Unido,254
69,GEO,287,country,Georgia,Georgia,252
70,GHA,289,country,Ghana,Ghana,251
71,GIB,293,country,Gibraltar,Gibraltar,254
72,GIN,329,country,Guinea,Guinea,251
73,GLP,309,country,Guadeloupe,Guadalupe,258
74,GMB,285,country,Gambia,Gambia,251
75,GNB,334,country,Guinea-Bissau,Guinea Bissau,251
76,GNQ,331,country,Equatorial Guinea,Guinea Ecuatorial,251
77,GRC,301,country,Greece,Grecia,254
78,GRD,297,country,Grenada,Granada,258
79,GRL,305,country,Greenland,Groenlandia,255
80,GTM,317,country,Guatemala,Guatemala,257
81,GUF,325,country,French Guiana,Guayana Francesa,256
82,GUM,313,country,Guam,Guam,253
83,GUY,337,country,Guyana,Guyana,256
84,HKG,351,country,Hong Kong,Hong Kong,252
85,HND,345,country,Honduras,Honduras,257
86,HRV,198,country,Croatia,Croacia,254
87,HTI,341,country,Haiti,HaitÃ_,258
88,HUN,355,country,Hungary,HungrÃ_a,254
89,IDN,365,country,Indonesia,Indonesia,252
90,IND,361,country,India,India,252
91,IRL,375,country,Ireland,Irlanda (Eire),254
92,IRN,372,country,Iran (Islamic Republic of),IrÃ¡n,252
93,IRQ,369,country,Iraq,Irak,252
94,ISL,379,country,Iceland,Islandia,254
95,ISR,383,country,Israel,Israel,252
96,ITA,386,country,Italy,Italia,254
97,JAM,391,country,Jamaica,Jamaica,258
98,JOR,403,country,Jordan,Jordania,252
99,JPN,399,country,Japan,JapÃ_n,252
100,KAZ,406,country,Kazakhstan,KazajstÃ¡n,252
101,KEN,410,country,Kenya,Kenia,251
102,KGZ,412,country,Kyrgyzstan,KirguistÃ¡n,252
103,KHM,141,country,Cambodia,Camboya,252
104,KIR,411,country,Kiribati,Kiribati,253
105,KNA,695,country,Saint Kitts and Nevis,Saint kitts y nevis,258
106,KOR,190,country,Korea (Republic of),"Corea (Sur), RepÃºblica de",252
107,KWT,413,country,Kuwait,Kuwait,252
108,LAO,420,country,Lao People's Democratic Republic,"Laos, RepÃºblica Popular DemocrÃ¡tica de",252
109,LBN,431,country,Lebanon,Libano,252
110,LBR,434,country,Liberia,Liberia,251
111,LBY,438,country,Libya,Libia,251
112,LCA,715,country,Saint Lucia,Santa LucÃ_a,258
113,LIE,440,country,Liechtenstein,Liechtenstein,254
114,LKA,750,country,Sri Lanka,Sri Lanka,252
115,LSO,426,country,Lesotho,Lesotho,251
116,LTU,443,country,Lithuania,Lituania,254
117,LUX,445,country,Luxembourg,Luxemburgo,254
118,LVA,429,country,Latvia,Letonia,254
119,MAC,447,country,Macao,Macao,252
120,MAR,474,country,Morocco,Marruecos,251
121,MCO,498,country,Monaco,MÃ_naco,254
122,MDA,496,country,Moldova (Republic of),Moldavia,254
123,MDG,450,country,Madagascar,Madagascar,251
124,MDV,461,country,Maldives,Maldivas,252
125,MEX,493,country,Mexico,MÃ©xico,257
126,MHL,472,country,Marshall Islands,"Marshall, Islas",253
127,MKD,448,country,Macedonia (the former Yugoslav Republic of),Macedonia,254
128,MLI,464,country,Mali,MalÃ_,251
129,MLT,467,country,Malta,Malta,254
130,MMR,93,country,Myanmar,Myanmar,252
131,MNE,500,country,Montenegro,Montenegro,254
132,MNG,497,country,Mongolia,Mongolia,252
133,MNP,469,country,Northern Mariana Islands,"Marianas septentrionales, islas",253
134,MOZ,505,country,Mozambique,Mozambique,251
135,MRT,488,country,Mauritania,Mauritania,251
136,MSR,501,country,Montserrat,"Montserrat, Isla",258
137,MTQ,477,country,Martinique,Martinica,258
138,MUS,485,country,Mauritius,Mauricio,251
139,MWI,458,country,Malawi,Malawi,251
140,MYS,455,country,Malaysia,Malasia,252
