code_alpha3,parent_code
ABW,8
AFG,2
AGO,1
AIA,8
ALB,4
AND,4
ANT,8
ARE,2
ARG,6
ARM,2
ATG,8
AUS,3
AUT,4
AZE,2
BDI,1
BEL,4
BEN,1
BFA,1
BGD,2
BGR,4
BHR,2
BHS,8
BIH,4
BLR,4
BLZ,7
BMU,5
BOL,6
BRA,6
BRB,8
BRN,2
BTN,2
BWA,1
CAF,1
CAN,5
CCK,3
CHE,4
CHL,6
CHN,2
CIV,1
CMR,1
COD,1
COG,1
COK,3
COL,6
COM,1
CPV,1
CRI,7
CUB,8
CYM,8
CYP,2
CZE,4
DEU,4
DJI,1
DMA,8
DNK,4
DOM,8
DZA,1
ECU,6
EGY,1
ERI,1
ESH,1
ESP,4
EST,4
ETH,1
FIN,4
FJI,3
FRA,4
GAB,1
GBR,4
GEO,2
GHA,1
GIB,4
GIN,1
GLP,8
GMB,1
GNB,1
GNQ,1
GRC,4
GRD,8
GRL,5
GTM,7
GUF,6
GUM,3
GUY,6
HKG,2
HND,7
HRV,4
HTI,8
HUN,4
IDN,2
IND,2
IRL,4
IRN,2
IRQ,2
ISL,4
ISR,2
ITA,4
JAM,8
JOR,2
JPN,2
KAZ,2
KEN,1
KGZ,2
KHM,2
KIR,3
KNA,8
KOR,2
KWT,2
LAO,2
LBN,2
LBR,1
LBY,1
LCA,8
LIE,4
LKA,2
LSO,1
LTU,4
LUX,4
LVA,4
MAC,2
MAR,1
MCO,4
MDA,4
MDG,1
MDV,2
MEX,7
MHL,3
MKD,4
MLI,1
MLT,4
MMR,2
MNE,4
MNG,2
MNP,3
MOZ,1
MRT,1
MSR,8
MTQ,8
MUS,1
MWI,1
MYS,2
NAM,1
NCL,3
NER,1
NFK,3
NGA,1
NIC,7
NIU,3
NOR,4
NPL,2
NRU,3
NZL,3
OMN,2
PAK,2
PAN,7
PCN,3
PER,6
PHL,2
PLW,3
PNG,3
POL,4
PRI,8
PRK,2
PRT,4
PRY,6
PSE,2
PYF,3
QAT,2
REU,1
RUS,4
RWA,1
SAU,2
SDN,1
SEN,1
SGP,2
SHN,1
SJM,4
SLB,3
SLE,1
SLV,7
SMR,4
SOM,1
SPM,5
SRB,4
STP,1
SUR,6
SVK,4
SVN,4
SWE,4
SWZ,1
SYC,1
SYR,2
TCA,8
TCD,1
TGO,1
THA,2
TJK,2
TKL,3
TKM,2
TON,3
TTO,8
TUN,1
TUR,2
TUV,3
TWN,2
TZA,1
UGA,1
UKR,4
URY,6
USA,5
UZB,2
VCT,8
VEN,6
VGB,8
VIR,8
VNM,2
VUT,3
WLF,3
WSM,3
YEM,2
ZAF,1
ZMB,1
ZWE,1
ALA,4
ASM,3
ATA,9
ATF,9
BES,8
BLM,4
BVT,9
CUW,8
CXR,2
FRO,4
FSM,3
GGY,4
HMD,9
IMN,4
IOT,2
JEY,4
MAF,8
MYT,1
NLD,4
ROU,4
SCG,4
SSD,1
SXM,8
TLS,2
UMI,3
VAT,4
ZZZ,9
FLK,6
SGS,6
