code,name_en,name_short_en,name_es,name_short_es,continent_code,total_export
ABW,Aruba,Aruba,Aruba (Territorio Holandes De Ultramar),Aruba,8,6967890944
AFG,Afghanistan,Afghanistan,Afganistan (Emirato Islamico De),Afganistan,2,5026347
AGO,Angola,Angola,Angola (Republica De),Angola,1,317773856
AIA,Anguilla,Anguilla,Anguila,Anguila,8,3535656.75
ALB,Albania,Albania,Albania (Republica De),Albania,4,11732032
AND,Andorra,Andorra,Andorra (Principado De),Andorra,4,248697.3594
ANT,Netherlands Antilles,Netherlands Antilles,Antillas Neerlandesas (Territorio Holandes De Ultramar),Antillas Neerlandesas,8,502160768
ARE,United Arab Emirates,U.A.E.,Emiratos Arabes Unidos,E.A.U.,2,2556934400
ARG,Argentina,Argentina,Argentina (Republica),Argentina,6,13412083712
ARM,Armenia,Armenia,Armenia (Republica De),Armenia,2,4120220.75
ATG,Antigua and Barbuda,Antigua and Barbuda,Antigua Y Barbuda (Comunidad Britanica De Naciones),Antigua y Barbuda,8,26007158
AUS,Australia,Australia,Australia (Comunidad De),Australia,3,6572201984
AUT,Austria,Austria,Austria (Republica De),Austria,4,627741312
AZE,Azerbaijan,Azerbaijan,Azerbaijan (Republica Azerbaijani),Azerbaijan,2,16386606
BDI,Burundi,Burundi,Burundi (Republica De),Burundi,1,3381618.5
BEL,Belgium,Belgium,Belgica (Reino De),Belgica,4,8712343552
BEN,Benin,Benin,Benin (Republica De),Benin,1,2166127
BFA,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,1,18344692
BGD,Bangladesh,Bangladesh,Bangladesh (Republica Popular De),Bangladesh,2,51304956
BGR,Bulgaria,Bulgaria,Bulgaria (Republica De),Bulgaria,4,99434960
BHR,Bahrain,Bahrain,Bahrein (Estado De),Bahrein,2,132556168
BHS,Bahamas,Bahamas,Bahamas (Comunidad De Las),Bahamas,8,514355808
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia Y Herzegovina,Bosnia y Herzegovina,4,7782941.5
BLR,Belarus,Belarus,Bielorrusia (Republica De),Bielorrusia,4,9171663
BLZ,Belize,Belize,Belice,Belice,7,1082850944
BMU,Bermuda,Bermuda,Bermudas,Bermudas,5,96707880
BOL,Bolivia (Plurinational State of),Bolivia,Bolivia (Republica De),Bolivia,6,1126571264
BRA,Brazil,Brazil,Brasil (Republica Federativa De),Brasil,6,33744734208
BRB,Barbados,Barbados,Barbados (Comunidad Britanica De Naciones),Barbados,8,176063040
BRN,Brunei Darussalam,Brunei Darussalam,Brunei (Estado De) (Residencia De Paz),Brunei,2,16939340
BTN,Bhutan,Bhutan,Butan (Reino De),Butan,2,103126.1563
BWA,Botswana,Botswana,Botswana (Republica De),Botswana,1,883986.9375
CAF,Central African Republic,Central African Republic,Republica Centroafricana,Republica Centroafricana,1,4495646
CAN,Canada,Canada,Canada,Canada,5,75754856448
CCK,Cocos (Keeling) Islands,Cocos (Keeling) Islands,"Cocos (Keeling, Islas Australianas)",Cocos Islas (Keeling),3,3036.380127
CHE,Switzerland,Switzerland,Suiza (Confederacion),Suiza ,4,6972511232
CHL,Chile,Chile,Chile (Republica De),Chile ,6,20717619200
CHN,China,China,China (Republica Popular),China,2,35999965184
CIA,Vatican City ,Vatican City ,Ciudad Del Vaticano (Estado De La),Ciudad Del Vaticano,4,112793.6563
CIV,Côte d'Ivoire,Côte d'Ivoire,Costa De Marfil (Republica De La),Costa De Marfil,1,47831180
CMR,Cameroon,Cameroon,Camerun (Republica Del),Camerun,1,47491780
COD,Congo (Democratic Republic of the),Congo (Democratic Republic of the),Republica Popular Del Congo,Republica Popular Del Congo,1,2121349
COG,Congo,Congo,Congo (Republica Del),Congo,1,52295400
COK,Cook Islands,Cook Islands,Cook (Islas),Cook (Islas),3,1455587.375
COL,Colombia,Colombia,Colombia (Republica De),Colombia,6,56008302592
COM,Comoros,Comoros,Comoras (Islas),Comoras,1,366688.0313
CPV,Cabo Verde,Cabo Verde,Cabo Verde (Republica De),Cabo Verde,1,223420.25
CRI,Costa Rica,Costa Rica,Costa Rica (Republica De),Costa Rica,7,7662223872
CUB,Cuba,Cuba,Cuba (Republica De),Cuba,8,2815371008
CUR,Curaçao,Curaçao,Curazao (Territorio Holandes De Ultramar),Curazao,8,86378248
CXI,Christmas Island,Christmas Island,Navidad (Christmas) (Islas),Navidad (Christmas) (Islas),3,5444.675781
CYM,Cayman Islands,Cayman Islands,Caiman (Islas),Caiman (Islas),8,311104640
CYP,Cyprus,Cyprus,Chipre (Republica De),Chipre,2,71386280
CZE,Czech Republic,Czech Republic,Republica Checa,Republica Checa,4,1195304832
DEU,Germany,Germany,Alemania (Republica Federal De),Alemania,4,35408248832
DJI,Djibouti,Djibouti,Djibouti (Republica De),Djibouti,1,480653.5313
DMA,Dominica,Dominica,Dominica (Comunidad De),Dominica,8,18730552
DNK,Denmark,Denmark,Dinamarca (Reino De),Dinamarca,4,1082294144
DOM,Dominican Republic,Dominican Republic,Republica Dominicana,Republica Dominicana,8,7596421120
DSM,Micronesia,Micronesia,Estado Federado De Micronesia,Micronesia,3,1405683.125
DZA,Algeria,Algeria,Argelia (Republica Democratica Y Popular De),Argelia,1,1753636608
ECU,Ecuador,Ecuador,Ecuador (Republica Del),Ecuador,6,6895091200
EGY,Egypt,Egypt,Egipto (Republica Arabe De),Egipto,1,401339840
EMU,European Union,European Union,Comunidad Europea,Comunidad Europea,4,373152096
ERI,Eritrea,Eritrea,Eritrea (Estado De),Eritrea,1,1629237.625
ESH,Western Sahara,Western Sahara,Sahara Occidental (Republica Arabe Saharavi Democratica),Sahara Occidental,1,471956.75
ESP,Spain,Spain,España (Reino De),España,4,44383563776
EST,Estonia,Estonia,Estonia (Republica De),Estonia,4,51818016
ETH,Ethiopia,Ethiopia,Etiopia (Republica Democratica Federal),Etiopia,1,12681462
FIN,Finland,Finland,Finlandia (Republica De),Finlandia,4,671144640
FJI,Fiji,Fiji,Fidji (Republica De),Fidji,3,6244435
FLK,Falkland Islands,Falkland Islands,Islas Malvinas (R.U.),Islas Malvinas,7,
FRA,France,France,Francia (Republica Francesa),Francia,4,8081025536
FXA,French Southern and Antarctic Lands,French Southern and Antarctic Lands,"Territorios Franceses, Australes Y Antarticos","Territorios Franceses, Australes Y Antarticos",9,127942.5469
GAB,Gabon,Gabon,Gabonesa (Republica),Gabonesa,1,12744346
GBR,United Kingdom of Great Britain and Northern Ireland,United Kingdom,Reino Unido De La Gran Bretaña E Irlanda Del Norte,Reino Unido,4,15644216320
GEO,Georgia,Georgia,Georgia (Republica De),Georgia,2,34554568
GHA,Ghana,Ghana,Ghana (Republica De),Ghana,1,52261900
GIB,Gibraltar,Gibraltar,Gibraltar (R.U.),Gibraltar,4,3216656
GIN,Guinea,Guinea,Guinea (Republica De),Guinea,1,7086692
GLP,Guadeloupe,Guadeloupe,Guadalupe (Departamento De),Guadalupe,8,10856444
GMB,Gambia,Gambia,Gambia (Republica De La),Gambia ,1,657217.8125
GNB,Guinea-Bissau,Guinea-Bissau,Guinea-Bissau (Republica De),Guinea-Bissau,1,797433.5
GNQ,Equatorial Guinea,Equatorial Guinea,Guinea Ecuatorial (Republica De),Guinea Ecuatorial,1,21101692
GRC,Greece,Greece,Grecia (Republica Helenica),Grecia,4,506906272
GRD,Grenada,Grenada,Granada,Granada,8,10448107
GRL,Greenland,Greenland,Groenlandia (Dinamarca),Groenlandia,5,69054.73438
GTM,Guatemala,Guatemala,Guatemala (Republica De),Guatemala,7,13171058688
GUF,French Guiana,French Guiana,Guyana Francesa,Guyana Francesa,6,14393169
GUM,Guam,Guam,Guam (E.U.A.),Guam,3,7720632
GUY,Guyana,Guyana,Guyana (Republica Cooperativa De),Guyana,6,69390808
GZA,Gaza Strip,Gaza Strip,Franja De Gaza,Franja De Gaza,2,74363.5
HKG,Hong Kong,Hong Kong,Hong Kong (Region Administrativa Especial De La Republica),Hong Kong,2,5318760448
HND,Honduras,Honduras,Honduras (Republica De),Honduras,7,3950729472
HRV,Croatia,Croatia,Croacia (Republica De),Croacia ,4,245473424
HTI,Haiti,Haiti,Haiti (Republica De),Haiti ,8,328801984
HUN,Hungary,Hungary,Hungria (Republica De),Hungria ,4,3398463232
IDN,Indonesia,Indonesia,Indonesia (Republica De),Indonesia ,2,986028480
IND,India,India,India (Republica De),India ,2,17835796480
IRL,Ireland,Ireland,Irlanda (Republica De),Irlanda ,4,3155505664
IRN,Iran (Islamic Republic of),Iran ,Iran (Republica Islamica Del),Iran,2,40433504
IRQ,Iraq,Iraq,Irak (Republica De),Irak ,2,178235536
ISL,Iceland,Iceland,Islandia (Republica De),Islandia ,4,49172600
ISR,Israel,Israel,Israel (Estado De),Israel,2,1221200384
ITA,Italy,Italy,Italia (Republica Italiana),Italia,4,7973474816
JAM,Jamaica,Jamaica,Jamaica,Jamaica,8,1332072448
JOR,Jordan,Jordan,Jordania (Reino Hachemita De),Jordania,2,113032944
JPN,Japan,Japan,Japon,Japon,2,19518414848
KAZ,Kazakhstan,Kazakhstan,Kazakhstan (Republica De),Kazakhstan ,2,412567552
