"","code","level","name_en","name_es","name_short_en","name_short_es","parent_id","name"
0,"ABW","country","Aruba","Aruba (Territorio Holandes De Ultramar)","Aruba","Aruba","","Aruba"
1,"AFG","country","Afghanistan","Afganistan (Emirato Islamico De)","Afghanistan","Afganistan","","Afghanistan"
2,"AGO","country","Angola","Angola (Republica De)","Angola","Angola","","Angola"
3,"AIA","country","Anguilla","Anguila","Anguilla","Anguila","","Anguilla"
4,"ALB","country","Albania","Albania (Republica De)","Albania","Albania","","Albania"
5,"AND","country","Andorra","Andorra (Principado De)","Andorra","Andorra","","Andorra"
6,"ANT","country","Netherlands Antilles","Antillas Neerlandesas (Territorio Holandes De Ultramar)","Netherlands Antilles","Antillas Neerlandesas","","Netherlands Antilles"
7,"ARE","country","United Arab Emirates","Emiratos Arabes Unidos","U.A.E.","E.A.U.","","United Arab Emirates"
8,"ARG","country","Argentina","Argentina (Republica)","Argentina","Argentina","","Argentina"
9,"ARM","country","Armenia","Armenia (Republica De)","Armenia","Armenia","","Armenia"
10,"ATG","country","Antigua and Barbuda","Antigua Y Barbuda (Comunidad Britanica De Naciones)","Antigua and Barbuda","Antigua y Barbuda","","Antigua and Barbuda"
11,"AUS","country","Australia","Australia (Comunidad De)","Australia","Australia","","Australia"
12,"AUT","country","Austria","Austria (Republica De)","Austria","Austria","","Austria"
13,"AZE","country","Azerbaijan","Azerbaijan (Republica Azerbaijani)","Azerbaijan","Azerbaijan","","Azerbaijan"
14,"BDI","country","Burundi","Burundi (Republica De)","Burundi","Burundi","","Burundi"
15,"BEL","country","Belgium","Belgica (Reino De)","Belgium","Belgica","","Belgium"
16,"BEN","country","Benin","Benin (Republica De)","Benin","Benin","","Benin"
17,"BFA","country","Burkina Faso","Burkina Faso","Burkina Faso","Burkina Faso","","Burkina Faso"
18,"BGD","country","Bangladesh","Bangladesh (Republica Popular De)","Bangladesh","Bangladesh","","Bangladesh"
19,"BGR","country","Bulgaria","Bulgaria (Republica De)","Bulgaria","Bulgaria","","Bulgaria"
20,"BHR","country","Bahrain","Bahrein (Estado De)","Bahrain","Bahrein","","Bahrain"
21,"BHS","country","Bahamas","Bahamas (Comunidad De Las)","Bahamas","Bahamas","","Bahamas"
22,"BIH","country","Bosnia and Herzegovina","Bosnia Y Herzegovina","Bosnia and Herzegovina","Bosnia y Herzegovina","","Bosnia and Herzegovina"
23,"BLR","country","Belarus","Bielorrusia (Republica De)","Belarus","Bielorrusia","","Belarus"
24,"BLZ","country","Belize","Belice","Belize","Belice","","Belize"
25,"BMU","country","Bermuda","Bermudas","Bermuda","Bermudas","","Bermuda"
26,"BOL","country","Bolivia (Plurinational State of)","Bolivia (Republica De)","Bolivia","Bolivia","","Bolivia (Plurinational State of)"
27,"BRA","country","Brazil","Brasil (Republica Federativa De)","Brazil","Brasil","","Brazil"
28,"BRB","country","Barbados","Barbados (Comunidad Britanica De Naciones)","Barbados","Barbados","","Barbados"
29,"BRN","country","Brunei Darussalam","Brunei (Estado De) (Residencia De Paz)","Brunei Darussalam","Brunei","","Brunei Darussalam"
30,"BTN","country","Bhutan","Butan (Reino De)","Bhutan","Butan","","Bhutan"
31,"BWA","country","Botswana","Botswana (Republica De)","Botswana","Botswana","","Botswana"
32,"CAF","country","Central African Republic","Republica Centroafricana","Central African Republic","Republica Centroafricana","","Central African Republic"
33,"CAN","country","Canada","Canada","Canada","Canada","","Canada"
34,"CCK","country","Cocos (Keeling) Islands","Cocos (Keeling, Islas Australianas)","Cocos (Keeling) Islands","Cocos Islas (Keeling)","","Cocos (Keeling) Islands"
35,"CHE","country","Switzerland","Suiza (Confederacion)","Switzerland","Suiza ","","Switzerland"
36,"CHL","country","Chile","Chile (Republica De)","Chile","Chile ","","Chile"
37,"CHN","country","China","China (Republica Popular)","China","China","","China"
38,"CIA","country","Vatican City ","Ciudad Del Vaticano (Estado De La)","Vatican City ","Ciudad Del Vaticano","","Vatican City "
39,"CIV","country","Côte d'Ivoire","Costa De Marfil (Republica De La)","Côte d'Ivoire","Costa De Marfil","","Côte d'Ivoire"
40,"CMR","country","Cameroon","Camerun (Republica Del)","Cameroon","Camerun","","Cameroon"
41,"COD","country","Congo (Democratic Republic of the)","Republica Popular Del Congo","Congo (Democratic Republic of the)","Republica Popular Del Congo","","Congo (Democratic Republic of the)"
42,"COG","country","Congo","Congo (Republica Del)","Congo","Congo","","Congo"
43,"COK","country","Cook Islands","Cook (Islas)","Cook Islands","Cook (Islas)","","Cook Islands"
44,"COL","country","Colombia","Colombia (Republica De)","Colombia","Colombia","","Colombia"
45,"COM","country","Comoros","Comoras (Islas)","Comoros","Comoras","","Comoros"
46,"CPV","country","Cabo Verde","Cabo Verde (Republica De)","Cabo Verde","Cabo Verde","","Cabo Verde"
47,"CRI","country","Costa Rica","Costa Rica (Republica De)","Costa Rica","Costa Rica","","Costa Rica"
48,"CUB","country","Cuba","Cuba (Republica De)","Cuba","Cuba","","Cuba"
49,"CUR","country","Curaçao","Curazao (Territorio Holandes De Ultramar)","Curaçao","Curazao","","Curaçao"
50,"CXI","country","Christmas Island","Navidad (Christmas) (Islas)","Christmas Island","Navidad (Christmas) (Islas)","","Christmas Island"
51,"CYM","country","Cayman Islands","Caiman (Islas)","Cayman Islands","Caiman (Islas)","","Cayman Islands"
52,"CYP","country","Cyprus","Chipre (Republica De)","Cyprus","Chipre","","Cyprus"
53,"CZE","country","Czech Republic","Republica Checa","Czech Republic","Republica Checa","","Czech Republic"
54,"DEU","country","Germany","Alemania (Republica Federal De)","Germany","Alemania","","Germany"
55,"DJI","country","Djibouti","Djibouti (Republica De)","Djibouti","Djibouti","","Djibouti"
56,"DMA","country","Dominica","Dominica (Comunidad De)","Dominica","Dominica","","Dominica"
57,"DNK","country","Denmark","Dinamarca (Reino De)","Denmark","Dinamarca","","Denmark"
58,"DOM","country","Dominican Republic","Republica Dominicana","Dominican Republic","Republica Dominicana","","Dominican Republic"
59,"DSM","country","Micronesia","Estado Federado De Micronesia","Micronesia","Micronesia","","Micronesia"
60,"DZA","country","Algeria","Argelia (Republica Democratica Y Popular De)","Algeria","Argelia","","Algeria"
61,"ECU","country","Ecuador","Ecuador (Republica Del)","Ecuador","Ecuador","","Ecuador"
62,"EGY","country","Egypt","Egipto (Republica Arabe De)","Egypt","Egipto","","Egypt"
63,"EMU","country","European Union","Comunidad Europea","European Union","Comunidad Europea","","European Union"
64,"ERI","country","Eritrea","Eritrea (Estado De)","Eritrea","Eritrea","","Eritrea"
65,"ESH","country","Western Sahara","Sahara Occidental (Republica Arabe Saharavi Democratica)","Western Sahara","Sahara Occidental","","Western Sahara"
66,"ESP","country","Spain","España (Reino De)","Spain","España","","Spain"
67,"EST","country","Estonia","Estonia (Republica De)","Estonia","Estonia","","Estonia"
68,"ETH","country","Ethiopia","Etiopia (Republica Democratica Federal)","Ethiopia","Etiopia","","Ethiopia"
69,"FIN","country","Finland","Finlandia (Republica De)","Finland","Finlandia","","Finland"
70,"FJI","country","Fiji","Fidji (Republica De)","Fiji","Fidji","","Fiji"
71,"FLK","country","Falkland Islands","Islas Malvinas (R.U.)","Falkland Islands","Islas Malvinas","","Falkland Islands"
72,"FRA","country","France","Francia (Republica Francesa)","France","Francia","","France"
73,"FXA","country","French Southern and Antarctic Lands","Territorios Franceses, Australes Y Antarticos","French Southern and Antarctic Lands","Territorios Franceses, Australes Y Antarticos","","French Southern and Antarctic Lands"
74,"GAB","country","Gabon","Gabonesa (Republica)","Gabon","Gabonesa","","Gabon"
75,"GBR","country","United Kingdom of Great Britain and Northern Ireland","Reino Unido De La Gran Bretaña E Irlanda Del Norte","United Kingdom","Reino Unido","","United Kingdom of Great Britain and Northern Ireland"
76,"GEO","country","Georgia","Georgia (Republica De)","Georgia","Georgia","","Georgia"
77,"GHA","country","Ghana","Ghana (Republica De)","Ghana","Ghana","","Ghana"
78,"GIB","country","Gibraltar","Gibraltar (R.U.)","Gibraltar","Gibraltar","","Gibraltar"
79,"GIN","country","Guinea","Guinea (Republica De)","Guinea","Guinea","","Guinea"
80,"GLP","country","Guadeloupe","Guadalupe (Departamento De)","Guadeloupe","Guadalupe","","Guadeloupe"
81,"GMB","country","Gambia","Gambia (Republica De La)","Gambia","Gambia ","","Gambia"
82,"GNB","country","Guinea-Bissau","Guinea-Bissau (Republica De)","Guinea-Bissau","Guinea-Bissau","","Guinea-Bissau"
83,"GNQ","country","Equatorial Guinea","Guinea Ecuatorial (Republica De)","Equatorial Guinea","Guinea Ecuatorial","","Equatorial Guinea"
84,"GRC","country","Greece","Grecia (Republica Helenica)","Greece","Grecia","","Greece"
85,"GRD","country","Grenada","Granada","Grenada","Granada","","Grenada"
86,"GRL","country","Greenland","Groenlandia (Dinamarca)","Greenland","Groenlandia","","Greenland"
87,"GTM","country","Guatemala","Guatemala (Republica De)","Guatemala","Guatemala","","Guatemala"
88,"GUF","country","French Guiana","Guyana Francesa","French Guiana","Guyana Francesa","","French Guiana"
89,"GUM","country","Guam","Guam (E.U.A.)","Guam","Guam","","Guam"
90,"GUY","country","Guyana","Guyana (Republica Cooperativa De)","Guyana","Guyana","","Guyana"
91,"GZA","country","Gaza Strip","Franja De Gaza","Gaza Strip","Franja De Gaza","","Gaza Strip"
92,"HKG","country","Hong Kong","Hong Kong (Region Administrativa Especial De La Republica)","Hong Kong","Hong Kong","","Hong Kong"
93,"HND","country","Honduras","Honduras (Republica De)","Honduras","Honduras","","Honduras"
94,"HRV","country","Croatia","Croacia (Republica De)","Croatia","Croacia ","","Croatia"
95,"HTI","country","Haiti","Haiti (Republica De)","Haiti","Haiti ","","Haiti"
96,"HUN","country","Hungary","Hungria (Republica De)","Hungary","Hungria ","","Hungary"
97,"IDN","country","Indonesia","Indonesia (Republica De)","Indonesia","Indonesia ","","Indonesia"
98,"IND","country","India","India (Republica De)","India","India ","","India"
99,"IRL","country","Ireland","Irlanda (Republica De)","Ireland","Irlanda ","","Ireland"
100,"IRN","country","Iran (Islamic Republic of)","Iran (Republica Islamica Del)","Iran ","Iran","","Iran (Islamic Republic of)"
101,"IRQ","country","Iraq","Irak (Republica De)","Iraq","Irak ","","Iraq"
102,"ISL","country","Iceland","Islandia (Republica De)","Iceland","Islandia ","","Iceland"
103,"ISR","country","Israel","Israel (Estado De)","Israel","Israel","","Israel"
