"","code","level","name_en","parent_id","name","name_es","name_short_en","name_short_es"
0,"MEX","country","Mexico","","Mexico","Mexico","Mexico","Mexico"
1,"01","department","Aguascalientes",0.0,"Aguascalientes","Aguascalientes","Aguascalientes","Aguascalientes"
2,"01001","municipality","Aguascalientes",1.0,"Aguascalientes","Aguascalientes","Aguascalientes","Aguascalientes"
3,"01002","municipality","Asientos",1.0,"Asientos","Asientos","Asientos","Asientos"
4,"01003","municipality","Calvillo",1.0,"Calvillo","Calvillo","Calvillo","Calvillo"
5,"01004","municipality","Cosío",1.0,"Cosío","Cosío","Cosío","Cosío"
6,"01005","municipality","Jesús María",1.0,"Jesús María","Jesús María","Jesús María","Jesús María"
7,"01006","municipality","Pabellón De Arteaga",1.0,"Pabellón De Arteaga","Pabellón De Arteaga","Pabellón De Arteaga","Pabellón De Arteaga"
8,"01007","municipality","Rincón De Romos",1.0,"Rincón De Romos","Rincón De Romos","Rincón De Romos","Rincón De Romos"
9,"01008","municipality","San José De Gracia",1.0,"San José De Gracia","San José De Gracia","San José De Gracia","San José De Gracia"
10,"01009","municipality","Tepezalá",1.0,"Tepezalá","Tepezalá","Tepezalá","Tepezalá"
11,"01010","municipality","El Llano",1.0,"El Llano","El Llano","El Llano","El Llano"
12,"01011","municipality","San Francisco De Los Romo",1.0,"San Francisco De Los Romo","San Francisco De Los Romo","San Francisco De Los Romo","San Francisco De Los Romo"
13,"02","department","Baja California",0.0,"Baja California","Baja California","Baja California","Baja California"
14,"02001","municipality","Ensenada",13.0,"Ensenada","Ensenada","Ensenada","Ensenada"
15,"02002","municipality","Mexicali",13.0,"Mexicali","Mexicali","Mexicali","Mexicali"
16,"02003","municipality","Tecate",13.0,"Tecate","Tecate","Tecate","Tecate"
17,"02004","municipality","Tijuana",13.0,"Tijuana","Tijuana","Tijuana","Tijuana"
18,"02005","municipality","Playas De Rosarito",13.0,"Playas De Rosarito","Playas De Rosarito","Playas De Rosarito","Playas De Rosarito"
19,"03","department","Baja California Sur",0.0,"Baja California Sur","Baja California Sur","Baja California Sur","Baja California Sur"
20,"03001","municipality","Comondú",19.0,"Comondú","Comondú","Comondú","Comondú"
21,"03002","municipality","Mulegé",19.0,"Mulegé","Mulegé","Mulegé","Mulegé"
22,"03003","municipality","La Paz",19.0,"La Paz","La Paz","La Paz","La Paz"
23,"03008","municipality","Los Cabos",19.0,"Los Cabos","Los Cabos","Los Cabos","Los Cabos"
24,"03009","municipality","Loreto",19.0,"Loreto","Loreto","Loreto","Loreto"
25,"04","department","Campeche",0.0,"Campeche","Campeche","Campeche","Campeche"
26,"04001","municipality","Calkiní",25.0,"Calkiní","Calkiní","Calkiní","Calkiní"
27,"04002","municipality","Campeche",25.0,"Campeche","Campeche","Campeche","Campeche"
28,"04003","municipality","Carmen",25.0,"Carmen","Carmen","Carmen","Carmen"
29,"04004","municipality","Champotón",25.0,"Champotón","Champotón","Champotón","Champotón"
30,"04005","municipality","Hecelchakán",25.0,"Hecelchakán","Hecelchakán","Hecelchakán","Hecelchakán"
31,"04006","municipality","Hopelchén",25.0,"Hopelchén","Hopelchén","Hopelchén","Hopelchén"
32,"04007","municipality","Palizada",25.0,"Palizada","Palizada","Palizada","Palizada"
33,"04008","municipality","Tenabo",25.0,"Tenabo","Tenabo","Tenabo","Tenabo"
34,"04009","municipality","Escárcega",25.0,"Escárcega","Escárcega","Escárcega","Escárcega"
35,"04010","municipality","Calakmul",25.0,"Calakmul","Calakmul","Calakmul","Calakmul"
36,"04011","municipality","Candelaria",25.0,"Candelaria","Candelaria","Candelaria","Candelaria"
37,"05","department","Coahuila De Zaragoza",0.0,"Coahuila De Zaragoza","Coahuila De Zaragoza","Coahuila De Zaragoza","Coahuila De Zaragoza"
38,"05001","municipality","Abasolo",37.0,"Abasolo","Abasolo","Abasolo","Abasolo"
39,"05002","municipality","Acuńa",37.0,"Acuńa","Acuńa","Acuńa","Acuńa"
40,"05003","municipality","Allende",37.0,"Allende","Allende","Allende","Allende"
41,"05004","municipality","Arteaga",37.0,"Arteaga","Arteaga","Arteaga","Arteaga"
42,"05005","municipality","Candela",37.0,"Candela","Candela","Candela","Candela"
43,"05006","municipality","Castańos",37.0,"Castańos","Castańos","Castańos","Castańos"
44,"05007","municipality","Cuatro Ciénegas",37.0,"Cuatro Ciénegas","Cuatro Ciénegas","Cuatro Ciénegas","Cuatro Ciénegas"
45,"05008","municipality","Escobedo",37.0,"Escobedo","Escobedo","Escobedo","Escobedo"
46,"05009","municipality","Francisco I. Madero",37.0,"Francisco I. Madero","Francisco I. Madero","Francisco I. Madero","Francisco I. Madero"
47,"05010","municipality","Frontera",37.0,"Frontera","Frontera","Frontera","Frontera"
48,"05011","municipality","General Cepeda",37.0,"General Cepeda","General Cepeda","General Cepeda","General Cepeda"
49,"05012","municipality","Guerrero",37.0,"Guerrero","Guerrero","Guerrero","Guerrero"
50,"05013","municipality","Hidalgo",37.0,"Hidalgo","Hidalgo","Hidalgo","Hidalgo"
51,"05014","municipality","Jiménez",37.0,"Jiménez","Jiménez","Jiménez","Jiménez"
52,"05015","municipality","Juárez",37.0,"Juárez","Juárez","Juárez","Juárez"
53,"05016","municipality","Lamadrid",37.0,"Lamadrid","Lamadrid","Lamadrid","Lamadrid"
54,"05017","municipality","Matamoros",37.0,"Matamoros","Matamoros","Matamoros","Matamoros"
55,"05018","municipality","Monclova",37.0,"Monclova","Monclova","Monclova","Monclova"
56,"05019","municipality","Morelos",37.0,"Morelos","Morelos","Morelos","Morelos"
57,"05020","municipality","Múzquiz",37.0,"Múzquiz","Múzquiz","Múzquiz","Múzquiz"
58,"05021","municipality","Nadadores",37.0,"Nadadores","Nadadores","Nadadores","Nadadores"
59,"05022","municipality","Nava",37.0,"Nava","Nava","Nava","Nava"
60,"05023","municipality","Ocampo",37.0,"Ocampo","Ocampo","Ocampo","Ocampo"
61,"05024","municipality","Parras",37.0,"Parras","Parras","Parras","Parras"
62,"05025","municipality","Piedras Negras",37.0,"Piedras Negras","Piedras Negras","Piedras Negras","Piedras Negras"
63,"05026","municipality","Progreso",37.0,"Progreso","Progreso","Progreso","Progreso"
64,"05027","municipality","Ramos Arizpe",37.0,"Ramos Arizpe","Ramos Arizpe","Ramos Arizpe","Ramos Arizpe"
65,"05028","municipality","Sabinas",37.0,"Sabinas","Sabinas","Sabinas","Sabinas"
66,"05029","municipality","Sacramento",37.0,"Sacramento","Sacramento","Sacramento","Sacramento"
67,"05030","municipality","Saltillo",37.0,"Saltillo","Saltillo","Saltillo","Saltillo"
68,"05031","municipality","San Buenaventura",37.0,"San Buenaventura","San Buenaventura","San Buenaventura","San Buenaventura"
69,"05032","municipality","San Juan De Sabinas",37.0,"San Juan De Sabinas","San Juan De Sabinas","San Juan De Sabinas","San Juan De Sabinas"
70,"05033","municipality","San Pedro",37.0,"San Pedro","San Pedro","San Pedro","San Pedro"
71,"05034","municipality","Sierra Mojada",37.0,"Sierra Mojada","Sierra Mojada","Sierra Mojada","Sierra Mojada"
72,"05035","municipality","Torreón",37.0,"Torreón","Torreón","Torreón","Torreón"
73,"05036","municipality","Viesca",37.0,"Viesca","Viesca","Viesca","Viesca"
74,"05037","municipality","Villa Unión",37.0,"Villa Unión","Villa Unión","Villa Unión","Villa Unión"
75,"05038","municipality","Zaragoza",37.0,"Zaragoza","Zaragoza","Zaragoza","Zaragoza"
76,"06","department","Colima",0.0,"Colima","Colima","Colima","Colima"
77,"06001","municipality","Armería",76.0,"Armería","Armería","Armería","Armería"
78,"06002","municipality","Colima",76.0,"Colima","Colima","Colima","Colima"
79,"06003","municipality","Comala",76.0,"Comala","Comala","Comala","Comala"
80,"06004","municipality","Coquimatlán",76.0,"Coquimatlán","Coquimatlán","Coquimatlán","Coquimatlán"
81,"06005","municipality","Cuauhtémoc",76.0,"Cuauhtémoc","Cuauhtémoc","Cuauhtémoc","Cuauhtémoc"
82,"06006","municipality","Ixtlahuacán",76.0,"Ixtlahuacán","Ixtlahuacán","Ixtlahuacán","Ixtlahuacán"
83,"06007","municipality","Manzanillo",76.0,"Manzanillo","Manzanillo","Manzanillo","Manzanillo"
84,"06008","municipality","Minatitlán",76.0,"Minatitlán","Minatitlán","Minatitlán","Minatitlán"
85,"06009","municipality","Tecomán",76.0,"Tecomán","Tecomán","Tecomán","Tecomán"
86,"06010","municipality","Villa De Álvarez",76.0,"Villa De Álvarez","Villa De Álvarez","Villa De Álvarez","Villa De Álvarez"
87,"07","department","Chiapas",0.0,"Chiapas","Chiapas","Chiapas","Chiapas"
88,"07001","municipality","Acacoyagua",87.0,"Acacoyagua","Acacoyagua","Acacoyagua","Acacoyagua"
89,"07002","municipality","Acala",87.0,"Acala","Acala","Acala","Acala"
90,"07003","municipality","Acapetahua",87.0,"Acapetahua","Acapetahua","Acapetahua","Acapetahua"
91,"07004","municipality","Altamirano",87.0,"Altamirano","Altamirano","Altamirano","Altamirano"
92,"07005","municipality","Amatán",87.0,"Amatán","Amatán","Amatán","Amatán"
93,"07006","municipality","Amatenango De La Frontera",87.0,"Amatenango De La Frontera","Amatenango De La Frontera","Amatenango De La Frontera","Amatenango De La Frontera"
94,"07007","municipality","Amatenango Del Valle",87.0,"Amatenango Del Valle","Amatenango Del Valle","Amatenango Del Valle","Amatenango Del Valle"
95,"07008","municipality","Angel Albino Corzo",87.0,"Angel Albino Corzo","Angel Albino Corzo","Angel Albino Corzo","Angel Albino Corzo"
96,"07009","municipality","Arriaga",87.0,"Arriaga","Arriaga","Arriaga","Arriaga"
97,"07010","municipality","Bejucal De Ocampo",87.0,"Bejucal De Ocampo","Bejucal De Ocampo","Bejucal De Ocampo","Bejucal De Ocampo"
98,"07011","municipality","Bella Vista",87.0,"Bella Vista","Bella Vista","Bella Vista","Bella Vista"
99,"07012","municipality","Berriozábal",87.0,"Berriozábal","Berriozábal","Berriozábal","Berriozábal"
100,"07013","municipality","Bochil",87.0,"Bochil","Bochil","Bochil","Bochil"
101,"07014","municipality","El Bosque",87.0,"El Bosque","El Bosque","El Bosque","El Bosque"
102,"07015","municipality","Cacahoatán",87.0,"Cacahoatán","Cacahoatán","Cacahoatán","Cacahoatán"
103,"07016","municipality","Catazajá",87.0,"Catazajá","Catazajá","Catazajá","Catazajá"
104,"07017","municipality","Cintalapa",87.0,"Cintalapa","Cintalapa","Cintalapa","Cintalapa"
105,"07018","municipality","Coapilla",87.0,"Coapilla","Coapilla","Coapilla","Coapilla"
106,"07019","municipality","Comitán De Domínguez",87.0,"Comitán De Domínguez","Comitán De Domínguez","Comitán De Domínguez","Comitán De Domínguez"
