"reniec","inei","Nombre","Nombrecompleto"
,"131103","Compin","La Libertad/Gran Chimu/Compin"
,"230402","Heroes Albarracin","Tacna/Tarata/Heroes Albarracin"
"010000","010000","Amazonas","Amazonas//"
"010100","010100","Chachapoyas","Amazonas/Chachapoyas/"
"010101","010101","Chachapoyas","Amazonas/Chachapoyas/Chachapoyas"
"010102","010102","Asuncion","Amazonas/Chachapoyas/Asuncion"
"010103","010103","Balsas","Amazonas/Chachapoyas/Balsas"
"010104","010104","Cheto","Amazonas/Chachapoyas/Cheto"
"010105","010105","Chiliquin","Amazonas/Chachapoyas/Chiliquin"
"010106","010106","Chuquibamba","Amazonas/Chachapoyas/Chuquibamba"
"010107","010107","Granada","Amazonas/Chachapoyas/Granada"
"010108","010108","Huancas","Amazonas/Chachapoyas/Huancas"
"010109","010109","La Jalca","Amazonas/Chachapoyas/La Jalca"
"010110","010110","Leimebamba","Amazonas/Chachapoyas/Leimebamba"
"010111","010111","Levanto","Amazonas/Chachapoyas/Levanto"
"010112","010112","Magdalena","Amazonas/Chachapoyas/Magdalena"
"010113","010113","Mariscal Castilla","Amazonas/Chachapoyas/Mariscal Castilla"
"010114","010114","Molinopampa","Amazonas/Chachapoyas/Molinopampa"
"010115","010115","Montevideo","Amazonas/Chachapoyas/Montevideo"
"010116","010116","Olleros","Amazonas/Chachapoyas/Olleros"
"010117","010117","Quinjalca","Amazonas/Chachapoyas/Quinjalca"
"010118","010118","San Fco De Daguas","Amazonas/Chachapoyas/San Fco De Daguas"
"010119","010119","San Isidro De Maino","Amazonas/Chachapoyas/San Isidro De Maino"
"010120","010120","Soloco","Amazonas/Chachapoyas/Soloco"
"010121","010121","Sonche","Amazonas/Chachapoyas/Sonche"
"010200","010200","Bagua","Amazonas/Bagua/"
"010201","010206","La Peca","Amazonas/Bagua/La Peca"
"010202","010202","Aramango","Amazonas/Bagua/Aramango"
"010203","010203","Copallin","Amazonas/Bagua/Copallin"
"010204","010204","El Parco","Amazonas/Bagua/El Parco"
"010205","010201","Bagua","Amazonas/Bagua/Bagua"
"010206","010205","Imaza","Amazonas/Bagua/Imaza"
"010300","010300","Bongara","Amazonas/Bongara/"
"010301","010301","Jumbilla","Amazonas/Bongara/Jumbilla"
"010302","010304","Corosha","Amazonas/Bongara/Corosha"
"010303","010305","Cuispes","Amazonas/Bongara/Cuispes"
"010304","010302","Chisquilla","Amazonas/Bongara/Chisquilla"
"010305","010303","Churuja","Amazonas/Bongara/Churuja"
"010306","010306","Florida","Amazonas/Bongara/Florida"
"010307","010308","Recta","Amazonas/Bongara/Recta"
"010308","010309","San Carlos","Amazonas/Bongara/San Carlos"
"010309","010310","Shipasbamba","Amazonas/Bongara/Shipasbamba"
"010310","010311","Valera","Amazonas/Bongara/Valera"
"010311","010312","Yambrasbamba","Amazonas/Bongara/Yambrasbamba"
"010312","010307","Jazan","Amazonas/Bongara/Jazan"
"010400","010500","Luya","Amazonas/Luya/"
"010401","010501","Lamud","Amazonas/Luya/Lamud"
"010402","010502","Camporredondo","Amazonas/Luya/Camporredondo"
"010403","010503","Cocabamba","Amazonas/Luya/Cocabamba"
"010404","010504","Colcamar","Amazonas/Luya/Colcamar"
"010405","010505","Conila","Amazonas/Luya/Conila"
"010406","010506","Inguilpata","Amazonas/Luya/Inguilpata"
"010407","010507","Longuita","Amazonas/Luya/Longuita"
"010408","010508","Lonya Chico","Amazonas/Luya/Lonya Chico"
"010409","010509","Luya","Amazonas/Luya/Luya"
"010410","010510","Luya Viejo","Amazonas/Luya/Luya Viejo"
