"","code","name","level","parent_id"
0,"000000","Peru","country",""
1,"010000","Amazonas","department",0.0
2,"020000","Ancash","department",0.0
3,"030000","Apurimac","department",0.0
4,"040000","Arequipa","department",0.0
5,"050000","Ayacucho","department",0.0
6,"060000","Cajamarca","department",0.0
7,"070000","Callao","department",0.0
8,"080000","Cusco","department",0.0
9,"090000","Huancavelica","department",0.0
10,"100000","Huanuco","department",0.0
11,"110000","Ica","department",0.0
12,"120000","Junin","department",0.0
13,"130000","La Libertad","department",0.0
14,"140000","Lambayeque","department",0.0
15,"150000","Lima","department",0.0
16,"160000","Loreto","department",0.0
17,"170000","Madre de Dios","department",0.0
18,"180000","Moquegua","department",0.0
19,"190000","Pasco","department",0.0
20,"200000","Piura","department",0.0
21,"210000","Puno","department",0.0
22,"220000","San Martin","department",0.0
23,"230000","Tacna","department",0.0
24,"240000","Tumbes","department",0.0
25,"250000","Ucayali","department",0.0
26,"010100","Chachapoyas","province",1.0
27,"010200","Bagua","province",1.0
28,"010300","Bongara","province",1.0
29,"010400","Condorcanqui","province",1.0
30,"010500","Luya","province",1.0
31,"010600","Rodriguez de Mendoza","province",1.0
32,"010700","Utcubamba","province",1.0
33,"020100","Huaraz","province",2.0
34,"020200","Aija","province",2.0
35,"020300","Antonio Raimondi","province",2.0
36,"020400","Asuncion","province",2.0
37,"020500","Bolognesi","province",2.0
38,"020600","Carhuaz","province",2.0
39,"020700","Carlos Fermin Fitzcarrald","province",2.0
40,"020800","Casma","province",2.0
41,"020900","Corongo","province",2.0
42,"021000","Huari","province",2.0
43,"021100","Huarmey","province",2.0
44,"021200","Huaylas","province",2.0
45,"021300","Mariscal Luzuriaga","province",2.0
46,"021400","Ocros","province",2.0
47,"021500","Pallasca","province",2.0
48,"021600","Pomabamba","province",2.0
49,"021700","Recuay","province",2.0
50,"021800","Santa","province",2.0
51,"021900","Sihuas","province",2.0
52,"022000","Yungay","province",2.0
53,"030100","Abancay","province",3.0
54,"030200","Andahuaylas","province",3.0
55,"030300","Antabamba","province",3.0
56,"030400","Aymaraes","province",3.0
57,"030500","Cotabambas","province",3.0
58,"030600","Chincheros","province",3.0
59,"030700","Grau","province",3.0
60,"040100","Arequipa","province",4.0
61,"040200","Camana","province",4.0
62,"040300","Caraveli","province",4.0
63,"040400","Castilla","province",4.0
64,"040500","Caylloma","province",4.0
65,"040600","Condesuyos","province",4.0
