"","code","name","level","parent_id"
0,"1","Funcionarios, directores y jefes","1digit",""
1,"11","Funcionarios y altas autoridades de los sectores público, privado y social","2digit",0.0
2,"111","Funcionarios, legisladores y autoridades gubernamentales","3digit",1.0
3,"1111","Altas autoridades gubernamentales y jurisdiccionales","4digit",2.0
4,"1112","Legisladores","4digit",2.0
5,"1113","Presidentes y autoridades municipales","4digit",2.0
6,"112","Presidentes y directores generales","3digit",1.0
7,"1121","Presidentes y directores generales en instituciones públicas","4digit",6.0
8,"1122","Presidentes y directores generales en instituciones y empresas privadas","4digit",6.0
9,"1129","Otros presidentes y directores generales, no clasificados anteriormente","4digit",6.0
10,"113","Directores de organizaciones políticas, sindicales y civiles","3digit",1.0
11,"1131","Directores de organizaciones políticas","4digit",10.0
12,"1132","Directores de organizaciones sindicales","4digit",10.0
13,"1133","Directores de organizaciones empresariales","4digit",10.0
14,"1134","Directores de organizaciones agrarias","4digit",10.0
15,"1135","Directores de organizaciones civiles y religiosas","4digit",10.0
16,"12","Directores y gerentes en servicios financieros, administrativos y sociales","2digit",0.0
17,"121","Directores y gerentes en servicios financieros y administrativos","3digit",16.0
18,"1211","Directores y gerentes en administración, recursos humanos y mercadotecnia","4digit",17.0
19,"1212","Directores y gerentes en servicios contables, financieros, banca y seguros","4digit",17.0
20,"122","Directores y gerentes en servicios de salud, enseñanza y sociales","3digit",16.0
21,"1221","Directores y gerentes en servicios de salud, protección civil y medio ambiente","4digit",20.0
22,"1222","Directores y gerentes en desarrollo social y económico","4digit",20.0
23,"1223","Directores y gerentes en centros de enseñanza y capacitación","4digit",20.0
24,"1224","Jueces de juzgado, directores y gerentes en servicios legales y procuración de justicia","4digit",20.0
25,"1225","Comandantes de las fuerzas armadas","4digit",20.0
26,"1226","Directores en servicios de vigilancia y seguridad","4digit",20.0
27,"13","Directores y gerentes en producción, tecnología y transporte","2digit",0.0
28,"131","Directores y gerentes en producción agropecuaria, industrial, construcción y mantenimiento","3digit",27.0
29,"1311","Directores y gerentes en producción agropecuaria, silvícola y pesquera","4digit",28.0
30,"1312","Directores y gerentes en producción minera, petrolera y gas","4digit",28.0
31,"1313","Directores y gerentes en generación y provisión de energía eléctrica y agua","4digit",28.0
32,"1314","Directores y gerentes en producción manufacturera","4digit",28.0
33,"1315","Directores y gerentes en construcción, reparación y mantenimiento","4digit",28.0
