id	code	name_es	name_en	level	parent_id	level	Sp Length	En Length	name_short_es	name_short_en	sp short len	en short len
0	1	Funcionarios, directores y jefes	Officers, directors and managers	1digit			32	32	Funcionarios, directores y jefes	Officers, directors and managers	32	32
1	11	Funcionarios y altas autoridades de los sectores público, privado y social	Officers and senior officials of the public, private and social sectors	2digit	0		74	71	Altos funcionarios de sectores público, privado y social	Senior officials of the public, private and social sectors	56	58
2	111	Funcionarios, legisladores y autoridades gubernamentales	Officers, legislators and government authorities	3digit	1		56	48	Funcionarios, legisladores y autoridades gubernamentales	Officers, legislators and government authorities	56	48
3	1111	Altas autoridades gubernamentales y jurisdiccionales	Senior government and jurisdictional authorities	4digit	2		52	48	Altas autoridades gubernamentales y jurisdiccionales	Senior government and jurisdictional authorities	52	48
4	1112	Legisladores	Legislators	4digit	2		12	11	Legisladores	Legislators	12	11
5	1113	Presidentes y autoridades municipales	Presidents and municipal authorities	4digit	2		37	36	Presidentes y autoridades municipales	Presidents and municipal authorities	37	36
6	112	Presidentes y directores generales	Presidents and CEOs	3digit	1		34	19	Presidentes y directores generales	Presidents and CEOs	34	19
7	1121	Presidentes y directores generales en instituciones públicas	Presidents and CEOs in public organizations	4digit	6		60	43	Presidentes y directores generales en instituciones públicas	Presidents and CEOs in public organizations	60	43
8	1122	Presidentes y directores generales en instituciones y empresas privadas	Presidents and CEOs in private organizations and companies	4digit	6		71	58	Presidentes y directores generales organizaciones privadas	Presidents and CEOs in private organizations and companies	58	58
9	1129	Otros presidentes y directores generales, no clasificados anteriormente	Other presidents and CEOs	4digit	6		71	25	Otros presidentes y directores generales	Other presidents and CEOs	40	25
10	113	Directores de organizaciones políticas, sindicales y civiles	Directors of political and civil organizations, and trade unions	3digit	1		60	64	Directores de organizaciones políticas, sindicales y civiles	Directors of trade unions, political and civil organizations	60	60
11	1131	Directores de organizaciones políticas	Directors of political organizations	4digit	10		38	36	Directores de organizaciones políticas	Directors of political organizations	38	36
12	1132	Directores de organizaciones sindicales	Directors of trade unions	4digit	10		39	25	Directores de organizaciones sindicales	Directors of trade unions	39	25
13	1133	Directores de organizaciones empresariales	Directors of business organizations	4digit	10		42	35	Directores de organizaciones empresariales	Directors of business organizations	42	35
14	1134	Directores de organizaciones agrarias	Directors of agricultural organizations	4digit	10		37	39	Directores de organizaciones agrarias	Directors of agricultural organizations	37	39
15	1135	Directores de organizaciones civiles y religiosas	Directors of civil and religious organizations	4digit	10		49	46	Directores de organizaciones civiles y religiosas	Directors of civil and religious organizations	49	46
16	12	Directores y gerentes en servicios financieros, administrativos y sociales	Directors and managers of financial, administrative and social services	2digit	0		74	71	Altos cargos financieros, administrativos y sociales	Managers of financial, administrative and social services	52	57
17	121	Directores y gerentes en servicios financieros y administrativos	Directors and managers of financial and administrative services	3digit	16		64	63	Altos cargos financieros y administrativos	Managers of financial and administrative services	42	49
18	1211	Directores y gerentes en administración, recursos humanos y mercadotecnia	Directors and managers in administration, human resources and marketing	4digit	17		73	71	Directivos administrativos, recursos humanos y mercadotecnia	Managers in administration, HR and marketing	60	44
19	1212	Directores y gerentes en servicios contables, financieros, banca y seguros	Directors and managers of accounting, financial, banking and insurance services	4digit	17		74	79	Directivos en contabilidad, finanzas, banca y seguros	Managers of financial services	53	30
20	122	Directores y gerentes en servicios de salud, enseñanza y sociales	Directors and managers of health, teaching and social services	3digit	16		65	62	Directivos en salud, enseñanza y seguros	Managers of health, teaching and social services	40	48
21	1221	Directores y gerentes en servicios de salud, protección civil y medio ambiente	Directors and managers of health, civil defense and environmental services	4digit	22		78	74	Directivos en salud, protección civil y medio ambiente	Managers of health, civil defense and environmental services	54	60
22	1222	Directores y gerentes en desarrollo social y económico	Directors and managers of social and economical development	4digit	22		54	59	Directores y gerentes en desarrollo social y económico	Managers of social and economical development	54	45
23	1223	Directores y gerentes en centros de enseñanza y capacitación	Directors and managers of teaching and training centers	4digit	22		60	55	Directores y gerentes en centros de enseñanza y capacitación	Managers of teaching and training centers	60	41
