"","name_es","name_en","name_short_es","name_short_en","code","level","parent_id","name"
0,"Funcionarios, directores y jefes","Officers, directors and managers","Funcionarios, directores y jefes","Officers, directors and managers","1","1digit","","Officers, directors and managers"
1,"Funcionarios y altas autoridades de los sectores público, privado y social","Officers and senior officials of the public, private and social sectors","Altos funcionarios de sectores público, privado y social","Senior officials of the public, private and social sectors","11","2digit",0.0,"Officers and senior officials of the public, private and social sectors"
2,"Funcionarios, legisladores y autoridades gubernamentales","Officers, legislators and government authorities","Funcionarios, legisladores y autoridades gubernamentales","Officers, legislators and government authorities","111","3digit",1.0,"Officers, legislators and government authorities"
3,"Altas autoridades gubernamentales y jurisdiccionales","Senior government and jurisdictional authorities","Altas autoridades gubernamentales y jurisdiccionales","Senior government and jurisdictional authorities","1111","4digit",2.0,"Senior government and jurisdictional authorities"
4,"Legisladores","Legislators","Legisladores","Legislators","1112","4digit",2.0,"Legislators"
5,"Presidentes y autoridades municipales","Presidents and municipal authorities","Presidentes y autoridades municipales","Presidents and municipal authorities","1113","4digit",2.0,"Presidents and municipal authorities"
6,"Presidentes y directores generales","Presidents and CEOs","Presidentes y directores generales","Presidents and CEOs","112","3digit",1.0,"Presidents and CEOs"
7,"Presidentes y directores generales en instituciones públicas","Presidents and CEOs in public organizations","Presidentes y directores generales en instituciones públicas","Presidents and CEOs in public organizations","1121","4digit",6.0,"Presidents and CEOs in public organizations"
8,"Presidentes y directores generales en instituciones y empresas privadas","Presidents and CEOs in private organizations and companies","Presidentes y directores generales organizaciones privadas","Presidents and CEOs in private organizations and companies","1122","4digit",6.0,"Presidents and CEOs in private organizations and companies"
9,"Otros presidentes y directores generales, no clasificados anteriormente","Other presidents and CEOs","Otros presidentes y directores generales","Other presidents and CEOs","1129","4digit",6.0,"Other presidents and CEOs"
10,"Directores de organizaciones políticas, sindicales y civiles","Directors of political and civil organizations, and trade unions","Directores de organizaciones políticas, sindicales y civiles","Directors of trade unions, political and civil organizations","113","3digit",1.0,"Directors of political and civil organizations, and trade unions"
11,"Directores de organizaciones políticas","Directors of political organizations","Directores de organizaciones políticas","Directors of political organizations","1131","4digit",10.0,"Directors of political organizations"
12,"Directores de organizaciones sindicales","Directors of trade unions","Directores de organizaciones sindicales","Directors of trade unions","1132","4digit",10.0,"Directors of trade unions"
13,"Directores de organizaciones empresariales","Directors of business organizations","Directores de organizaciones empresariales","Directors of business organizations","1133","4digit",10.0,"Directors of business organizations"
14,"Directores de organizaciones agrarias","Directors of agricultural organizations","Directores de organizaciones agrarias","Directors of agricultural organizations","1134","4digit",10.0,"Directors of agricultural organizations"
15,"Directores de organizaciones civiles y religiosas","Directors of civil and religious organizations","Directores de organizaciones civiles y religiosas","Directors of civil and religious organizations","1135","4digit",10.0,"Directors of civil and religious organizations"
16,"Directores y gerentes en servicios financieros, administrativos y sociales","Directors and managers of financial, administrative and social services","Altos cargos financieros, administrativos y sociales","Managers of financial, administrative and social services","12","2digit",0.0,"Directors and managers of financial, administrative and social services"
17,"Directores y gerentes en servicios financieros y administrativos","Directors and managers of financial and administrative services","Altos cargos financieros y administrativos","Managers of financial and administrative services","121","3digit",16.0,"Directors and managers of financial and administrative services"
18,"Directores y gerentes en administración, recursos humanos y mercadotecnia","Directors and managers in administration, human resources and marketing","Directivos administrativos, recursos humanos y mercadotecnia","Managers in administration, HR and marketing","1211","4digit",17.0,"Directors and managers in administration, human resources and marketing"
19,"Directores y gerentes en servicios contables, financieros, banca y seguros","Directors and managers of accounting, financial, banking and insurance services","Directivos en contabilidad, finanzas, banca y seguros","Managers of financial services","1212","4digit",17.0,"Directors and managers of accounting, financial, banking and insurance services"
20,"Directores y gerentes en servicios de salud, enseñanza y sociales","Directors and managers of health, teaching and social services","Directivos en salud, enseñanza y seguros","Managers of health, teaching and social services","122","3digit",16.0,"Directors and managers of health, teaching and social services"
21,"Directores y gerentes en servicios de salud, protección civil y medio ambiente","Directors and managers of health, civil defense and environmental services","Directivos en salud, protección civil y medio ambiente","Managers of health, civil defense and environmental services","1221","4digit",22.0,"Directors and managers of health, civil defense and environmental services"
22,"Directores y gerentes en desarrollo social y económico","Directors and managers of social and economical development","Directores y gerentes en desarrollo social y económico","Managers of social and economical development","1222","4digit",22.0,"Directors and managers of social and economical development"
23,"Directores y gerentes en centros de enseñanza y capacitación","Directors and managers of teaching and training centers","Directores y gerentes en centros de enseñanza y capacitación","Managers of teaching and training centers","1223","4digit",22.0,"Directors and managers of teaching and training centers"
24,"Jueces de juzgado, directores y gerentes en servicios legales y procuración de justicia","Court judges, directors and managers of legal services and justice administration","Jueces, directivos en servicios legales y procuradores","Court judges, managers of legal and justice administration","1224","4digit",22.0,"Court judges, directors and managers of legal services and justice administration"
25,"Comandantes de las fuerzas armadas","Commanders of the armed forces","Comandantes de las fuerzas armadas","Commanders of the armed forces","1225","4digit",22.0,"Commanders of the armed forces"
26,"Directores en servicios de vigilancia y seguridad","Directors in surveillance and security services","Directores en servicios de vigilancia y seguridad","Directors in surveillance and security services","1226","4digit",22.0,"Directors in surveillance and security services"
27,"Directores y gerentes en producción, tecnología y transporte","Directors and managers of production, technology and transport","Directores y gerentes en producción, tecnología y transporte","Managers of production, technology and transport","13","2digit",0.0,"Directors and managers of production, technology and transport"
28,"Directores y gerentes en producción agropecuaria, industrial, construcción y mantenimiento","Directors and managers of agricultural production, industry, construction and maintenance","Directores y gerentes en producción agropecuaria, industrial, construcción y mantenimiento","Managers of agriculture, construction and maintenance","131","3digit",31.0,"Directors and managers of agricultural production, industry, construction and maintenance"
29,"Directores y gerentes en producción agropecuaria, silvícola y pesquera","Directors and managers of agricultural, forestry and fishing production","Directores y gerentes en producción agropecuaria, silvícola y pesquera","Managers of agricultural, forestry and fishing production","1311","4digit",32.0,"Directors and managers of agricultural, forestry and fishing production"
30,"Directores y gerentes en producción minera, petrolera y gas","Directors and managers of mining, oil and gas production","Directores y gerentes en producción minera, petrolera y gas","Managers of mining, oil and gas production","1312","4digit",32.0,"Directors and managers of mining, oil and gas production"
31,"Directores y gerentes en generación y provisión de energía eléctrica y agua","Directors and managers in generation and supply of electricity and water","Directores y gerentes en generación y provisión de energía eléctrica y agua","Managers in generation and supply of electricity and water","1313","4digit",32.0,"Directors and managers in generation and supply of electricity and water"
32,"Directores y gerentes en producción manufacturera","Directors and managers of manufacturing","Directores y gerentes en producción manufacturera","Managers of manufacturing","1314","4digit",32.0,"Directors and managers of manufacturing"
33,"Directores y gerentes en construcción, reparación y mantenimiento","Directors and managers in construction, repair and maintenance","Directores y gerentes en construcción, reparación y mantenimiento","Managers in construction, repair and maintenance","1315","4digit",32.0,"Directors and managers in construction, repair and maintenance"
34,"Directores y gerentes en informática, telecomunicaciones, transporte y en investigación y desarrollo tecnológico","Directors and managers in IT, telecommunications, transport and technological research and development","Directores y gerentes en informática, telecomunicaciones, transporte y en investigación y desarrollo tecnológico","Managers in ICT, transport and technological R&D","132","3digit",31.0,"Directors and managers in IT, telecommunications, transport and technological research and development"
35,"Directores y gerentes en informática","Directors and managers in informatics","Directores y gerentes en informática","Managers in informatics","1321","4digit",39.0,"Directors and managers in informatics"
36,"Directores y gerentes en comunicación y telecomunicaciones","Directors and managers in communication and telecommunications","Directores y gerentes en comunicación y telecomunicaciones","Managers in communication and telecommunications","1322","4digit",39.0,"Directors and managers in communication and telecommunications"
37,"Directores y gerentes en servicios de transporte","Directors and managers in transport services","Directores y gerentes en servicios de transporte","Managers in transport services","1323","4digit",39.0,"Directors and managers in transport services"
38,"Directores y gerentes en centros de investigación y desarrollo tecnológico","Directors and managers in centers of technological research and development","Directores y gerentes en centros de investigación y desarrollo tecnológico","Managers in centers of technological R&D","1324","4digit",39.0,"Directors and managers in centers of technological research and development"
39,"Directores y gerentes de ventas, restaurantes, hoteles y otros establecimientos","Directors and managers of sales, restaurants, hotels and other commercial establishments","Directores y gerentes de ventas, restaurantes, hoteles y otros establecimientos","Managers of commercial establishments","14","2digit",0.0,"Directors and managers of sales, restaurants, hotels and other commercial establishments"
40,"Directores y gerentes de ventas, restaurantes y hoteles","Directors and managers of sales, restaurants and hotels","Directores y gerentes de ventas, restaurantes y hoteles","Managers of sales, restaurants and hotels","141","3digit",45.0,"Directors and managers of sales, restaurants and hotels"
41,"Directores y gerentes de ventas, comercialización y alquiler","Directors and managers of sales, marketing and rental","Directores y gerentes de ventas, comercialización y alquiler","Managers of sales, marketing and rental","1411","4digit",46.0,"Directors and managers of sales, marketing and rental"
42,"Directores y gerentes de restaurantes y hoteles","Directors and managers of restaurants and hotels","Directores y gerentes de restaurantes y hoteles","Managers of restaurants and hotels","1412","4digit",46.0,"Directors and managers of restaurants and hotels"
43,"Directores y gerentes de museos, cines y otros establecimientos","Directors and managers of museums, theaters and other institutions","Directores y gerentes de museos, cines y otros establecimientos","Managers of museums, theaters and other institutions","142","3digit",45.0,"Directors and managers of museums, theaters and other institutions"
44,"Directores y productores artísticos de cine, teatro y afines","Artistic directors and producers of films, theater and related subjects","Directores y productores artísticos de cine, teatro y afines","Artistic directors and producers of films and theater","1421","4digit",49.0,"Artistic directors and producers of films, theater and related subjects"
45,"Directores y gerentes de museos, cines y otros establecimientos deportivos y culturales","Directors and managers of museums, theaters and other sports and cultural institutions","Directores y gerentes de museos, cines y otros establecimientos deportivos y culturales","Managers of entertainment, sports and cultural institutions","1422","4digit",49.0,"Directors and managers of museums, theaters and other sports and cultural institutions"
46,"Directores y gerentes en servicios funerarios y otros servicios","Directors and managers of funeral and similar services","Directores y gerentes en servicios funerarios y otros servicios","Managers of funeral and similar services","1423","4digit",49.0,"Directors and managers of funeral and similar services"
47,"Coordinadores y jefes de área en servicios financieros, administrativos y sociales","Coordinators and area managers of financial, administrative and social services","Coordinadores y jefes de área en servicios financieros, administrativos y sociales","Coordinators of financial, administrative and social services","15","2digit",0.0,"Coordinators and area managers of financial, administrative and social services"
48,"Coordinadores y jefes de área en servicios financieros y administrativos","Coordinators and area managers of financial and administrative services","Coordinadores y jefes de área en servicios financieros y administrativos","Coordinators of financial and administrative services","151","3digit",54.0,"Coordinators and area managers of financial and administrative services"
