major_group_code	minor_group_code	broad_occupation_code	detailed_occupation_code	name_en_major_group	name_es_major_group	name_en_minor_group	name_es_minor_group	name_short_es_minor_group	name_en_broad_occupation	name_es_broad_occupation	name_en_detailed_occupation	name_es_detailed_occupation	name_short_es_detailed_occupation
11-0000	11-1000	11-1010	11-1011	Management Occupations	Ocupaciones gerenciales	Top Executives	Directivos	Directivos	Chief Executives	Directores Ejecutivos	Chief Executives	Directores Ejecutivos	Directores Ejecutivos
11-0000	11-1000	11-1020	11-1021	Management Occupations	Ocupaciones gerenciales	Top Executives	Directivos	Directivos	General and Operations Managers	Gerentes Generales y de Operaciones	General and Operations Managers	Gerentes Generales y de Operaciones	Gerentes Generales y de Operaciones
11-0000	11-1000	11-1030	11-1031	Management Occupations	Ocupaciones gerenciales	Top Executives	Directivos	Directivos	Legislators	Legisladores	Legislators	Legisladores	Legisladores
11-0000	11-2000	11-2010	11-2011	Management Occupations	Ocupaciones gerenciales	Advertising, Marketing and Sales Managers	Gerentes de Publicidad, Marketing, Promociones, Relaciones Públicas, y Ventas	Gerentes de Publicidad y Ventas	Advertising and Promotions Managers	Gerentes de Publicidad y Promociones	Advertising and Promotions Managers	Gerentes de Publicidad y Promociones	Gerentes de Publicidad y Promociones
11-0000	11-2000	11-2020	11-2021	Management Occupations	Ocupaciones gerenciales	Advertising, Marketing and Sales Managers	Gerentes de Publicidad, Marketing, Promociones, Relaciones Públicas, y Ventas	Gerentes de Publicidad y Ventas	Marketing and Sales Managers	Gerentes de Mercadeo y de Ventas	Marketing Managers	Gerentes de Mercadeo	Gerentes de Mercadeo
11-0000	11-2000	11-2020	11-2022	Management Occupations	Ocupaciones gerenciales	Advertising, Marketing and Sales Managers	Gerentes de Publicidad, Marketing, Promociones, Relaciones Públicas, y Ventas	Gerentes de Publicidad y Ventas	Marketing and Sales Managers	Gerentes de Mercadeo y de Ventas	Sales Managers	Gerentes de Ventas	Gerentes de Ventas
11-0000	11-2000	11-2030	11-2031	Management Occupations	Ocupaciones gerenciales	Advertising, Marketing and Sales Managers	Gerentes de Publicidad, Marketing, Promociones, Relaciones Públicas, y Ventas	Gerentes de Publicidad y Ventas	Public Relations and Fundraising Managers	Gerentes de Relaciones Públicas y Recaudación de Fondos	Public Relations and Fundraising Managers	Gerentes de Relaciones Públicas y Recaudación de Fondos	Gerentes de Relaciones Públicas
11-0000	11-3000	11-3010	11-3011	Management Occupations	Ocupaciones gerenciales	Operations Specialties Managers	Gerentes de Operaciones Especiales	Gerentes de Operaciones Especiales	Administrative Services Managers	Gerentes de Servicios Administrativos	Administrative Services Managers	Gerentes de Servicios Administrativos	Gerentes de Servicios Administrativos
11-0000	11-3000	11-3020	11-3021	Management Occupations	Ocupaciones gerenciales	Operations Specialties Managers	Gerentes de Operaciones Especiales	Gerentes de Operaciones Especiales	Computer and Information Systems Managers	Gerentes de Sistemas de Computación e Información	Computer and Information Systems Managers	Gerentes de Sistemas de Computación e Información	Gerentes de Sistemas de Computación e Información
11-0000	11-3000	11-3030	11-3031	Management Occupations	Ocupaciones gerenciales	Operations Specialties Managers	Gerentes de Operaciones Especiales	Gerentes de Operaciones Especiales	Financial Managers	Gerentes Financieros	Financial Managers	Gerentes Financieros	Gerentes Financieros
11-0000	11-3000	11-3050	11-3051	Management Occupations	Ocupaciones gerenciales	Operations Specialties Managers	Gerentes de Operaciones Especiales	Gerentes de Operaciones Especiales	Industrial Production Managers	Gerentes de Producción Industrial	Industrial Production Managers	Gerentes de Producción Industrial	Gerentes de Producción Industrial
