"","code","level","name_en","name_es","name_short_es","name_short_en","name","parent_id"
0,"11-0000","major_group","Management Occupations","Ocupaciones de gestión","","Management Occupations","Management Occupations",""
1,"11-1000","minor_group","Top Executives","Top Executives","","Top Executives","Top Executives",0.0
2,"11-1010","broad_occupation","Chief Executives","Chief Executives","","Chief Executives","Chief Executives",1.0
3,"11-1011","detailed_occupation","Chief Executives","Directores Ejecutivos","Directores Ejecutivos","Chief Executives","Chief Executives",2.0
4,"11-1020","broad_occupation","General and Operations Managers","General and Operations Managers","","General and Operations Managers","General and Operations Managers",1.0
5,"11-1021","detailed_occupation","General and Operations Managers","Gerentes Generales y de Operaciones","Gerentes Generales y de Operaciones","General and Operations Managers","General and Operations Managers",4.0
6,"11-1030","broad_occupation","Legislators","Legislators","","Legislators","Legislators",1.0
7,"11-1031","detailed_occupation","Legislators","Legisladores","Legisladores","Legislators","Legislators",6.0
8,"11-2000","minor_group","Advertising, Marketing, Promotions, Public Relations, and Sales Managers","Advertising, Marketing, Promotions, Public Relations, and Sales Managers","","Advertising, Marketing, Promotions, Public Relations, and Sales Managers","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",0.0
9,"11-2010","broad_occupation","Advertising and Promotions Managers","Advertising and Promotions Managers","","Advertising and Promotions Managers","Advertising and Promotions Managers",8.0
10,"11-2011","detailed_occupation","Advertising and Promotions Managers","Gerentes de Publicidad y Promociones","Gerentes de Publicidad y Promociones","Advertising and Promotions Managers","Advertising and Promotions Managers",9.0
11,"11-2020","broad_occupation","Marketing and Sales Managers","Marketing and Sales Managers","","Marketing and Sales Managers","Marketing and Sales Managers",8.0
12,"11-2021","detailed_occupation","Marketing Managers","Gerentes de Mercadeo","Gerentes de Mercadeo","Marketing Managers","Marketing Managers",11.0
13,"11-2022","detailed_occupation","Sales Managers","Gerentes de Ventas","Gerentes de Ventas","Sales Managers","Sales Managers",11.0
14,"11-2030","broad_occupation","Public Relations and Fundraising Managers","Public Relations and Fundraising Managers","","Public Relations and Fundraising Managers","Public Relations and Fundraising Managers",8.0
