level3	level2	level1	level0
arroz_riego	arroz	cereales	todos
arroz_secano_manual	arroz	cereales	todos
arroz_secano_mecanizado	arroz	cereales	todos
avena	avena	cereales	todos
cebada	cebada	cereales	todos
centeno	centeno	cereales	todos
maiz_tecnificado	maiz	cereales	todos
maiz_tradicional	maiz	cereales	todos
maiz_forrajero	maiz_forrajero	cereales	todos
quinua	quinua	cereales	todos
millo	sorgo	cereales	todos
sorgo	sorgo	cereales	todos
trigo	trigo	cereales	todos
algodon	algodon	fibras	todos
caa_flecha	caa_flecha	fibras	todos
esparto	esparto	fibras	todos
estropajo	estropajo	fibras	todos
fique	fique	fibras	todos
iraca	iraca	fibras	todos
mimbre	mimbre	fibras	todos
palma_amarga	palma_amarga	fibras	todos
anturio	flores	flores_y_follajes	todos
astromelia	flores	flores_y_follajes	todos
cartuchoastromelia	flores	flores_y_follajes	todos
clavel	flores	flores_y_follajes	todos
girasol	flores	flores_y_follajes	todos
gladiolo	flores	flores_y_follajes	todos
heliconia	flores	flores_y_follajes	todos
hortensia	flores	flores_y_follajes	todos
orquidea	flores	flores_y_follajes	todos
pompon_y_crisantemo	flores	flores_y_follajes	todos
rosa	flores	flores_y_follajes	todos
asparragus	follajes	flores_y_follajes	todos
cordeline_cinta	follajes	flores_y_follajes	todos
eucalipto_baby_blue	follajes	flores_y_follajes	todos
fitosporum	follajes	flores_y_follajes	todos
helecho	follajes	flores_y_follajes	todos
helecho_cuero	follajes	flores_y_follajes	todos
palma_robelina	follajes	flores_y_follajes	todos
tree_fern	follajes	flores_y_follajes	todos
otros_flores_y_follajes	otros_flores_y_follajes	flores_y_follajes	todos
caucho	caucho	forestales	todos
plantulas	caucho	forestales	todos
aguacate	aguacate	frutales	todos
algarrobo	algarrobo	frutales	todos
anon	anon	frutales	todos
arandano	arandano	frutales	todos
bananito	banano	frutales	todos
banano	banano	frutales	todos
banano_exportacion	banano	frutales	todos
banano_manzano	banano	frutales	todos
chiro	banano	frutales	todos
murrapo	banano	frutales	todos
brevo	caducifolios	frutales	todos
caducifolios	caducifolios	frutales	todos
ciruela	caducifolios	frutales	todos
durazno	caducifolios	frutales	todos
manzana	caducifolios	frutales	todos
nispero	caducifolios	frutales	todos
pera	caducifolios	frutales	todos
citricos	citricos	frutales	todos
lima	citricos	frutales	todos
lima_tahiti	citricos	frutales	todos
limon	citricos	frutales	todos
limon_mandarino	citricos	frutales	todos
limon_pajarito	citricos	frutales	todos
limon_tahiti	citricos	frutales	todos
mandarina	citricos	frutales	todos
mandarina_clementina	citricos	frutales	todos
mandarina_oneco	citricos	frutales	todos
naranja	citricos	frutales	todos
naranja_jaffa	citricos	frutales	todos
naranja_salustiana	citricos	frutales	todos
naranja_valencia	citricos	frutales	todos
naranja_washington_navel	citricos	frutales	todos
pomelo	citricos	frutales	todos
tangelo_mineola	citricos	frutales	todos
tangelo_orlando	citricos	frutales	todos
toronja	citricos	frutales	todos
coco	coco	frutales	todos
curuba	curuba	frutales	todos
feijoa	feijoa	frutales	todos
frambuesa	frambuesa	frutales	todos
fresa	fresa	frutales	todos
agraz	frutales_exoticos	frutales	todos
aguaje	frutales_exoticos	frutales	todos
araza	frutales_exoticos	frutales	todos
asai	frutales_exoticos	frutales	todos
bacuri	frutales_exoticos	frutales	todos
badea	frutales_exoticos	frutales	todos
borojo	frutales_exoticos	frutales	todos
caimo	frutales_exoticos	frutales	todos
chamba	frutales_exoticos	frutales	todos
chirimoya	frutales_exoticos	frutales	todos
cholupa	frutales_exoticos	frutales	todos
chontaduro	frutales_exoticos	frutales	todos
cocona	frutales_exoticos	frutales	todos
copoazu	frutales_exoticos	frutales	todos
corozo	frutales_exoticos	frutales	todos
datil	frutales_exoticos	frutales	todos
guama	frutales_exoticos	frutales	todos
gulupa	frutales_exoticos	frutales	todos
higo	frutales_exoticos	frutales	todos
mamoncillo	frutales_exoticos	frutales	todos
mangostino	frutales_exoticos	frutales	todos
pepa_de_pan	frutales_exoticos	frutales	todos
pitahaya	frutales_exoticos	frutales	todos
pomarrosa	frutales_exoticos	frutales	todos
tamarindo	frutales_exoticos	frutales	todos
uchuva	frutales_exoticos	frutales	todos
umari	frutales_exoticos	frutales	todos
uva_caimarona	frutales_exoticos	frutales	todos
frutales_varios	frutales_varios	frutales	todos
granadilla	granadilla	frutales	todos
guanabana	guanabana	frutales	todos
guayaba	guayaba	frutales	todos
guayaba_manzana	guayaba	frutales	todos
guayaba_pera	guayaba	frutales	todos
lulo	lulo	frutales	todos
mamey	mamey	frutales	todos
mango	mango	frutales	todos
mango_injerto	mango	frutales	todos
maracuya	maracuya	frutales	todos
melon	melon	frutales	todos
mora	mora	frutales	todos
noni	noni	frutales	todos
macadamia	nueces	frutales	todos
maraon	nueces	frutales	todos
papaya	papaya	frutales	todos
papaya_hawaiana	papaya	frutales	todos
papayuela	papaya	frutales	todos
patilla	patilla	frutales	todos
pia	pia	frutales	todos
rambutan	rambutan	frutales	todos
tomate_de_arbol	tomate_de_arbol	frutales	todos
uva	uva	frutales	todos
zapote	zapote	frutales	todos
champion	champion	hongos	todos
orellana	orellana	hongos	todos
acelga	acelga	hortalizas	todos
ahuyama	ahuyama	hortalizas	todos
aji	aji	hortalizas	todos
aji_dulce	aji	hortalizas	todos
aji_tabasco	aji	hortalizas	todos
ajo	ajo	hortalizas	todos
alcachofa	alcachofa	hortalizas	todos
apio	apio	hortalizas	todos
berenjena	berenjena	hortalizas	todos
brocoli	brocoli	hortalizas	todos
calabacin	calabacin	hortalizas	todos
calabaza	calabaza	hortalizas	todos
cebolla_de_bulbo	cebolla	hortalizas	todos
cebolla_de_rama	cebolla	hortalizas	todos
cebollin	cebolla	hortalizas	todos
cilantro	cilantro	hortalizas	todos
col	col	hortalizas	todos
coliflor	col	hortalizas	todos
esparrago	esparrago	hortalizas	todos
espinaca	espinaca	hortalizas	todos
guatila	guatila	hortalizas	todos
hortalizas_varias	hortalizas_varias	hortalizas	todos
lechuga	lechuga	hortalizas	todos
nabo	nabo	hortalizas	todos
palmito	palmito	hortalizas	todos
pepino_cohombro	pepino	hortalizas	todos
pepino_guiso	pepino	hortalizas	todos
pimenton	pimenton	hortalizas	todos
puerro	puerro	hortalizas	todos
rabano	rabano	hortalizas	todos
remolacha	remolacha	hortalizas	todos
repollo	repollo	hortalizas	todos
tomate	tomate	hortalizas	todos
tomate_invernadero	tomate	hortalizas	todos
zanahoria	zanahoria	hortalizas	todos
alfalfa	alfalfa	leguminosas	todos
arveja	arveja	leguminosas	todos
chachafruto	chachafruto	leguminosas	todos
frijol	frijol	leguminosas	todos
frijol_arbustivo	frijol	leguminosas	todos
frijol_ladera	frijol	leguminosas	todos
frijol_plana	frijol	leguminosas	todos
frijol_voluble	frijol	leguminosas	todos
garbanzo	garbanzo	leguminosas	todos
guandul	guandul	leguminosas	todos
haba	haba	leguminosas	todos
habichuela	habichuela	leguminosas	todos
lenteja	lenteja	leguminosas	todos
mani	mani	leguminosas	todos
soya	soya	leguminosas	todos
ajonjoli	ajonjoli	oleaginosas	todos
higuerilla	higuerilla	oleaginosas	todos
jatropha	jatropha	oleaginosas	todos
palma_de_aceite	palma_de_aceite	oleaginosas	todos
sacha_inchi	sacha_inchi	oleaginosas	todos
cacao	cacao	otros_permanentes	todos
cafe	cafe	otros_permanentes	todos
caa_azucarera	caa	otros_permanentes	todos
caa_miel	caa	otros_permanentes	todos
caa_panelera	caa	otros_permanentes	todos
morera	morera	otros_permanentes	todos
tabaco_negro	tabaco	otros_permanentes	todos
tabaco_rubio	tabaco	otros_permanentes	todos
plantas_aromaticas_y_medicinales	otras_plantas_aromaticas_y_medicinales	plantas_aromaticas_condimentarias_y_medicinales	todos
albahaca	plantas_aromaticas	plantas_aromaticas_condimentarias_y_medicinales	todos
anis	plantas_aromaticas	plantas_aromaticas_condimentarias_y_medicinales	todos
cardamomo	plantas_aromaticas	plantas_aromaticas_condimentarias_y_medicinales	todos
chiraran	plantas_aromaticas	plantas_aromaticas_condimentarias_y_medicinales	todos
eneldo	plantas_aromaticas	plantas_aromaticas_condimentarias_y_medicinales	todos
flor_de_jamaica	plantas_aromaticas	plantas_aromaticas_condimentarias_y_medicinales	todos
hierbabuena	plantas_aromaticas	plantas_aromaticas_condimentarias_y_medicinales	todos
limonaria	plantas_aromaticas	plantas_aromaticas_condimentarias_y_medicinales	todos
manzanilla	plantas_aromaticas	plantas_aromaticas_condimentarias_y_medicinales	todos
menta	plantas_aromaticas	plantas_aromaticas_condimentarias_y_medicinales	todos
oregano	plantas_aromaticas	plantas_aromaticas_condimentarias_y_medicinales	todos
plantas_aromaticas	plantas_aromaticas	plantas_aromaticas_condimentarias_y_medicinales	todos
poleo	plantas_aromaticas	plantas_aromaticas_condimentarias_y_medicinales	todos
romero	plantas_aromaticas	plantas_aromaticas_condimentarias_y_medicinales	todos
te	plantas_aromaticas	plantas_aromaticas_condimentarias_y_medicinales	todos
achiote_bija	plantas_condimentarias	plantas_aromaticas_condimentarias_y_medicinales	todos
chillangua	plantas_condimentarias	plantas_aromaticas_condimentarias_y_medicinales	todos
cimarron	plantas_condimentarias	plantas_aromaticas_condimentarias_y_medicinales	todos
curcuma	plantas_condimentarias	plantas_aromaticas_condimentarias_y_medicinales	todos
jengibre	plantas_condimentarias	plantas_aromaticas_condimentarias_y_medicinales	todos
laurel	plantas_condimentarias	plantas_aromaticas_condimentarias_y_medicinales	todos
perejil	plantas_condimentarias	plantas_aromaticas_condimentarias_y_medicinales	todos
pimienta	plantas_condimentarias	plantas_aromaticas_condimentarias_y_medicinales	todos
tomillo	plantas_condimentarias	plantas_aromaticas_condimentarias_y_medicinales	todos
vainilla	plantas_condimentarias	plantas_aromaticas_condimentarias_y_medicinales	todos
achicoria	plantas_medicinales	plantas_aromaticas_condimentarias_y_medicinales	todos
calendula	plantas_medicinales	plantas_aromaticas_condimentarias_y_medicinales	todos
canyarana	plantas_medicinales	plantas_aromaticas_condimentarias_y_medicinales	todos
plantas_medicinales	plantas_medicinales	plantas_aromaticas_condimentarias_y_medicinales	todos
ruda	plantas_medicinales	plantas_aromaticas_condimentarias_y_medicinales	todos
ruscus	plantas_medicinales	plantas_aromaticas_condimentarias_y_medicinales	todos
sabila	plantas_medicinales	plantas_aromaticas_condimentarias_y_medicinales	todos
stevia	plantas_medicinales	plantas_aromaticas_condimentarias_y_medicinales	todos
tangarana	plantas_medicinales	plantas_aromaticas_condimentarias_y_medicinales	todos
achira	achira	tuberculos_y_platanos	todos
sagu	achira	tuberculos_y_platanos	todos
arracacha	arracacha	tuberculos_y_platanos	todos
batata	batata	tuberculos_y_platanos	todos
bore	bore	tuberculos_y_platanos	todos
chonque	chonque	tuberculos_y_platanos	todos
achin	malanga	tuberculos_y_platanos	todos
malanga	malanga	tuberculos_y_platanos	todos
papa_china	malanga	tuberculos_y_platanos	todos
yota	malanga	tuberculos_y_platanos	todos
papa	papa	tuberculos_y_platanos	todos
papa_criolla	papa	tuberculos_y_platanos	todos
cachaco	platano	tuberculos_y_platanos	todos
platano	platano	tuberculos_y_platanos	todos
platano_exportacion	platano	tuberculos_y_platanos	todos
ruba	ulluco	tuberculos_y_platanos	todos
ulluco	ulluco	tuberculos_y_platanos	todos
yacon	yacon	tuberculos_y_platanos	todos
yuca	yuca	tuberculos_y_platanos	todos
yuca_industrial	yuca	tuberculos_y_platanos	todos
ame	ame	tuberculos_y_platanos	todos
ame_diamante	ame	tuberculos_y_platanos	todos
ame_espino	ame	tuberculos_y_platanos	todos
