code	level	name_en	name_short_en	name_es	name_short_es
todos	level0	All Products	All Products	Todos los Productos	Todos los Productos
cereales	level1	Cereals	Cereals	Cereales	Cereales
fibras	level1	Fibers	Fibers	Fibras	Fibras
flores_y_follajes	level1	Flowers And Foliage	Flowers And Foliage	Flores Y Follajes	Flores Y Follajes
forestales	level1	Forestry	Forestry	Forestales	Forestales
frutales	level1	Fruits	Fruits	Frutales	Frutales
hongos	level1	Mushrooms	Mushrooms	Hongos	Hongos
hortalizas	level1	Vegetables	Vegetables	Hortalizas	Hortalizas
leguminosas	level1	Legumes	Legumes	Leguminosas	Leguminosas
oleaginosas	level1	Oleaginous	Oleaginous	Oleaginosas	Oleaginosas
otros_permanentes	level1	Other Permanent	Other Permanent	Otros Permanentes	Otros Permanentes
otros_transitorios	level1	Other Transitory	Other Transitory	Otros Transitorios	Otros Transitorios
plantas_aromaticas_condimentarias_y_medicinales	level1	Aromatic, Medicinal, And Flavour Plants	Aromatic, Medicinal, And Flavour Plants	Plantas Aromaticas, Condimentarias Y Medicinales	Plantas Aromaticas, Condimentarias Y Medicinales
tuberculos_y_platanos	level1	Tubers And Plantain	Tubers And Plantain	Tuberculos Y Platanos	Tuberculos Y Platanos
acelga	level2	Chard	Chard	Acelga	Acelga
achira	level2	Purple Arrowroot	Purple Arrowroot	Achira	Achira
aguacate	level2	Avocado	Avocado	Aguacate	Aguacate
ahuyama	level2	Squash	Squash	Ahuyama	Ahuyama
aji	level2	Chili Peppers	Chili Peppers	Aji	Aji
ajo	level2	Garlic	Garlic	Ajo	Ajo
ajonjoli	level2	Sesame	Sesame	Ajonjoli	Ajonjoli
alcachofa	level2	Artichoke	Artichoke	Alcachofa	Alcachofa
alfalfa	level2	Lucerne	Lucerne	Alfalfa	Alfalfa
algarrobo	level2	Carob Tree	Carob Tree	Algarrobo	Algarrobo
algodon	level2	Cotton	Cotton	Algodon	Algodon
ame	level2	Greater Yam	Greater Yam	Ñame	Ñame
anon	level2	Sugar Apples	Sugar Apples	Anon	Anon
apio	level2	Celery	Celery	Apio	Apio
arandano	level2	Bilberry	Bilberry	Arandano	Arandano
arracacha	level2	White Carrot	White Carrot	Arracacha	Arracacha
arroz	level2	Rice	Rice	Arroz	Arroz
arveja	level2	Pea	Pea	Arveja	Arveja
avena	level2	Oat	Oat	Avena	Avena
banano	level2	Banana	Banana	Banano	Banano
batata	level2	Sweet Potatoe	Sweet Potatoe	Batata	Batata
berenjena	level2	Aubergine	Aubergine	Berenjena	Berenjena
bore	level2	Dasheen	Dasheen	Bore	Bore
brocoli	level2	Broccoli	Broccoli	Brocoli	Brocoli
caa	level2	Cane	Cane	Caña	Caña
caa_flecha	level2	Arrow Cane	Arrow Cane	Caña Flecha	Caña Flecha
cacao	level2	Cocoa	Cocoa	Cacao	Cacao
caducifolios	level2	Caducifolios	Caducifolios	Caducifolios	Caducifolios
cafe	level2	Coffee	Coffee	Cafe	Cafe
calabacin	level2	Zucchini	Zucchini	Calabacin	Calabacin
calabaza	level2	Pumpkin	Pumpkin	Calabaza	Calabaza
caucho	level2	Rubber	Rubber	Caucho	Caucho
cebada	level2	Barley	Barley	Cebada	Cebada
cebolla	level2	Onion	Onion	Cebolla	Cebolla
centeno	level2	Rye	Rye	Centeno	Centeno
chachafruto	level2	Basul	Basul	Chachafruto	Chachafruto
champion	level2	Mushroom	Mushroom	Champiñon	Champiñon
chonque	level2	New Cocoyam	New Cocoyam	Chonque	Chonque
cilantro	level2	Coriander	Coriander	Cilantro	Cilantro
citricos	level2	Citrics	Citrics	Citricos	Citricos
coco	level2	Coconut	Coconut	Coco	Coco
col	level2	Cole	Cole	Col	Col
curuba	level2	Banana Passionfruit	Banana Passionfruit	Curuba	Curuba
esparrago	level2	Asparagus	Asparagus	Esparrago	Esparrago
esparto	level2	Needles Grass	Needles Grass	Esparto	Esparto
espinaca	level2	Spinach	Spinach	Espinaca	Espinaca
estropajo	level2	Sponge Gourd	Sponge Gourd	Estropajo	Estropajo
feijoa	level2	Pineapple Guava	Pineapple Guava	Feijoa	Feijoa
fique	level2	Century Plant	Century Plant	Fique	Fique
flores	level2	Flowers	Flowers	Flores	Flores
follajes	level2	Foliage	Foliage	Follajes	Follajes
frambuesa	level2	Raspberry	Raspberry	Frambuesa	Frambuesa
fresa	level2	Strawberry	Strawberry	Fresa	Fresa
frijol	level2	Beans	Beans	Frijol	Frijol
frutales_exoticos	level2	Exotic Fruits	Exotic Fruits	Frutales Exoticos	Frutales Exoticos
frutales_varios	level2	Various Fruits	Various Fruits	Frutales Varios	Frutales Varios
garbanzo	level2	Chickpea	Chickpea	Garbanzo	Garbanzo
granadilla	level2	Wweet Granadilla	Wweet Granadilla	Granadilla	Granadilla
guanabana	level2	Soursoup	Soursoup	Guanabana	Guanabana
guandul	level2	Pigeon Pea	Pigeon Pea	Guandul	Guandul
guatila	level2	Chow Chow	Chow Chow	Guatila	Guatila
guayaba	level2	Guava	Guava	Guayaba	Guayaba
