level2	level1	level0
cocoa	agroind	total
coffee	agroind	total
cotton	agroind	total
other agroind	agroind	total
palm	agroind	total
panela cane	agroind	total
rubber	agroind	total
sugar cane	agroind	total
tobacco	agroind	total
other cereals	cereals	total
rice	cereals	total
white corn	cereals	total
yellow corn	cereals	total
avocado	fruits	total
banana expo	fruits	total
banana other	fruits	total
citrics	fruits	total
other fruits	fruits	total
papaya	fruits	total
pinneaple	fruits	total
flowers & foliage	greens	total
forest plants	greens	total
herbs	greens	total
vegetables	greens	total
other tubers	pltubers	total
plantain	pltubers	total
potatoes	pltubers	total
yucca	pltubers	total
