code	level	name_en	name_short_en	name_es	name_short_es	Unnamed: 6
Todos los Productos	level0	All Products	All Products	Todos los Productos	Todos los Productos	
CEREALES	level1	Cereals	Cereals	Cereales	Cereales	
FIBRAS	level1	Fibers	Fibers	Fibras	Fibras	
FLORES Y FOLLAJES	level1	Flowers And Foliage	Flowers And Foliage	Flores Y Follajes	Flores Y Follajes	
FORESTALES	level1	Forestry	Forestry	Forestales	Forestales	
FRUTALES	level1	Fruits	Fruits	Frutales	Frutales	
AGUACATE	level2	Avocado	Avocado	Aguacate	Aguacate	
ALGARROBO	level2	Locust Bean	Locust Bean	Algarrobo	Algarrobo	
ALGODON	level2	Cotton	Cotton	Algodon	Algodon	
ANON	level2	Sugar-apple	Sugar-apple	Anon	Anon	
ARANDANO	level2	Cranberry	Cranberry	Arandano	Arandano	
ARROZ	level2	Rice	Rice	Arroz	Arroz	
AVENA	level2	Oat	Oat	Avena	Avena	
BANANO	level2	Banana	Banana	Banano	Banano	
CADUCIFOLIOS	level2	Caducifolious	Caducifolious	Caducifolios	Caducifolios	
CAUCHO	level2	Rubber	Rubber	Caucho	Caucho	
CAãA FLECHA	level2	Wild Cane	Wild Cane	Caña Flecha	Caña Flecha	
CEBADA	level2	Barley	Barley	Cebada	Cebada	
CENTENO	level2	Rye	Rye	Centeno	Centeno	
CITRICOS	level2	Citrus Fruits	Citrus Fruits	Citricos	Citricos	
COCO	level2	Coconut	Coconut	Coco	Coco	
CURUBA	level2	Banana passionfruit	Banana passionfruit	Curuba	Curuba	
ESPARTO	level2	Esparto grass	Esparto grass	Esparto	Esparto	
ESTROPAJO	level2	Scourer	Scourer	Estropajo	Estropajo	
FEIJOA	level2	Pinapple guava	Pinapple guava	Feijoa	Feijoa	
FIQUE	level2	Fique fiber	Fique fiber	Fique	Fique	
FLORES	level2	Flowers	Flowers	Flores	Flores	
FLORES Y FOLLAJES	level2	Flowers and Foliage	Flowers and Foliage	Flores y Follajes	Flores y Follajes	
FOLLAJES	level2	Foliage	Foliage	Follajes	Follajes	
FRAMBUESA	level2	Raspberry	Raspberry	Frambuesa	Frambuesa	
FRESA	level2	Strawberry	Strawberry	Fresa	Fresa	
FRUTALES EXOTICOS	level2	Exotic Fruits	Exotic Fruits	Frutales Exoticos	Frutales Exoticos	
FRUTALES VARIOS	level2	Various Fruits	Various Fruits	Frutales Varios	Frutales Varios	
GRANADILLA	level2	Granadilla	Granadilla	Granadilla	Granadilla	
GUANABANA	level2	Soursop	Soursop	Guanabana	Guanabana	
GUAYABA	level2	Guava	Guava	Guayaba	Guayaba	
