code	level	name_en	name_short_en	name_es	name_short_es
Total	level0	Total	Total	Total	Total
Otros	level1	Other	Other	Otros	Otros
Ni agrÂ’colas ni pecuarias	level1	Not Agriculture Nor Living Stock	Not Agriculture Nor Living Stock	Ni agrÂ’colas ni pecuarias	Ni agrÂ’colas ni pecuarias
Bosques	level1	Natural Forests	Natural Forests	Bosques	Bosques
AgrÂ’colas y/o precuarias	level1	Agriculture and/or Living Stock	Agriculture and/or Living Stock	AgrÂ’colas y/o precuarias	AgrÂ’colas y/o precuarias
En reposo	level2	At Rest	At Rest	En reposo	En reposo
Pastos	level2	Grass	Grass	Pastos	Pastos
Barbecho	level2	Fallow	Fallow	Barbecho	Barbecho
Infrastructura agrÂ’cola	level2	Agrinfrastructure	Agrinfrastructure	Infrastructura agrÂ’cola	Infrastructura agrÂ’cola
Cultivos	level2	Crops	Crops	Cultivos	Cultivos
Rastrojo	level2	Stubble	Stubble	Rastrojo	Rastrojo
Otros	level2	Other	Other	Otros	Otros
Ni agrÂ’colas ni pecuarias	level2	Not Agriculture Nor Living Stock	Not Agriculture Nor Living Stock	Ni agrÂ’colas ni pecuarias	Ni agrÂ’colas ni pecuarias
Bosques	level2	Natural Forests	Natural Forests	Bosques	Bosques
