"","code","name","level","name_en","name_es","parent_id"
0,"todos los productos","All Products","level0","All Products","Todos Los Productos",""
1,"cereales","Cereals","level1","Cereals","Cereales",0.0
2,"arroz","Arroz","level2","Arroz","Arroz",1.0
3,"arroz riego","Arroz Riego","level3","Arroz Riego","Arroz Riego",2.0
4,"arroz secano manual","Arroz Secano Manual","level3","Arroz Secano Manual","Arroz Secano Manual",2.0
5,"arroz secano mecanizado","Arroz Secano Mecanizado","level3","Arroz Secano Mecanizado","Arroz Secano Mecanizado",2.0
6,"avena","Avena","level2","Avena","Avena",1.0
7,"avena","Avena","level3","Avena","Avena",6.0
8,"cebada","Cebada","level2","Cebada","Cebada",1.0
9,"cebada","Cebada","level3","Cebada","Cebada",8.0
10,"centeno","Centeno","level2","Centeno","Centeno",1.0
11,"centeno","Centeno","level3","Centeno","Centeno",10.0
12,"maiz","Maiz","level2","Maiz","Maiz",1.0
13,"maiz tecnificado","Maiz Tecnificado","level3","Maiz Tecnificado","Maiz Tecnificado",12.0
14,"maiz tradicional","Maiz Tradicional","level3","Maiz Tradicional","Maiz Tradicional",12.0
15,"maiz forrajero","Maiz Forrajero","level2","Maiz Forrajero","Maiz Forrajero",1.0
16,"maiz forrajero","Maiz Forrajero","level3","Maiz Forrajero","Maiz Forrajero",15.0
17,"quinua","Quinua","level2","Quinua","Quinua",1.0
18,"quinua","Quinua","level3","Quinua","Quinua",17.0
19,"sorgo","Sorgo","level2","Sorgo","Sorgo",1.0
20,"millo","Millo","level3","Millo","Millo",19.0
21,"sorgo","Sorgo","level3","Sorgo","Sorgo",19.0
22,"trigo","Trigo","level2","Trigo","Trigo",1.0
23,"trigo","Trigo","level3","Trigo","Trigo",22.0
24,"fibras","Fibers","level1","Fibers","Fibras",0.0
25,"algodon","Algodon","level2","Algodon","Algodon",24.0
26,"algodon","Algodon","level3","Algodon","Algodon",25.0
27,"caãa flecha","Caãa Flecha","level2","Caãa Flecha","Caãa Flecha",24.0
28,"caãa flecha","Caãa Flecha","level3","Caãa Flecha","Caãa Flecha",27.0
29,"esparto","Esparto","level2","Esparto","Esparto",24.0
30,"esparto","Esparto","level3","Esparto","Esparto",29.0
31,"estropajo","Estropajo","level2","Estropajo","Estropajo",24.0
32,"estropajo","Estropajo","level3","Estropajo","Estropajo",31.0
33,"fique","Fique","level2","Fique","Fique",24.0
34,"fique","Fique","level3","Fique","Fique",33.0
35,"iraca","Iraca","level2","Iraca","Iraca",24.0
36,"iraca","Iraca","level3","Iraca","Iraca",35.0
37,"mimbre","Mimbre","level2","Mimbre","Mimbre",24.0
38,"mimbre","Mimbre","level3","Mimbre","Mimbre",37.0
39,"palma amarga","Palma Amarga","level2","Palma Amarga","Palma Amarga",24.0
40,"palma amarga","Palma Amarga","level3","Palma Amarga","Palma Amarga",39.0
41,"flores y follajes","Flowers And Foliage","level1","Flowers And Foliage","Flores Y Follajes",0.0
42,"flores","Flores","level2","Flores","Flores",41.0
43,"anturio","Anturio","level3","Anturio","Anturio",42.0
44,"astromelia","Astromelia","level3","Astromelia","Astromelia",42.0
45,"cartucho-astromelia","Cartucho-Astromelia","level3","Cartucho-Astromelia","Cartucho-Astromelia",42.0
46,"clavel","Clavel","level3","Clavel","Clavel",42.0
47,"girasol","Girasol","level3","Girasol","Girasol",42.0
48,"gladiolo","Gladiolo","level3","Gladiolo","Gladiolo",42.0
49,"heliconia","Heliconia","level3","Heliconia","Heliconia",42.0
50,"hortensia","Hortensia","level3","Hortensia","Hortensia",42.0
51,"orquidea","Orquidea","level3","Orquidea","Orquidea",42.0
52,"pompon y crisantemo","Pompon Y Crisantemo","level3","Pompon Y Crisantemo","Pompon Y Crisantemo",42.0
53,"rosa","Rosa","level3","Rosa","Rosa",42.0
54,"flores y follajes","Flores Y Follajes","level2","Flores Y Follajes","Flores Y Follajes",41.0
55,"flores y follajes","Flores Y Follajes","level3","Flores Y Follajes","Flores Y Follajes",54.0
56,"follajes","Follajes","level2","Follajes","Follajes",41.0
57,"asparragus","Asparragus","level3","Asparragus","Asparragus",56.0
58,"cordeline cinta","Cordeline Cinta","level3","Cordeline Cinta","Cordeline Cinta",56.0
59,"eucalipto baby blue","Eucalipto Baby Blue","level3","Eucalipto Baby Blue","Eucalipto Baby Blue",56.0
60,"fitosporum","Fitosporum","level3","Fitosporum","Fitosporum",56.0
61,"helecho","Helecho","level3","Helecho","Helecho",56.0
62,"helecho cuero","Helecho Cuero","level3","Helecho Cuero","Helecho Cuero",56.0
63,"palma robelina","Palma Robelina","level3","Palma Robelina","Palma Robelina",56.0
