"","code","name","level","name_en","name_es","parent_id"
0,"todos","All Products","level0","All Products","Todos los Productos",""
1,"cereales","Cereals","level1","Cereals","Cereales",0.0
2,"arroz","Rice","level2","Rice","Arroz",1.0
3,"arroz_riego","Irrigated rice","level3","Irrigated rice","Arroz Riego",2.0
4,"arroz_secano_manual","Manual upland rice","level3","Manual upland rice","Arroz Secano Manual",2.0
5,"arroz_secano_mecanizado","Mech upland rice","level3","Mech upland rice","Arroz Secano Mecanizado",2.0
6,"avena","Oat","level2","Oat","Avena",1.0
7,"avena","Oat","level3","Oat","Avena",6.0
8,"cebada","Barley","level2","Barley","Cebada",1.0
9,"cebada","Barley","level3","Barley","Cebada",8.0
10,"centeno","Rye","level2","Rye","Centeno",1.0
11,"centeno","Rye","level3","Rye","Centeno",10.0
12,"maiz","Corn","level2","Corn","Maíz",1.0
13,"maiz_tecnificado","Tech corn","level3","Tech corn","Maíz Tecnificado",12.0
14,"maiz_tradicional","Traditional corn","level3","Traditional corn","Maíz Tradicional",12.0
15,"maiz_forrajero","Maize","level2","Maize","Maíz Forrajero",1.0
16,"maiz_forrajero","Maize","level3","Maize","Maíz Forrajero",15.0
17,"quinua","Quinoa","level2","Quinoa","Quinua",1.0
18,"quinua","Quinoa","level3","Quinoa","Quinua",17.0
19,"sorgo","Sorghum","level2","Sorghum","Sorgo",1.0
20,"millo","Millo","level3","Millo","Millo",19.0
21,"sorgo","Sorghum","level3","Sorghum","Sorgo",19.0
22,"trigo","Wheat","level2","Wheat","Trigo",1.0
23,"trigo","Wheat","level3","Wheat","Trigo",22.0
24,"fibras","Fibers","level1","Fibers","Fibras",0.0
25,"algodon","Cotton","level2","Cotton","Algodón",24.0
26,"algodon","Cotton","level3","Cotton","Algodón",25.0
27,"caa_flecha","Arrow Cane","level2","Arrow Cane","Caña Flecha",24.0
28,"caa_flecha","Arrow Cane","level3","Arrow Cane","Caña Flecha",27.0
29,"esparto","Needles Grass","level2","Needles Grass","Esparto",24.0
30,"esparto","Needles grass","level3","Needles grass","Esparto",29.0
31,"estropajo","Sponge Gourd","level2","Sponge Gourd","Estropajo",24.0
32,"estropajo","Sponge gourd","level3","Sponge gourd","Estropajo",31.0
33,"fique","Century Plant","level2","Century Plant","Fique",24.0
34,"fique","Century plant","level3","Century plant","Fique",33.0
35,"iraca","Toquilla Palm","level2","Toquilla Palm","Iraca",24.0
36,"iraca","Toquilla palm","level3","Toquilla palm","Iraca",35.0
37,"mimbre","Wicker","level2","Wicker","Mimbre",24.0
38,"mimbre","Wicker","level3","Wicker","Mimbre",37.0
39,"palma_amarga","Sour Palm","level2","Sour Palm","Palma Amarga",24.0
40,"palma_amarga","Sour palm","level3","Sour palm","Palma Amarga",39.0
41,"flores_y_follajes","Flowers And Foliage","level1","Flowers And Foliage","Flores Y Follajes",0.0
42,"flores","Flowers","level2","Flowers","Flores",41.0
43,"anturio","Anthurium","level3","Anthurium","Anturio",42.0
44,"astromelia","Lily","level3","Lily","Astromelia",42.0
45,"cartuchoastromelia","Astromelia cartridge","level3","Astromelia cartridge","Cartucho-Astromelia",42.0
