"","code","name","level","parent_id"
0,"106","Animal & Animal Products","section",""
1,"116","Vegetable Products","section",""
2,"126","Foodstuffs","section",""
3,"206","Mineral Products","section",""
4,"306","Chemicals & Allied Industries","section",""
5,"316","Plastics / Rubbers","section",""
6,"406","Raw Hides, Skins, Leather, & Furs","section",""
7,"506","Wood & Wood Products","section",""
8,"416","Textiles","section",""
9,"426","Footwear / Headgear","section",""
10,"606","Stone / Glass","section",""
11,"616","Metals","section",""
12,"706","Machinery / Electrical","section",""
13,"716","Transportation","section",""
14,"906","Miscellaneous","section",""
15,"916","Service","section",""
16,"01","Live Animals","2digit",0.0
17,"02","Meat & Edible Meat Offal","2digit",0.0
18,"03","Fish & Crustaceans","2digit",0.0
19,"04","Dairy, Eggs, Honey, & Ed. Products","2digit",0.0
20,"05","Products of Animal Origin","2digit",0.0
21,"06","Live Trees & Other Plants","2digit",1.0
22,"07","Edible Vegetables","2digit",1.0
23,"08","Ed. Fruits & Nuts, peel of Citrus/Melons","2digit",1.0
24,"09","Coffee, Tea, Mate & Spices","2digit",1.0
25,"10","Cereals","2digit",1.0
26,"11","Milling Industry Products","2digit",1.0
27,"12","Oil Seeds/Misc. Grains/Med. Plants/Straw","2digit",1.0
28,"13","Lac, Gums, Resins, Etc.","2digit",1.0
29,"14","Vegetable Plaiting Materials","2digit",1.0
30,"15","Animal or Vegetable Fats, Oils & Waxes","2digit",1.0
31,"16","Ed. Prep of Meat, Fish, Crustaceans, Etc","2digit",2.0
32,"17","Sugars & Sugar Confectionery","2digit",2.0
33,"18","Cocoa & Cocoa Preparations","2digit",2.0
34,"19","Preps. of Cereals, Flour, Starch or Milk","2digit",2.0
35,"20","Preps of Vegs, Fruits, Nuts, Etc","2digit",2.0
36,"21","Misc. Edible Preparations","2digit",2.0
37,"22","Beverages, Spirits & Vinegar","2digit",2.0
38,"23","Residues from Food Industries, Animal Feed","2digit",2.0
39,"24","Tobacco & Manuf. Tobacco Substitutes","2digit",2.0
40,"25","Salt, Sulphur, Earth & Stone, Lime & Cement","2digit",3.0
41,"26","Ores Slag & Ash","2digit",3.0
42,"27","Mineral Fuels, Oils, Waxes & Bituminous Sub","2digit",3.0
43,"28","Inorganic Chem, Org/Inorg Compounds of Precious Metals, Isotopes","2digit",4.0
44,"29","Organic Chemicals","2digit",4.0
45,"30","Pharmaceutical Products","2digit",4.0
46,"31","Fertilizers","2digit",4.0
47,"32","Tanning or Dyeing Extracts, Dyes, Pigments, Paints & Varnishes, Putty & Inks","2digit",4.0
48,"33","Oils & Resinoids, Perfumery, Cosmetic or Toilet Preparations","2digit",4.0
49,"34","Soaps, Waxes, Scouring Products, Candles, Modeling Pastes, Dental Waxes","2digit",4.0
50,"35","Albuminoidal Sub, Starches, Glues, Enzymes","2digit",4.0
51,"36","Explosives, Matches, Pyrotechnic Products","2digit",4.0
52,"37","Photographic or Cinematographic Goods","2digit",4.0
53,"38","Miscellaneous Chemical Products","2digit",4.0
54,"39","Plastic & Articles Thereof","2digit",5.0
55,"40","Rubbers & Articles Thereof","2digit",5.0
56,"41","Raw hides & Skins & Leather","2digit",6.0
57,"42","Articles of Leather, Saddlery & Harness, Travel Goods, Handbags, Articles of Gut","2digit",6.0
58,"43","Furskins & Artificial Fur, Manufactures","2digit",6.0
59,"44","Wood & Articles of Wood, Wood Charcoal","2digit",7.0
60,"45","Cork & Articles of Cork","2digit",7.0
61,"46","Manu. of Straw, Esparto, or Other Plaiting Materials, Basketware and Wickerwork","2digit",7.0
62,"47","Pulp of Wood, Waste & Scrap of Paper","2digit",7.0
63,"48","Paper & Paperboard, Articles of Paper Pulp","2digit",7.0
64,"49","Printed Books, Newspapers, Pictures, Manuscripts, Typescripts & Plans","2digit",7.0
65,"50","Silk, Inc. Yarns & Woven Fabrics Thereof","2digit",8.0
66,"51","Wool & Fine or Coarse Animal Hair, Inc. Yarns & Woven Fabrics Thereof","2digit",8.0
67,"52","Cotton, Inc. Yarns & Woven Fabrics Thereof","2digit",8.0
68,"53","Veg. Textile Fibers Nesoi, Yarns & Woven Etc.","2digit",8.0
69,"54","Man-Made Filaments, Inc. Yarns & Woven Etc.","2digit",8.0
70,"55","Man-Made Staple Fibers, Inc. Yarns Etc.","2digit",8.0
71,"57","Carpets & Other Textile Floor Coverings","2digit",8.0
