HS 6 digits,HS6_eng_full,HS6_eng_long,HS6_eng_short,Current HS4 Long Name (from Atlas Product Rankings page),HS4 ,HS6,HS6 share of HS4 total,HS 4digits,Current HS4 short name,Proposed new HS4 short name,HS 2digits,Current HS2 short name
010111,"Horses, live pure-bred breeding","Live horses, pure-bred","Horses, pure-bred","Live horses, asses, mules or hinnies","2,364","1,208",51%,0101,Horses,Horses,01,Live animals
010119,"Horses, live except pure-bred breeding","Live horses, not pure-bred","Horses, not pure-bred","Live horses, asses, mules or hinnies","2,364","1,124",48%,0101,Horses,Horses,01,Live animals
010120,"Asses, mules and hinnies, live","Live asses, mules and hinnies",Other equine,"Live horses, asses, mules or hinnies","2,364",32,1%,0101,Horses,Horses,01,Live animals
010290,"Bovine animals, live, except pure-bred breeding","Live bovine, not pure-bred","Bovine, not pure-bred",Live bovine animals,"9,089","7,640",84%,0102,Bovine,Bovine,01,Live animals
010210,"Bovine animals, live pure-bred breeding","Live bovine, pure-bred","Bovine, pure-bred",Live bovine animals,"9,089","1,448",16%,0102,Bovine,Bovine,01,Live animals
010392,"Swine, live except pure-bred breeding > 50 kg","Live swine > 50 kg, not pure-bred","Swine > 50 kg, not pure-bred",Live swine,"4,560","2,772",61%,0103,Swine,Swine,01,Live animals
010391,"Swine, live except pure-bred breeding < 50 kg","Live swine < 50 kg, not pure-bred","Swine < 50 kg, not pure-bred",Live swine,"4,560","1,557",34%,0103,Swine,Swine,01,Live animals
010310,"Swine, live pure-bred breeding","Live swine, pure-bred","Swine, pure-bred",Live swine,"4,560",231,5%,0103,Swine,Swine,01,Live animals
010410,"Sheep, live",Live sheep,Sheep,Live sheep and goats,"1,528","1,305",85%,0104,Sheep,Sheep,01,Live animals
010420,"Goats, live",Live goats,Goats,Live sheep and goats,"1,528",223,15%,0104,Sheep,Sheep,01,Live animals
010591,"Fowls, live domestic > 185 grams",Live domestic fowls > 185 g,Domestic fowls > 185 g,"Live poultry of the following kinds Chickens, ducks, geese, turkeys and guineas","3,072","1,306",43%,0105,Fowl,Fowl,01,Live animals
010511,"Fowls, live domestic < 185 grams",Live domestic fowls < 185 g,Domestic fowls < 185 g,"Live poultry of the following kinds Chickens, ducks, geese, turkeys and guineas","3,072","1,234",40%,0105,Fowl,Fowl,01,Live animals
010599,"Poultry, live except domestic fowls, > 185 grams","Live poultry except domestic fowls, > 185 g",Other poultry > 185 g,"Live poultry of the following kinds Chickens, ducks, geese, turkeys and guineas","3,072",309,10%,0105,Fowl,Fowl,01,Live animals
010519,"Poultry, live except domestic fowls, < 185 grams","Live poultry except domestic fowls, < 185 g",Other poultry < 185 g,"Live poultry of the following kinds Chickens, ducks, geese, turkeys and guineas","3,072",223,7%,0105,Fowl,Fowl,01,Live animals
010600,"Animals, live, except farm animals","Live animals, except farm animals",Non-farm animals,Other live animals,"1,164","1,164",100%,0106,Other live animals,Other live animals,01,Live animals
020130,"Bovine cuts boneless, fresh or chilled","Bovine cuts, boneless",Boneless beef,"Meat of bovine animals, fresh or chilled","21,569","14,187",66%,0201,Beef,Beef,02,Meat
020120,"Bovine cuts bone in, fresh or chilled",Bovine cuts bone in,Bone-in beef,"Meat of bovine animals, fresh or chilled","21,569","4,953",23%,0201,Beef,Beef,02,Meat
020110,"Bovine carcasses and half carcasses, fresh or chilled",Bovine carcasses or half carcasses,Bovine carcasses,"Meat of bovine animals, fresh or chilled","21,569","2,429",11%,0201,Beef,Beef,02,Meat
020230,"Bovine cuts boneless, frozen","Bovine cuts, boneless (frozen)","Boneless beef, frozen","Meat of bovine animals, frozen","19,377","17,747",92%,0202,Beef (frozen),Beef (frozen),02,Meat
020220,"Bovine cuts bone in, frozen",Bovine cuts bone in (frozen),"Bone-in beef, frozen","Meat of bovine animals, frozen","19,377","1,367",7%,0202,Beef (frozen),Beef (frozen),02,Meat
020210,"Bovine carcasses and half carcasses, frozen",Bovine carcasses or half carcasses (frozen),"Bovine carcasses, frozen","Meat of bovine animals, frozen","19,377",263,1%,0202,Beef (frozen),Beef (frozen),02,Meat
020329,"Swine cuts, frozen nes","Swine meat (frozen), nes","Other pork, frozen","Meat of swine, fresh, chilled or frozen","30,464","12,270",40%,0203,Pork,Pork,02,Meat
020319,"Swine cuts, fresh or chilled, nes","Swine meat, nes",Other pork,"Meat of swine, fresh, chilled or frozen","30,464","9,519",31%,0203,Pork,Pork,02,Meat
020312,"Swine hams, shoulders & cuts bone in, fresh or chille","Hams, pork shoulders and bone-in cuts",Ham and pork shoulder,"Meat of swine, fresh, chilled or frozen","30,464","4,590",15%,0203,Pork,Pork,02,Meat
020311,"Swine carcasses and half carcasses, fresh or chilled",Swine carcasses and half carcasses,Swine carcasses,"Meat of swine, fresh, chilled or frozen","30,464","2,857",9%,0203,Pork,Pork,02,Meat
020322,"Hams, shoulders and cuts, of swine, bone in, frozen","Hams, pork shoulders and bone-in cuts (frozen)","Ham and pork shoulder, frozen","Meat of swine, fresh, chilled or frozen","30,464",880,3%,0203,Pork,Pork,02,Meat
020321,"Swine carcasses and half carcasses, frozen",Swine carcasses and half carcasses (frozen),"Swine carcasses, frozen","Meat of swine, fresh, chilled or frozen","30,464",349,1%,0203,Pork,Pork,02,Meat
020442,"Sheep cuts, bone in, frozen","Lamb or mutton, bone-in (frozen)","Mutton, bone-in, frozen","Meat of sheep or goats, fresh, chilled or frozen","6,767","2,311",34%,0204,Lamb,Lamb,02,Meat
020422,"Sheep cuts, bone in, fresh or chilled","Lamb or mutton, bone-in","Mutton, bone-in","Meat of sheep or goats, fresh, chilled or frozen","6,767","1,145",17%,0204,Lamb,Lamb,02,Meat
020443,"Sheep cuts, boneless, frozen","Lamb or mutton, boneless (frozen)","Mutton, boneless, frozen","Meat of sheep or goats, fresh, chilled or frozen","6,767",946,14%,0204,Lamb,Lamb,02,Meat
020410,"Lamb carcasses and half carcasses, fresh or chilled",Lamb carcasses and half-carcasses,Lamb carcasses,"Meat of sheep or goats, fresh, chilled or frozen","6,767",872,13%,0204,Lamb,Lamb,02,Meat
020423,"Sheep cuts, boneless, fresh or chilled","Lamb or mutton, boneless","Mutton, boneless","Meat of sheep or goats, fresh, chilled or frozen","6,767",500,7%,0204,Lamb,Lamb,02,Meat
020450,"Goat meat, fresh, chilled or frozen",Goat meat,Goat meat,"Meat of sheep or goats, fresh, chilled or frozen","6,767",386,6%,0204,Lamb,Lamb,02,Meat
020421,"Sheep carcasses and half carcasses, fresh or chilled",Sheep carcasses and half carcasses,Sheep carcasses,"Meat of sheep or goats, fresh, chilled or frozen","6,767",246,4%,0204,Lamb,Lamb,02,Meat
020441,"Sheep carcasses and half carcasses, frozen",Sheep carcasses and half carcasses (frozen),"Sheep carcasses, frozen","Meat of sheep or goats, fresh, chilled or frozen","6,767",194,3%,0204,Lamb,Lamb,02,Meat
