6digit_code	4digit_code	2digit_code	section_code
010111	0101	01	1
010119	0101	01	1
010120	0101	01	1
010210	0102	01	1
010290	0102	01	1
010310	0103	01	1
010391	0103	01	1
010392	0103	01	1
010410	0104	01	1
010420	0104	01	1
010511	0105	01	1
010519	0105	01	1
010591	0105	01	1
010599	0105	01	1
010600	0106	01	1
020110	0201	02	1
020120	0201	02	1
020130	0201	02	1
020210	0202	02	1
020220	0202	02	1
020230	0202	02	1
020311	0203	02	1
020312	0203	02	1
020319	0203	02	1
020321	0203	02	1
020322	0203	02	1
020329	0203	02	1
020410	0204	02	1
020421	0204	02	1
020422	0204	02	1
020423	0204	02	1
020430	0204	02	1
020441	0204	02	1
020442	0204	02	1
020443	0204	02	1
020450	0204	02	1
020500	0205	02	1
020610	0206	02	1
020621	0206	02	1
020622	0206	02	1
020629	0206	02	1
020630	0206	02	1
020641	0206	02	1
020649	0206	02	1
020680	0206	02	1
020690	0206	02	1
020710	0207	02	1
020721	0207	02	1
020722	0207	02	1
020723	0207	02	1
020731	0207	02	1
020739	0207	02	1
020741	0207	02	1
020742	0207	02	1
020743	0207	02	1
020750	0207	02	1
020810	0208	02	1
020820	0208	02	1
020890	0208	02	1
020900	0209	02	1
021011	0210	02	1
021012	0210	02	1
021019	0210	02	1
021020	0210	02	1
021090	0210	02	1
030110	0301	03	1
030191	0301	03	1
030192	0301	03	1
030193	0301	03	1
030199	0301	03	1
030211	0302	03	1
030212	0302	03	1
030219	0302	03	1
030221	0302	03	1
030222	0302	03	1
030223	0302	03	1
030229	0302	03	1
030231	0302	03	1
030232	0302	03	1
030233	0302	03	1
030239	0302	03	1
030240	0302	03	1
030250	0302	03	1
030261	0302	03	1
030262	0302	03	1
030263	0302	03	1
030264	0302	03	1
030265	0302	03	1
030266	0302	03	1
030269	0302	03	1
030270	0302	03	1
030310	0303	03	1
030321	0303	03	1
030322	0303	03	1
030329	0303	03	1
030331	0303	03	1
030332	0303	03	1
030333	0303	03	1
030339	0303	03	1
030341	0303	03	1
030342	0303	03	1
030343	0303	03	1
030349	0303	03	1
030350	0303	03	1
030360	0303	03	1
030371	0303	03	1
030372	0303	03	1
030373	0303	03	1
030374	0303	03	1
030375	0303	03	1
030376	0303	03	1
030377	0303	03	1
030378	0303	03	1
030379	0303	03	1
030380	0303	03	1
030410	0304	03	1
030420	0304	03	1
030490	0304	03	1
030510	0305	03	1
030520	0305	03	1
030530	0305	03	1
030541	0305	03	1
030542	0305	03	1
030549	0305	03	1
030551	0305	03	1
030559	0305	03	1
030561	0305	03	1
030562	0305	03	1
030563	0305	03	1
030569	0305	03	1
030611	0306	03	1
030612	0306	03	1
030613	0306	03	1
030614	0306	03	1
030619	0306	03	1
030621	0306	03	1
030622	0306	03	1
030623	0306	03	1
030624	0306	03	1
030629	0306	03	1
030710	0307	03	1
030721	0307	03	1
030729	0307	03	1
030731	0307	03	1
030739	0307	03	1
030741	0307	03	1
030749	0307	03	1
030751	0307	03	1
030759	0307	03	1
030760	0307	03	1
030791	0307	03	1
030799	0307	03	1
040110	0401	04	1
040120	0401	04	1
040130	0401	04	1
040210	0402	04	1
040221	0402	04	1
040229	0402	04	1
040291	0402	04	1
040299	0402	04	1
040310	0403	04	1
040390	0403	04	1
040410	0404	04	1
040490	0404	04	1
040500	0405	04	1
040610	0406	04	1
040620	0406	04	1
040630	0406	04	1
040640	0406	04	1
040690	0406	04	1
040700	0407	04	1
040811	0408	04	1
040819	0408	04	1
040891	0408	04	1
040899	0408	04	1
040900	0409	04	1
041000	0410	04	1
050100	0501	05	1
050210	0502	05	1
050290	0502	05	1
050300	0503	05	1
050400	0504	05	1
050510	0505	05	1
050590	0505	05	1
050610	0506	05	1
050690	0506	05	1
050710	0507	05	1
050790	0507	05	1
050800	0508	05	1
050900	0509	05	1
051000	0510	05	1
051110	0511	05	1
051191	0511	05	1
051199	0511	05	1
060110	0601	06	1
060120	0601	06	1
060210	0602	06	1
060220	0602	06	1
060230	0602	06	1
060240	0602	06	1
060291	0602	06	1
060299	0602	06	1
060310	0603	06	1
060390	0603	06	1
060410	0604	06	1
060491	0604	06	1
060499	0604	06	1
070110	0701	07	1
070190	0701	07	1
070200	0702	07	1
070310	0703	07	1
070320	0703	07	1
070390	0703	07	1
070410	0704	07	1
070420	0704	07	1
070490	0704	07	1
070511	0705	07	1
070519	0705	07	1
070521	0705	07	1
070529	0705	07	1
070610	0706	07	1
070690	0706	07	1
070700	0707	07	1
070810	0708	07	1
070820	0708	07	1
070890	0708	07	1
070910	0709	07	1
070920	0709	07	1
070930	0709	07	1
070940	0709	07	1
070951	0709	07	1
070952	0709	07	1
070960	0709	07	1
070970	0709	07	1
070990	0709	07	1
071010	0710	07	1
071021	0710	07	1
071022	0710	07	1
071029	0710	07	1
071030	0710	07	1
071040	0710	07	1
071080	0710	07	1
071090	0710	07	1
071110	0711	07	1
071120	0711	07	1
071130	0711	07	1
071140	0711	07	1
071190	0711	07	1
071210	0712	07	1
071220	0712	07	1
071230	0712	07	1
071290	0712	07	1
071310	0713	07	1
071320	0713	07	1
071331	0713	07	1
071332	0713	07	1
071333	0713	07	1
071339	0713	07	1
071340	0713	07	1
071350	0713	07	1
071390	0713	07	1
071410	0714	07	1
071420	0714	07	1
071490	0714	07	1
080110	0801	08	1
080120	0801	08	1
080130	0801	08	1
080211	0802	08	1
080212	0802	08	1
080221	0802	08	1
080222	0802	08	1
080231	0802	08	1
080232	0802	08	1
080240	0802	08	1
080250	0802	08	1
080290	0802	08	1
080300	0803	08	1
080410	0804	08	1
080420	0804	08	1
080430	0804	08	1
080440	0804	08	1
080450	0804	08	1
080510	0805	08	1
080520	0805	08	1
080530	0805	08	1
080540	0805	08	1
080590	0805	08	1
080610	0806	08	1
080620	0806	08	1
080710	0807	08	1
080720	0807	08	1
080810	0808	08	1
080820	0808	08	1
080910	0809	08	1
080920	0809	08	1
080930	0809	08	1
080940	0809	08	1
081010	0810	08	1
081020	0810	08	1
081030	0810	08	1
081040	0810	08	1
081090	0810	08	1
081110	0811	08	1
081120	0811	08	1
081190	0811	08	1
081210	0812	08	1
081220	0812	08	1
081290	0812	08	1
081310	0813	08	1
081320	0813	08	1
081330	0813	08	1
081340	0813	08	1
081350	0813	08	1
081400	0814	08	1
090111	0901	09	1
090112	0901	09	1
090121	0901	09	1
090122	0901	09	1
090130	0901	09	1
090140	0901	09	1
090210	0902	09	1
090220	0902	09	1
090230	0902	09	1
090240	0902	09	1
090300	0903	09	1
090411	0904	09	1
090412	0904	09	1
090420	0904	09	1
090500	0905	09	1
090610	0906	09	1
090620	0906	09	1
090700	0907	09	1
090810	0908	09	1
090820	0908	09	1
090830	0908	09	1
090910	0909	09	1
090920	0909	09	1
090930	0909	09	1
090940	0909	09	1
090950	0909	09	1
091010	0910	09	1
091020	0910	09	1
091030	0910	09	1
091040	0910	09	1
091050	0910	09	1
091091	0910	09	1
091099	0910	09	1
100110	1001	10	1
100190	1001	10	1
100200	1002	10	1
100300	1003	10	1
100400	1004	10	1
100510	1005	10	1
100590	1005	10	1
100610	1006	10	1
100620	1006	10	1
100630	1006	10	1
100640	1006	10	1
100700	1007	10	1
100810	1008	10	1
100820	1008	10	1
100830	1008	10	1
100890	1008	10	1
110100	1101	11	1
110210	1102	11	1
110220	1102	11	1
110230	1102	11	1
110290	1102	11	1
110311	1103	11	1
110312	1103	11	1
110313	1103	11	1
110314	1103	11	1
110319	1103	11	1
110321	1103	11	1
110329	1103	11	1
110411	1104	11	1
110412	1104	11	1
110419	1104	11	1
110421	1104	11	1
110422	1104	11	1
110423	1104	11	1
110429	1104	11	1
110430	1104	11	1
110510	1105	11	1
110520	1105	11	1
110610	1106	11	1
110620	1106	11	1
110630	1106	11	1
110710	1107	11	1
110720	1107	11	1
110811	1108	11	1
110812	1108	11	1
110813	1108	11	1
110814	1108	11	1
