code,name,level,name_en,name_es,name_short_en,name_short_es,parent_id
services,Services,section,Services,Services,Services,Services,
unspecified,Unspecified,2digit,Unspecified,Unspecified,Unspecified,Unspecified,0
travel,Travel and tourism services,2digit,Travel and tourism services,Travel and tourism services,Travel and tourism,Travel and tourism,0
transport,Transport services,2digit,Transport services,Transport services,Transport,Transport,0
ict,Information and communications technology,2digit,Information and communications technology,Information and communications technology,ICT,ICT,0
financial,Insurance and financial services,2digit,Insurance and financial services,Insurance and financial services,Insurance and finance,Insurance and finance,0
unspecified,Unspecified,4digit,Unspecified,Unspecified,Unspecified,Unspecified,1
travel,Travel and tourism services,4digit,Travel and tourism services,Travel and tourism services,Travel and tourism,Travel and tourism,2
transport,Transport services,4digit,Transport services,Transport services,Transport,Transport,3
ict,Information and communications technology,4digit,Information and communications technology,Information and communications technology,ICT,ICT,4
financial,Insurance and financial services,4digit,Insurance and financial services,Insurance and financial services,Insurance and finance,Insurance and finance,5
unspecified,Unspecified,6digit,Unspecified,Unspecified,Unspecified,Unspecified,6
travel,Travel and tourism services,6digit,Travel and tourism services,Travel and tourism services,Travel and tourism,Travel and tourism,7
transport,Transport services,6digit,Transport services,Transport services,Transport,Transport,8
ict,Information and communications technology,6digit,Information and communications technology,Information and communications technology,ICT,ICT,9
financial,Insurance and financial services,6digit,Insurance and financial services,Insurance and financial services,Insurance and finance,Insurance and finance,10
