"","code","name","level","name_en","name_es","name_short_en","name_short_es","parent_id"
0,"0","Textiles and furniture","section","Textiles and furniture","Textiles y muebles","Textiles and furniture","Textiles y muebles",""
1,"1","Vegetables, foodstuffs and wood","section","Vegetables, foodstuffs and wood","Vegetales, alimentos y madera","Vegetables, foodstuffs and wood","Vegetales, alimentos y madera",""
2,"2","Stone and glass","section","Stone and glass","Piedra y vidrio","Stone and glass","Piedra y vidrio",""
3,"3","Minerals","section","Minerals","Minerales","Minerals","Minerales",""
4,"4","Metals","section","Metals","Metales","Metals","Metales",""
5,"5","Chemicals and plastics","section","Chemicals and plastics","Químicos y plásticos","Chemicals and plastics","Químicos y plásticos",""
6,"6","Transport vehicles","section","Transport vehicles","Vehículos de transporte","Transport vehicles","Vehículos de transporte",""
7,"7","Machinery","section","Machinery","Maquinaria","Machinery","Maquinaria",""
8,"8","Electronics","section","Electronics","Electrónicos","Electronics","Electrónicos",""
9,"9","Other","section","Other","Other","Other","Other",""
10,"Services","Services","section","Services","Services","Services","Services",""
100,"01","Live animals","2digit","Live animals","Animales Vivos","Live animals","Animales Vivos",1.0
101,"02","Meat and edible meat offal.","2digit","Meat and edible meat offal.","Carne y despojos comestibles","Meat","Carne",1.0
102,"03","Fish and crustaceans, molluscs and other aquatic invertebrates.","2digit","Fish and crustaceans, molluscs and other aquatic invertebrates.","Pescados y crustáceos, moluscos y demás invertebrados acuáticos","Fish","Pescado",1.0
103,"04","Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included.","2digit","Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included.","Producción diaria; huevos de ave; miel natural; productos comestibles de origen animal, no expresados ni comprendidos en otra parte","Diary products","Productos lácteos",1.0
104,"05","Products of animal origin, not elsewhere specified or included.","2digit","Products of animal origin, not elsewhere specified or included.","Productos de origen animal, no expresados ni comprendidos en otra parte","Animal products","Productos de origen animal",1.0
105,"06","Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage.","2digit","Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage.","Plantas vivas y otras plantas; bulbos, raíces y similares; flores cortadas y follaje ornamental","Plants","Plantas",1.0
106,"07","Edible vegetables and certain roots and tubers.","2digit","Edible vegetables and certain roots and tubers.","Hortilizas, raíces y tubérculos","Vegetables","Hortilizas",1.0
107,"08","Edible fruit and nuts; peel of citrus fruit or melons.","2digit","Edible fruit and nuts; peel of citrus fruit or melons.","Frutas y frutos secos comestibles; cortezas de agrios o de melones","Fruits and nuts","Frutas y frutos secos",1.0
108,"09","Coffee, tea, mate and spices.","2digit","Coffee, tea, mate and spices.","Café, té, yerba mate y especias","Coffee, tea and spices","Café, té y especias",1.0
109,"10","Cereals.","2digit","Cereals.","Cereales","Cereals","Cereales",1.0
110,"11","Products of the milling industry; malt; starches; inulin; wheat gluten","2digit","Products of the milling industry; malt; starches; inulin; wheat gluten","Productos de la molinería; malta; almidones; inulina; gluten de trigo","Flours, starches and malts","Harinas, almidones y maltas",1.0
111,"12","Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder","2digit","Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder","Semillas y frutos oleaginosos; granos, semillas y frutas diversos; plantas industriales o medicinales; paja y forrajes","Oil seeds and oleaginous fruits","Semillas y frutos oleaginosos",1.0
112,"13","Lac; gums, resins and other vegetable saps and extracts","2digit","Lac; gums, resins and other vegetable saps and extracts","Laca; Gomas, resinas y demás jugos y extractos vegetales","Lac and other vegetable extracts","Laca y demás extractos vegetales",1.0
113,"14","Vegetable plaiting materials; vegetable products not elsewhere specified or included","2digit","Vegetable plaiting materials; vegetable products not elsewhere specified or included","Materiales de plegado vegetales; productos vegetales no expresados ni comprendidos en otra parte","Other vegetable materials","Otros materiales vegetales",1.0
114,"15","Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes","2digit","Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes","Grasas y aceites animales o vegetales; productos de su desdoblamiento; grasas alimenticias elaboradas; ceras animales o vegetales.","Animal or vegetable fats, oils or waxes","Grasas, aceites o ceras animales o vegetales",1.0
115,"16","Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates","2digit","Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates","Preparaciones de carne, de pescado o de crustáceos, moluscos o demás invertebrados acuáticos.","Preparations of meat or fish","Preparaciones de carne o pescado",1.0
116,"17","Sugars and sugar confectionery","2digit","Sugars and sugar confectionery","Azúcar y dulces","Sugar and candy","Azúcar",1.0
117,"18","Cocoa and cocoa preparations","2digit","Cocoa and cocoa preparations","Cacao y sus preparaciones","Cocoa","Cacao",1.0
118,"19","Preparations of cereals, flour, starch or milk; pastrycooks' products","2digit","Preparations of cereals, flour, starch or milk; pastrycooks' products","Preparaciones a base de cereales, harina, almidón, fécula o leche; productos de pastelería.","Preparations of cereals, flour, starch or milk","Preparaciones a base de cereales, harina, almidón, fécula o leche",1.0
119,"20","Preparations of vegetables, fruit, nuts or other parts of plants","2digit","Preparations of vegetables, fruit, nuts or other parts of plants","Preparaciones de hortalizas, frutas, nueces o otras partes de plantas","Preparations of vegetables, fruit, or nuts","Preparaciones de hortalizas, frutas, o nueces",1.0
120,"21","Miscellaneous edible preparations","2digit","Miscellaneous edible preparations","Preparaciones alimenticias diversas","Miscellaneous edible preparations","Preparaciones alimenticias misceláneas",1.0
121,"22","Beverages, spirits and vinegar","2digit","Beverages, spirits and vinegar","Bebidas, alcohólicas y vinagre","Beverages","Bebidas",1.0
122,"23","Residues and waste from the food industries; prepared animal fodder","2digit","Residues and waste from the food industries; prepared animal fodder","Residuos y desperdicios de las industrias alimentarias; alimentos preparados para animales","Food residues and animal feed","Residuos de alimentos y alimentos para animales",1.0
123,"24","Tobacco and manufactured tobacco substitutes","2digit","Tobacco and manufactured tobacco substitutes","Tabaco y sucedáneos del tabaco elaborados","Tobacco","Tabaco",1.0
124,"25","Salt; sulphur; earths and stone; plastering materials, lime and cement","2digit","Salt; sulphur; earths and stone; plastering materials, lime and cement","Sal; azufre; tierras y piedras; yesos, cales y cementos","Salt, sulphur, lime, cement, etc.","Sal, azufre, cales, cementos, etc.",3.0
125,"26","Ores, slag and ash","2digit","Ores, slag and ash","Minerales, escorias y cenizas","Ores, slag and ash","Minerales, escorias y cenizas",3.0
126,"27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes","2digit","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes","Combustibles minerales, aceites minerales y productos de su destilación; sustancias bituminosas; ceras minerales","Mineral fuels, oils and waxes","Combustibles, aceites y ceras minerales",3.0
127,"28","Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes","2digit","Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes","Químicos inorgánicos; compuestos inorgánicos u orgánicos de los metales preciosos, de metales de las tierras raras, de los elementos radiactivos o de isótopos.","Inorganic chemicals","Químicos inorgánicos",5.0
128,"29","Organic chemicals","2digit","Organic chemicals","Químicos orgánicos","Organic chemicals","Químicos orgánicos",5.0
