code,level,name_es,name_en,name_short_es,name_short_en,,,,name_orig_en,name_orig_es,code_orig
101,4digit,"Caballos, asnos, mulos y burdéganos, vivos.","Live horses, asses, mules or hinnies",Caballos,Horses,,,,Horses,"Caballos, asnos, mulos y burdéganos, vivos",1.01
102,4digit,Animales vivos de la especie bovina.,Live bovine animals,Bovina,Bovine,,,,Bovines,Animales vivos de la especie bovina,1.02
103,4digit,Animales vivos de la especie porcina.,Live swine,Porcina,Swine,,,,Swine,Animales vivos de la especie porcina,1.03
104,4digit,Animales vivos de las especies ovina o caprina.,Live sheep and goats,Ovina,Sheep,,,,Sheep,Animales vivos de las especies ovina o caprina,1.04
105,4digit,"Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domésticas, vivos.","Live poultry of the following kinds Chickens, ducks, geese, turkeys and guineas",Aves,Fowl,,,,Fowls (< 185 grams),Aves,1.05
106,4digit,Los demás animales vivos.,Other live animals,Los demás animales vivos,Other live animals,,,,"Live animals, except farm animals",Los demás animales vivos,1.06
201,4digit,"Carne de animales de la especie bovina, fresca o refrigerada.","Meat of bovine animals, fresh or chilled",Carne bovina,Beef,,,,Bovine meat,Carne bovina,2.01
202,4digit,"Carne de animales de la especie bovina, congelada.","Meat of bovine animals, frozen",Carne bovina (congelada),Beef (frozen),,,,Bovine meat (frozen),"Carne de animales de la especie bovina, congelada",2.02
203,4digit,"Carne de animales de la especie porcina, fresca, refrigerada o congelada.","Meat of swine, fresh, chilled or frozen",Carne porcina,Pork,,,,Swine meat,Carne porcina,2.03
204,4digit,"Carne de animales de las especies ovina o caprina, fresca, refrigerada o congelada.","Meat of sheep or goats, fresh, chilled or frozen",Carne de cordero,Lamb,,,,Lamb meat,Carne de cordero,2.04
205,4digit,"Carne de animales de las especies caballar, asnal o mular, fresca, refrigerada o congelada.","Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",Carne de caballo,Horse meat,,,,"Horse, ass, mule or hinny meat","Carne de animales de las especies caballar, asnal o mular",2.05
206,4digit,"Despojos comestibles de animales de las especies bovina, porcina, ovina, caprina, caballar, asnal o mular, frescos, refrigerados o congelados.","Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen",Despojos comestibles de animales,Edible offal,,,,Edible offal of animals,Despojos comestibles de animales,2.06
207,4digit,"Carne y despojos comestibles, de aves de la partida 01.05, frescos, refrigerados o congelados.","Meat and edible offal, of the poultry of heading 0105, fresh, chilled or frozen",Pollería,Poultry,,,,Poultry,Pollería,2.07
208,4digit,"Las demás carnes y despojos comestibles, frescos, refrigerados o congelados.","Other meat and edible meat offal, fresh, chilled or frozen",Las demás carnes,Other meat,,,,Other meat and edible meat offal,Las demás carnes y despojos comestibles,2.08
209,4digit,"Tocino sin partes magras y grasa de cerdo o de ave sin fundir ni extraer de otro modo, frescos, refrigerados, congelados, salados o en salmuera, secos o ahumados.","Pig fat, free of lean meat, and poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked",Grasa de cerdo o ave,Pig and poultry fat,,,,Pig and poultry fat,"Tocino, grasa de cerdo o de ave",2.09
