"","code","name","level","parent_id","name_es","name_en","name_short_es","name_short_en"
0,"2","Vegetables, Foodstuffs, Wood","prospedia_section","","Vegetales, Alimentos y Madera","Vegetables, Foodstuffs, Wood","Vegetales, Alimentos y Madera","Vegetables, Foodstuffs, Wood"
1,"01","Live animals","2digit",0.0,"Animales Vivos","Live animals","Animales Vivos","Live animals"
2,"0101","Live horses, asses, mules or hinnies","4digit",1.0,"Caballos, asnos, mulos y burdéganos, vivos.","Live horses, asses, mules or hinnies","Caballos","Horses"
3,"0102","Live bovine animals","4digit",1.0,"Animales vivos de la especie bovina.","Live bovine animals","Bovina","Bovine"
4,"0103","Live swine","4digit",1.0,"Animales vivos de la especie porcina.","Live swine","Porcina","Swine"
5,"0104","Live sheep and goats","4digit",1.0,"Animales vivos de las especies ovina o caprina.","Live sheep and goats","Ovina","Sheep"
6,"0105","Live poultry of the following kinds Chickens, ducks, geese, turkeys and guineas","4digit",1.0,"Gallos, gallinas, patos, gansos, pavos (gallipavos) y pintadas, de las especies domésticas, vivos.","Live poultry of the following kinds Chickens, ducks, geese, turkeys and guineas","Aves","Fowl"
7,"0106","Other live animals","4digit",1.0,"Los demás animales vivos.","Other live animals","Los demás animales vivos","Other live animals"
8,"02","Meat and edible meat offal.","2digit",0.0,"Carne y despojos comestibles ","Meat and edible meat offal.","Carne","Meat"
9,"0201","Meat of bovine animals, fresh or chilled","4digit",8.0,"Carne de animales de la especie bovina, fresca o refrigerada.","Meat of bovine animals, fresh or chilled","Carne bovina","Beef"
10,"0202","Meat of bovine animals, frozen","4digit",8.0,"Carne de animales de la especie bovina, congelada.","Meat of bovine animals, frozen","Carne bovina (congelada)","Beef (frozen)"
11,"0203","Meat of swine, fresh, chilled or frozen","4digit",8.0,"Carne de animales de la especie porcina, fresca, refrigerada o congelada.","Meat of swine, fresh, chilled or frozen","Carne porcina","Pork"
12,"0204","Meat of sheep or goats, fresh, chilled or frozen","4digit",8.0,"Carne de animales de las especies ovina o caprina, fresca, refrigerada o congelada.","Meat of sheep or goats, fresh, chilled or frozen","Carne de cordero","Lamb"
