4digit	2digit	section	atlas_section
0101	01	2	1
0102	01	2	1
0103	01	2	1
0104	01	2	1
0105	01	2	1
0106	01	2	1
0201	02	2	1
0202	02	2	1
0203	02	2	1
0204	02	2	1
0205	02	2	1
0206	02	2	1
0207	02	2	1
0208	02	2	1
0209	02	2	1
0210	02	2	1
0301	03	2	1
0302	03	2	1
0303	03	2	1
0304	03	2	1
0305	03	2	1
0306	03	2	1
0307	03	2	1
0308	03	2	1
0401	04	2	1
0402	04	2	1
0403	04	2	1
0404	04	2	1
0405	04	2	1
0406	04	2	1
0407	04	2	1
0408	04	2	1
0409	04	2	1
0410	04	2	1
0501	05	2	1
0502	05	2	1
0503	05	2	1
0504	05	2	1
0505	05	2	1
0506	05	2	1
0507	05	2	1
0508	05	2	1
0509	05	2	1
0510	05	2	1
0511	05	2	1
0601	06	2	2
0602	06	2	2
0603	06	2	2
0604	06	2	2
0701	07	2	2
0702	07	2	2
0703	07	2	2
0704	07	2	2
0705	07	2	2
0706	07	2	2
0707	07	2	2
0708	07	2	2
0709	07	2	2
0710	07	2	2
0711	07	2	2
0712	07	2	2
0713	07	2	2
0714	07	2	2
0801	08	2	2
0802	08	2	2
0803	08	2	2
0804	08	2	2
0805	08	2	2
0806	08	2	2
0807	08	2	2
0808	08	2	2
0809	08	2	2
0810	08	2	2
0811	08	2	2
0812	08	2	2
0813	08	2	2
0814	08	2	2
0901	09	2	2
0902	09	2	2
0903	09	2	2
0904	09	2	2
0905	09	2	2
0906	09	2	2
0907	09	2	2
0908	09	2	2
0909	09	2	2
0910	09	2	2
1001	10	2	2
1002	10	2	2
1003	10	2	2
1004	10	2	2
1005	10	2	2
1006	10	2	2
1007	10	2	2
1008	10	2	2
1101	11	2	2
1102	11	2	2
1103	11	2	2
1104	11	2	2
1105	11	2	2
1106	11	2	2
1107	11	2	2
1108	11	2	2
1109	11	2	2
1201	12	2	2
1202	12	2	2
1203	12	2	2
1204	12	2	2
1205	12	2	2
1206	12	2	2
1207	12	2	2
1208	12	2	2
1209	12	2	2
1210	12	2	2
1211	12	2	2
1212	12	2	2
1213	12	2	2
1214	12	2	2
1301	13	2	2
1302	13	2	2
1401	14	2	2
1402	14	2	2
1403	14	2	2
1404	14	2	2
1501	15	2	1
1502	15	2	1
1503	15	2	1
1504	15	2	1
1505	15	2	1
1506	15	2	1
1507	15	2	1
1508	15	2	1
1509	15	2	1
1510	15	2	1
1511	15	2	1
1512	15	2	1
1513	15	2	1
1514	15	2	1
1515	15	2	1
1516	15	2	1
1517	15	2	1
1518	15	2	1
1519	15	2	1
1520	15	2	1
1521	15	2	1
1522	15	2	1
1601	16	2	3
1602	16	2	3
1603	16	2	3
1604	16	2	3
1605	16	2	3
1701	17	2	3
1702	17	2	3
1703	17	2	3
1704	17	2	3
1801	18	2	3
1802	18	2	3
1803	18	2	3
1804	18	2	3
1805	18	2	3
1806	18	2	3
1901	19	2	3
1902	19	2	3
1903	19	2	3
1904	19	2	3
1905	19	2	3
2001	20	2	3
2002	20	2	3
2003	20	2	3
2004	20	2	3
2005	20	2	3
2006	20	2	3
2007	20	2	3
2008	20	2	3
2009	20	2	3
2101	21	2	3
2102	21	2	3
2103	21	2	3
2104	21	2	3
2105	21	2	3
2106	21	2	3
2201	22	2	3
2202	22	2	3
2203	22	2	3
2204	22	2	3
2205	22	2	3
2206	22	2	3
2207	22	2	3
2208	22	2	3
2209	22	2	3
2301	23	2	3
2302	23	2	3
