5digit	4digit	3digit	2digit	section
00111	0011	001	00	0
00119	0011	001	00	0
00121	0012	001	00	0
00122	0012	001	00	0
00141	0014	001	00	0
00149	0014	001	00	0
01111	0111	011	01	0
01112	0111	011	01	0
01181	0118	011	01	0
01189	0118	011	01	0
02241	0224	022	02	0
02242	0224	022	02	0
02243	0224	022	02	0
02249	0224	022	02	0
03502	0350	035	03	0
03503	0350	035	03	0
03504	0350	035	03	0
04212	0421	042	04	0
04221	0422	042	04	0
04222	0422	042	04	0
04591	0459	045	04	0
04592	0459	045	04	0
04599	0459	045	04	0
04601	0460	046	04	0
04602	0460	046	04	0
04701	0470	047	04	0
04702	0470	047	04	0
04811	0481	048	04	0
04812	0481	048	04	0
04841	0484	048	04	0
04842	0484	048	04	0
05451	0545	054	05	0
05459	0545	054	05	0
05461	0546	054	05	0
05462	0546	054	05	0
05481	0548	054	05	0
05482	0548	054	05	0
05484	0548	054	05	0
05488	0548	054	05	0
05643	0564	056	05	0
05645	0564	056	05	0
05649	0564	056	05	0
05651	0565	056	05	0
05659	0565	056	05	0
05711	0571	057	05	0
05712	0571	057	05	0
05721	0572	057	05	0
05722	0572	057	05	0
05729	0572	057	05	0
05751	0575	057	05	0
05752	0575	057	05	0
05771	0577	057	05	0
05772	0577	057	05	0
05773	0577	057	05	0
05774	0577	057	05	0
05779	0577	057	05	0
05792	0579	057	05	0
05793	0579	057	05	0
05794	0579	057	05	0
05795	0579	057	05	0
05796	0579	057	05	0
05797	0579	057	05	0
05798	0579	057	05	0
05799	0579	057	05	0
05851	0585	058	05	0
05852	0585	058	05	0
05853	0585	058	05	0
05854	0585	058	05	0
05855	0585	058	05	0
05857	0585	058	05	0
05858	0585	058	05	0
05861	0586	058	05	0
05862	0586	058	05	0
05863	0586	058	05	0
05864	0586	058	05	0
05891	0589	058	05	0
05899	0589	058	05	0
06201	0620	062	06	0
06202	0620	062	06	0
07111	0711	071	07	0
07112	0711	071	07	0
07113	0711	071	07	0
07231	0723	072	07	0
07232	0723	072	07	0
07521	0752	075	07	0
07522	0752	075	07	0
07523	0752	075	07	0
07524	0752	075	07	0
07525	0752	075	07	0
07526	0752	075	07	0
07528	0752	075	07	0
08111	0811	081	08	0
08112	0811	081	08	0
08119	0811	081	08	0
08121	0812	081	08	0
08122	0812	081	08	0
08123	0812	081	08	0
08131	0813	081	08	0
08132	0813	081	08	0
08133	0813	081	08	0
08134	0813	081	08	0
08135	0813	081	08	0
08136	0813	081	08	0
08137	0813	081	08	0
08138	0813	081	08	0
08139	0813	081	08	0
08142	0814	081	08	0
08192	0819	081	08	0
08193	0819	081	08	0
08194	0819	081	08	0
08199	0819	081	08	0
09141	0914	091	09	0
09149	0914	091	09	0
09801	0980	098	09	0
09802	0980	098	09	0
09803	0980	098	09	0
09804	0980	098	09	0
09805	0980	098	09	0
09806	0980	098	09	0
09807	0980	098	09	0
09808	0980	098	09	0
09809	0980	098	09	0
11101	1110	111	11	1
11102	1110	111	11	1
11211	1121	112	11	1
11212	1121	112	11	1
11213	1121	112	11	1
11241	1124	112	11	1
11242	1124	112	11	1
11249	1124	112	11	1
12111	1211	121	12	1
12119	1211	121	12	1
12121	1212	121	12	1
12129	1212	121	12	1
21191	2119	211	21	2
21199	2119	211	21	2
21201	2120	212	21	2
21209	2120	212	21	2
23201	2320	232	23	2
23202	2320	232	23	2
23203	2320	232	23	2
23311	2331	233	23	2
23312	2331	233	23	2
23313	2331	233	23	2
23314	2331	233	23	2
23315	2331	233	23	2
23316	2331	233	23	2
23319	2331	233	23	2
23321	2332	233	23	2
23322	2332	233	23	2
24401	2440	244	24	2
24402	2440	244	24	2
24501	2450	245	24	2
24502	2450	245	24	2
24601	2460	246	24	2
24602	2460	246	24	2
24603	2460	246	24	2
24711	2471	247	24	2
24712	2471	247	24	2
24721	2472	247	24	2
24722	2472	247	24	2
24821	2482	248	24	2
24822	2482	248	24	2
24831	2483	248	24	2
24832	2483	248	24	2
25171	2517	251	25	2
25172	2517	251	25	2
25181	2518	251	25	2
25182	2518	251	25	2
25191	2519	251	25	2
25192	2519	251	25	2
26141	2614	261	26	2
26142	2614	261	26	2
26511	2651	265	26	2
26512	2651	265	26	2
26513	2651	265	26	2
26514	2651	265	26	2
26591	2659	265	26	2
26599	2659	265	26	2
26651	2665	266	26	2
26652	2665	266	26	2
26653	2665	266	26	2
26659	2665	266	26	2
26661	2666	266	26	2
26662	2666	266	26	2
26663	2666	266	26	2
26669	2666	266	26	2
26671	2667	266	26	2
26672	2667	266	26	2
26673	2667	266	26	2
26679	2667	266	26	2
26711	2671	267	26	2
26712	2671	267	26	2
26713	2671	267	26	2
26721	2672	267	26	2
26722	2672	267	26	2
26851	2685	268	26	2
26859	2685	268	26	2
26861	2686	268	26	2
26862	2686	268	26	2
26901	2690	269	26	2
26902	2690	269	26	2
27131	2713	271	27	2
27132	2713	271	27	2
27311	2731	273	27	2
27312	2731	273	27	2
27313	2731	273	27	2
27322	2732	273	27	2
27323	2732	273	27	2
27324	2732	273	27	2
27721	2772	277	27	2
27722	2772	277	27	2
27821	2782	278	27	2
27822	2782	278	27	2
27823	2782	278	27	2
27824	2782	278	27	2
27851	2785	278	27	2
27852	2785	278	27	2
27853	2785	278	27	2
27854	2785	278	27	2
27861	2786	278	27	2
27862	2786	278	27	2
27891	2789	278	27	2
27892	2789	278	27	2
27893	2789	278	27	2
27894	2789	278	27	2
27895	2789	278	27	2
27896	2789	278	27	2
27899	2789	278	27	2
28201	2820	282	28	2
28202	2820	282	28	2
28209	2820	282	28	2
28711	2871	287	28	2
28712	2871	287	28	2
28721	2872	287	28	2
28722	2872	287	28	2
28731	2873	287	28	2
28732	2873	287	28	2
28791	2879	287	28	2
28792	2879	287	28	2
28793	2879	287	28	2
28799	2879	287	28	2
28821	2882	288	28	2
28822	2882	288	28	2
28823	2882	288	28	2
28824	2882	288	28	2
28825	2882	288	28	2
28826	2882	288	28	2
28901	2890	289	28	2
28902	2890	289	28	2
29111	2911	291	29	2
29115	2911	291	29	2
29116	2911	291	29	2
29191	2919	291	29	2
29192	2919	291	29	2
29193	2919	291	29	2
29194	2919	291	29	2
29196	2919	291	29	2
29197	2919	291	29	2
29198	2919	291	29	2
29199	2919	291	29	2
29261	2926	292	29	2
29269	2926	292	29	2
29271	2927	292	29	2
29272	2927	292	29	2
29291	2929	292	29	2
29292	2929	292	29	2
29293	2929	292	29	2
29298	2929	292	29	2
32311	3231	323	32	3
32312	3231	323	32	3
32313	3231	323	32	3
32321	3232	323	32	3
32322	3232	323	32	3
33401	3340	334	33	3
33411	3341	334	33	3
33412	3341	334	33	3
33419	3341	334	33	3
33421	3342	334	33	3
33429	3342	334	33	3
33451	3345	334	33	3
33452	3345	334	33	3
33511	3351	335	33	3
33512	3351	335	33	3
33521	3352	335	33	3
33522	3352	335	33	3
33523	3352	335	33	3
33524	3352	335	33	3
33525	3352	335	33	3
33531	3353	335	33	3
33532	3353	335	33	3
33541	3354	335	33	3
33542	3354	335	33	3
33543	3354	335	33	3
34131	3413	341	34	3
34139	3413	341	34	3
03501	0350	035	03	0
41111	4111	411	41	4
41112	4111	411	41	4
41113	4111	411	41	4
41131	4113	411	41	4
41132	4113	411	41	4
41133	4113	411	41	4
41134	4113	411	41	4
41139	4113	411	41	4
04211	0421	042	04	0
42391	4239	423	42	4
