code	level	name_en	name_short_en	name_es	name_short_es
0	level0	Food and live animals chiefly for food	Food & live animals for food		
1	level0	Beverages and tobacco	Drinks and tobacco		
2	level0	Crude materials, inedible, except fuels	Crude materials (inedible)		
3	level0	Mineral fuels, lubricants and related materials	Fuels, lubricants & related materials		
4	level0	Animal and vegetable oils, fats and waxes	Animal and vegetable oils, fats and waxes		
5	level0	Chemicals and related products, nes	Chemicals and related products		
6	level0	Manufactured goods classified chiefly by materials	Manufactured goods		
7	level0	Machinery and transport equipment	Machinery & transport		
8	level0	Miscellaneous manufactured articles	Other manufactured articles		
9	level0	Commodities and transactions not classified elsewhere in the SITC	Other		
00	level1	Live animals chiefly for food	Live animals chiefly for food		
01	level1	Meat and preparations	Meat and preparations		
02	level1	Dairy products and birds' eggs	Dairy products and birds' eggs		
03	level1	Fish, crustacean and molluscs, and preparations thereof	Fish, crustacean and molluscs, and preparations thereof		
04	level1	Cereals and cereal preparations	Cereals and cereal preparations		
05	level1	Vegetables and fruit	Vegetables and fruit		
06	level1	Sugar, sugar preparations and honey	Sugar, sugar preparations and honey		
07	level1	Coffee, tea, cocoa, spices, and manufactures thereof	Coffee, tea, cocoa, spices, and manufactures thereof		
08	level1	Feeding stuff for animals (not including unmilled cereals)	Feeding stuff for animals (not including unmilled cereals)		
09	level1	Miscellaneous edible products and preparations	Miscellaneous edible products and preparations		
11	level1	Beverages	Beverages		
12	level1	Tobacco and tobacco manufactures	Tobacco and tobacco manufactures		
21	level1	Hides, skins and furskins, raw	Hides, skins and furskins, raw		
22	level1	Oil seeds and oleaginous fruit	Oil seeds and oleaginous fruit		
23	level1	Crude rubber (including synthetic and reclaimed)	Crude rubber (including synthetic and reclaimed)		
24	level1	Cork and wood	Cork and wood		
25	level1	Pulp and waste paper	Pulp and waste paper		
26	level1	Textile fibres (not wool tops) and their wastes (not in yarn)	Textile fibres (not wool tops) and their wastes (not in yarn)		
27	level1	Crude fertilizer and crude minerals	Crude fertilizer and crude minerals		
28	level1	Metalliferous ores and metal scrap	Metalliferous ores and metal scrap		
29	level1	Crude animal and vegetable materials, nes	Crude animal and vegetable materials, nes		
32	level1	Coal, coke and briquettes	Coal, coke and briquettes		
33	level1	Petroleum, petroleum products and related materials	Petroleum, petroleum products and related materials		
34	level1	Gas, natural and manufactured	Gas, natural and manufactured		
35	level1	Electric current	Electric current		
