"","code","name","level","name_en","name_es","name_short_en","name_short_es","parent_id"
0,"0","Food and live animals chiefly for food","section","Food and live animals chiefly for food","","Food & live animals for food","",""
1,"1","Beverages and tobacco","section","Beverages and tobacco","","Drinks and tobacco","",""
2,"2","Crude materials, inedible, except fuels","section","Crude materials, inedible, except fuels","","Crude materials (inedible)","",""
3,"3","Mineral fuels, lubricants and related materials","section","Mineral fuels, lubricants and related materials","","Fuels, lubricants & related materials","",""
4,"4","Animal and vegetable oils, fats and waxes","section","Animal and vegetable oils, fats and waxes","","Animal and vegetable oils, fats and waxes","",""
5,"5","Chemicals and related products, nes","section","Chemicals and related products, nes","","Chemicals and related products","",""
6,"6","Manufactured goods classified chiefly by materials","section","Manufactured goods classified chiefly by materials","","Manufactured goods","",""
7,"7","Machinery and transport equipment","section","Machinery and transport equipment","","Machinery & transport","",""
8,"8","Miscellaneous manufactured articles","section","Miscellaneous manufactured articles","","Other manufactured articles","",""
9,"9","Commodities and transactions not classified elsewhere in the SITC","section","Commodities and transactions not classified elsewhere in the SITC","","Other","",""
10,"Services","Services","section","Services","Services","Services","Services",""
100,"00","Live animals chiefly for food","2digit","Live animals chiefly for food","","Live animals chiefly for food","",0.0
101,"01","Meat and preparations","2digit","Meat and preparations","","Meat and preparations","",0.0
102,"02","Dairy products and birds' eggs","2digit","Dairy products and birds' eggs","","Dairy products and birds' eggs","",0.0
103,"03","Fish, crustacean and molluscs, and preparations thereof","2digit","Fish, crustacean and molluscs, and preparations thereof","","Fish, crustacean and molluscs, and preparations thereof","",0.0
104,"04","Cereals and cereal preparations","2digit","Cereals and cereal preparations","","Cereals and cereal preparations","",0.0
105,"05","Vegetables and fruit","2digit","Vegetables and fruit","","Vegetables and fruit","",0.0
106,"06","Sugar, sugar preparations and honey","2digit","Sugar, sugar preparations and honey","","Sugar, sugar preparations and honey","",0.0
107,"07","Coffee, tea, cocoa, spices, and manufactures thereof","2digit","Coffee, tea, cocoa, spices, and manufactures thereof","","Coffee, tea, cocoa, spices, and manufactures thereof","",0.0
108,"08","Feeding stuff for animals (not including unmilled cereals)","2digit","Feeding stuff for animals (not including unmilled cereals)","","Feeding stuff for animals (not including unmilled cereals)","",0.0
109,"09","Miscellaneous edible products and preparations","2digit","Miscellaneous edible products and preparations","","Miscellaneous edible products and preparations","",0.0
110,"11","Beverages","2digit","Beverages","","Beverages","",1.0
111,"12","Tobacco and tobacco manufactures","2digit","Tobacco and tobacco manufactures","","Tobacco and tobacco manufactures","",1.0
112,"21","Hides, skins and furskins, raw","2digit","Hides, skins and furskins, raw","","Hides, skins and furskins, raw","",2.0
113,"22","Oil seeds and oleaginous fruit","2digit","Oil seeds and oleaginous fruit","","Oil seeds and oleaginous fruit","",2.0
114,"23","Crude rubber (including synthetic and reclaimed)","2digit","Crude rubber (including synthetic and reclaimed)","","Crude rubber (including synthetic and reclaimed)","",2.0
115,"24","Cork and wood","2digit","Cork and wood","","Cork and wood","",2.0
116,"25","Pulp and waste paper","2digit","Pulp and waste paper","","Pulp and waste paper","",2.0
117,"26","Textile fibres (not wool tops) and their wastes (not in yarn)","2digit","Textile fibres (not wool tops) and their wastes (not in yarn)","","Textile fibres (not wool tops) and their wastes (not in yarn)","",2.0
118,"27","Crude fertilizer and crude minerals","2digit","Crude fertilizer and crude minerals","","Crude fertilizer and crude minerals","",2.0
119,"28","Metalliferous ores and metal scrap","2digit","Metalliferous ores and metal scrap","","Metalliferous ores and metal scrap","",2.0
120,"29","Crude animal and vegetable materials, nes","2digit","Crude animal and vegetable materials, nes","","Crude animal and vegetable materials, nes","",2.0
121,"32","Coal, coke and briquettes","2digit","Coal, coke and briquettes","","Coal, coke and briquettes","",3.0
122,"33","Petroleum, petroleum products and related materials","2digit","Petroleum, petroleum products and related materials","","Petroleum, petroleum products and related materials","",3.0
123,"34","Gas, natural and manufactured","2digit","Gas, natural and manufactured","","Gas, natural and manufactured","",3.0
124,"35","Electric current","2digit","Electric current","","Electric current","",3.0
125,"41","Animal oils and fats","2digit","Animal oils and fats","","Animal oils and fats","",4.0
126,"42","Fixed vegetable oils and fats","2digit","Fixed vegetable oils and fats","","Fixed vegetable oils and fats","",4.0
127,"43","Animal and vegetable oils and fats, processed, and waxes","2digit","Animal and vegetable oils and fats, processed, and waxes","","Animal and vegetable oils and fats, processed, and waxes","",4.0
128,"51","Organic chemicals","2digit","Organic chemicals","","Organic chemicals","",5.0
129,"52","Inorganic chemicals","2digit","Inorganic chemicals","","Inorganic chemicals","",5.0
130,"53","Dyeing, tanning and colouring materials","2digit","Dyeing, tanning and colouring materials","","Dyeing, tanning and colouring materials","",5.0
131,"54","Medicinal and pharmaceutical products","2digit","Medicinal and pharmaceutical products","","Medicinal and pharmaceutical products","",5.0
132,"55","Oils and perfume materials; toilet and cleansing preparations","2digit","Oils and perfume materials; toilet and cleansing preparations","","Oils and perfume materials; toilet and cleansing preparations","",5.0
133,"56","Fertilizers, manufactured","2digit","Fertilizers, manufactured","","Fertilizers, manufactured","",5.0
134,"57","Explosives and pyrotechnic products","2digit","Explosives and pyrotechnic products","","Explosives and pyrotechnic products","",5.0
135,"58","Artificial resins and plastic materials, and cellulose esters etc","2digit","Artificial resins and plastic materials, and cellulose esters etc","","Artificial resins and plastic materials, and cellulose esters etc","",5.0
136,"59","Chemical materials and products, nes","2digit","Chemical materials and products, nes","","Chemical materials and products, nes","",5.0
137,"61","Leather, leather manufactures, nes, and dressed furskins","2digit","Leather, leather manufactures, nes, and dressed furskins","","Leather, leather manufactures, nes, and dressed furskins","",6.0
138,"62","Rubber manufactures, nes","2digit","Rubber manufactures, nes","","Rubber manufactures, nes","",6.0
139,"63","Cork and wood, cork manufactures","2digit","Cork and wood, cork manufactures","","Cork and wood, cork manufactures","",6.0
140,"64","Paper, paperboard, and articles of pulp, of paper or of paperboard","2digit","Paper, paperboard, and articles of pulp, of paper or of paperboard","","Paper, paperboard, and articles of pulp, of paper or of paperboard","",6.0
141,"65","Textile yarn, fabrics, made-up articles, nes, and related products","2digit","Textile yarn, fabrics, made-up articles, nes, and related products","","Textile yarn, fabrics, made-up articles, nes, and related products","",6.0
142,"66","Non-metallic mineral manufactures, nes","2digit","Non-metallic mineral manufactures, nes","","Non-metallic mineral manufactures, nes","",6.0
143,"67","Iron and steel","2digit","Iron and steel","","Iron and steel","",6.0
144,"68","Non-ferrous metals","2digit","Non-ferrous metals","","Non-ferrous metals","",6.0
145,"69","Manufactures of metals, nes","2digit","Manufactures of metals, nes","","Manufactures of metals, nes","",6.0
146,"71","Power generating machinery and equipment","2digit","Power generating machinery and equipment","","Power generating machinery and equipment","",7.0
147,"72","Machinery specialized for particular industries","2digit","Machinery specialized for particular industries","","Machinery specialized for particular industries","",7.0
148,"73","Metalworking machinery","2digit","Metalworking machinery","","Metalworking machinery","",7.0
149,"74","General industrial machinery and equipment, nes, and parts of, nes","2digit","General industrial machinery and equipment, nes, and parts of, nes","","General industrial machinery and equipment, nes, and parts of, nes","",7.0
150,"75","Office machines and automatic data processing equipment","2digit","Office machines and automatic data processing equipment","","Office machines and automatic data processing equipment","",7.0
151,"76","Telecommunications, sound recording and reproducing equipment","2digit","Telecommunications, sound recording and reproducing equipment","","Telecommunications, sound recording and reproducing equipment","",7.0
152,"77","Electric machinery, apparatus and appliances, nes, and parts, nes","2digit","Electric machinery, apparatus and appliances, nes, and parts, nes","","Electric machinery, apparatus and appliances, nes, and parts, nes","",7.0
